SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TRAC %;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;L/Hr;L/100K;
1331 ;0:08.90 ;3288 ;7 ;96;33;78;0.770 ;10.2 ;15.9 ;40 ;13.5 ;55 ;3.88 ;20.8 ;0 ;0 ;4.8;47.0;
1331 ;0:09.00 ;3111 ;7 ;96;33;78;0.807 ;11.2 ;15.1 ;19 ;13.4 ;34 ;3.77 ;19.9 ;0 ;0 ;4.5;42.0;
1331 ;0:09.10 ;3168 ;7 ;96;33;78;0.892 ;11.3 ;15.4 ;21 ;13.6 ;36 ;3.80 ;20.2 ;0 ;0 ;4.5;39.8;
1331 ;0:09.20 ;3106 ;7 ;96;33;76;0.900 ;13.1 ;15.1 ;0 ;13.6 ;15 ;3.77 ;19.9 ;0 ;0 ;4.4;33.5;
1331 ;0:09.30 ;3298 ;7 ;96;33;75;0.895 ;11.9 ;16.0 ;19 ;13.6 ;34 ;3.88 ;20.8 ;0 ;0 ;4.8;35.8;
1331 ;0:09.40 ;3405 ;7 ;96;33;73;0.850 ;13.6 ;16.5 ;6 ;13.5 ;21 ;3.95 ;21.4 ;0 ;0 ;5.1;37.5;
1331 ;0:09.50 ;3884 ;7 ;96;33;70;0.777 ;14.4 ;18.8 ;15 ;13.4 ;30 ;4.24 ;23.6 ;0 ;0 ;6.2;43.0;
1331 ;0:09.60 ;4216 ;7 ;96;33;69;0.750 ;15.2 ;20.4 ;19 ;13.6 ;34 ;4.32 ;26.2 ;0 ;0 ;6.9;45.3;
1331 ;0:09.70 ;4509 ;7 ;96;33;70;0.767 ;16.7 ;21.9 ;16 ;13.2 ;31 ;4.32 ;29.0 ;0 ;0 ;7.3;43.7;
1331 ;0:09.80 ;4510 ;7 ;96;33;74;0.760 ;16.6 ;21.9 ;16 ;13.3 ;31 ;4.32 ;29.0 ;0 ;0 ;7.3;43.7;
1331 ;0:09.90 ;3750 ;7 ;96;33;80;0.767 ;16.7 ;18.2 ;0 ;13.4 ;8 ;4.16 ;23.0 ;0 ;0 ;5.8;32.0;
