SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TRAC %;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;L/Hr;L/100K;
1331 ;0:03.50 ;3789 ;8 ;96;33;70;0.741 ;4.1 ;18.4 ;0 ;13.4 ;348 ;4.08 ;24.1 ;0 ;0 ;5.9;143.9;
1331 ;0:03.60 ;4211 ;8 ;96;33;69;0.735 ;4.4 ;20.4 ;0 ;13.1 ;363 ;4.19 ;27.1 ;0 ;0 ;6.7;159.5;
1331 ;0:03.70 ;4641 ;8 ;96;33;70;0.767 ;4.7 ;22.5 ;0 ;13.5 ;378 ;4.19 ;31.4 ;0 ;0 ;7.3;155.3;
1331 ;0:03.80 ;4604 ;8 ;96;33;74;0.778 ;4.4 ;22.3 ;0 ;13.4 ;406 ;4.19 ;31.0 ;0 ;0 ;7.2;163.6;
1331 ;0:03.90 ;3828 ;8 ;96;33;79;0.761 ;4.7 ;18.4 ;0 ;13.5 ;291 ;4.10 ;24.1 ;0 ;0 ;5.8;123.4;
1331 ;0:04.00 ;3461 ;7 ;96;33;81;0.765 ;4.7 ;16.8 ;0 ;13.7 ;257 ;3.99 ;21.6 ;0 ;0 ;5.2;110.6;
1331 ;0:04.10 ;3013 ;7 ;96;33;83;0.792 ;4.8 ;14.6 ;0 ;13.6 ;204 ;3.71 ;19.5 ;0 ;0 ;4.1;85.4;
1331 ;0:04.20 ;2592 ;7 ;96;33;84;0.837 ;4.7 ;12.6 ;0 ;13.7 ;168 ;3.33 ;18.2 ;0 ;0 ;3.2;68.0;
1331 ;0:04.30 ;2390 ;7 ;96;33;83;0.925 ;4.8 ;11.6 ;0 ;13.2 ;141 ;3.25 ;18.0 ;0 ;0 ;2.9;60.4;
1331 ;0:04.40 ;2536 ;7 ;96;33;81;0.933 ;4.8 ;12.5 ;0 ;13.4 ;160 ;3.28 ;18.0 ;0 ;0 ;3.2;66.6;
1331 ;0:04.50 ;2762 ;7 ;96;33;78;0.882 ;5.3 ;13.4 ;0 ;13.2 ;152 ;3.48 ;18.7 ;0 ;0 ;3.6;67.9;
1331 ;0:04.60 ;2995 ;7 ;96;33;75;0.807 ;4.9 ;14.5 ;0 ;13.6 ;195 ;3.70 ;19.4 ;0 ;0 ;4.2;85.7;
1331 ;0:04.70 ;3434 ;7 ;96;33;72;0.741 ;4.9 ;16.9 ;0 ;13.3 ;244 ;3.97 ;21.5 ;0 ;0 ;5.3;108.1;
1331 ;0:04.80 ;4064 ;7 ;96;33;69;0.733 ;4.9 ;19.7 ;0 ;13.6 ;302 ;4.32 ;24.8 ;0 ;0 ;6.7;136.7;
1331 ;0:04.90 ;4488 ;7 ;96;33;69;0.754 ;4.9 ;21.8 ;0 ;13.6 ;344 ;4.32 ;28.8 ;0 ;0 ;7.4;151.0;
1331 ;0:05.00 ;4588 ;7 ;96;33;72;0.758 ;5.1 ;22.3 ;0 ;13.3 ;337 ;4.32 ;29.7 ;0 ;0 ;7.4;145.0;
1331 ;0:05.10 ;3911 ;7 ;96;33;78;0.751 ;5.1 ;18.8 ;0 ;13.5 ;268 ;4.23 ;23.5 ;0 ;0 ;6.2;121.5;
1331 ;0:05.20 ;3446 ;7 ;96;33;80;0.761 ;4.9 ;16.7 ;0 ;13.6 ;240 ;3.98 ;21.5 ;0 ;0 ;5.2;106.1;
1331 ;0:05.30 ;3004 ;7 ;96;33;82;0.779 ;5.2 ;14.6 ;0 ;13.6 ;180 ;3.71 ;19.5 ;0 ;0 ;4.2;85.7;
1331 ;0:05.40 ;2809 ;7 ;96;33;81;0.851 ;4.9 ;13.6 ;0 ;13.4 ;177 ;3.52 ;18.9 ;0 ;0 ;3.6;73.4;
1331 ;0:05.50 ;2734 ;7 ;96;33;80;0.926 ;5.1 ;13.2 ;0 ;13.5 ;158 ;3.45 ;18.6 ;0 ;0 ;3.6;70.5;
1331 ;0:05.60 ;2876 ;7 ;96;33;78;0.878 ;5.2 ;13.9 ;0 ;13.7 ;167 ;3.59 ;19.0 ;0 ;0 ;3.9;75.0;
1331 ;0:05.70 ;3065 ;7 ;96;33;76;0.826 ;5.3 ;14.9 ;0 ;13.6 ;181 ;3.74 ;19.7 ;0 ;0 ;4.3;81.1;
1331 ;0:05.80 ;3313 ;7 ;96;33;73;0.756 ;5.4 ;16.1 ;0 ;13.6 ;198 ;3.89 ;20.9 ;0 ;0 ;5.0;92.5;
1331 ;0:05.90 ;3918 ;7 ;96;33;70;0.729 ;5.0 ;19.0 ;0 ;13.6 ;280 ;4.26 ;23.8 ;0 ;0 ;6.4;128.0;
1331 ;0:06.00 ;4340 ;7 ;96;33;70;0.755 ;5.1 ;21.1 ;0 ;13.7 ;313 ;4.32 ;27.4 ;0 ;0 ;7.1;139.2;
1331 ;0:06.10 ;4573 ;7 ;96;33;72;0.773 ;5.3 ;22.2 ;0 ;13.5 ;318 ;4.32 ;29.6 ;0 ;0 ;7.4;139.6;
1331 ;0:06.20 ;3956 ;7 ;96;33;77;0.763 ;5.3 ;19.2 ;0 ;13.5 ;262 ;4.28 ;24.0 ;0 ;0 ;6.3;118.8;
1331 ;0:06.30 ;3543 ;7 ;96;33;81;0.758 ;5.6 ;17.2 ;0 ;13.6 ;207 ;4.03 ;22.0 ;0 ;0 ;5.4;96.4;
1331 ;0:06.40 ;3014 ;7 ;96;33;82;0.773 ;5.5 ;14.6 ;0 ;13.6 ;165 ;3.71 ;19.5 ;0 ;0 ;4.2;76.3;
1331 ;0:06.50 ;2733 ;7 ;96;33;83;0.795 ;5.5 ;13.2 ;0 ;13.3 ;140 ;3.45 ;18.6 ;0 ;0 ;3.5;63.6;
1331 ;0:06.60 ;2543 ;7 ;96;33;83;0.861 ;5.5 ;12.3 ;0 ;13.7 ;123 ;3.28 ;18.0 ;0 ;0 ;3.1;56.3;
1331 ;0:06.70 ;2636 ;7 ;96;33;81;0.931 ;5.6 ;12.8 ;0 ;13.6 ;128 ;3.37 ;18.3 ;0 ;0 ;3.3;58.9;
1331 ;0:06.80 ;2780 ;7 ;96;33;79;0.919 ;5.8 ;13.5 ;0 ;13.7 ;132 ;3.49 ;18.7 ;0 ;0 ;3.6;62.0;
1331 ;0:06.90 ;3010 ;7 ;96;33;76;0.856 ;6.0 ;14.6 ;0 ;13.4 ;143 ;3.71 ;19.5 ;0 ;0 ;4.2;70.0;
1331 ;0:07.00 ;3289 ;7 ;96;33;74;0.758 ;6.4 ;15.9 ;0 ;13.5 ;148 ;3.88 ;20.8 ;0 ;0 ;4.8;75.0;
1331 ;0:07.10 ;3821 ;7 ;96;33;70;0.732 ;6.4 ;18.5 ;0 ;13.6 ;189 ;4.21 ;23.3 ;0 ;0 ;6.2;96.8;
1331 ;0:07.20 ;4303 ;7 ;96;33;70;0.750 ;6.7 ;20.9 ;0 ;13.5 ;211 ;4.32 ;27.1 ;0 ;0 ;7.0;104.4;
1331 ;0:07.30 ;4665 ;7 ;96;33;72;0.762 ;6.7 ;22.6 ;0 ;13.6 ;237 ;4.32 ;30.5 ;0 ;0 ;7.6;113.4;
1331 ;0:07.40 ;3985 ;7 ;96;33;77;0.756 ;6.8 ;19.3 ;0 ;13.2 ;183 ;4.31 ;24.1 ;0 ;0 ;6.4;94.1;
1331 ;0:07.50 ;3542 ;7 ;96;33;80;0.755 ;6.9 ;17.2 ;0 ;13.7 ;149 ;4.03 ;22.0 ;0 ;0 ;5.4;78.2;
1331 ;0:07.60 ;3063 ;7 ;96;33;81;0.775 ;7.3 ;14.8 ;0 ;13.6 ;102 ;3.74 ;19.7 ;0 ;0 ;4.3;58.9;
1331 ;0:07.70 ;2898 ;7 ;96;33;81;0.821 ;7.5 ;14.0 ;0 ;13.6 ;86 ;3.61 ;19.1 ;0 ;0 ;3.9;52.0;
1331 ;0:07.80 ;2711 ;7 ;96;33;80;0.904 ;7.7 ;13.1 ;0 ;13.6 ;70 ;3.43 ;18.6 ;0 ;0 ;3.4;45.3;
1331 ;0:07.90 ;2721 ;7 ;96;33;79;0.876 ;7.7 ;13.2 ;0 ;13.2 ;71 ;3.44 ;18.6 ;0 ;0 ;3.5;45.4;
1331 ;0:08.00 ;2955 ;7 ;96;33;76;0.822 ;7.8 ;14.3 ;0 ;13.6 ;83 ;3.66 ;19.3 ;0 ;0 ;4.0;51.2;
1331 ;0:08.10 ;3145 ;7 ;96;33;73;0.798 ;8.5 ;15.2 ;0 ;13.6 ;78 ;3.79 ;20.1 ;0 ;0 ;4.5;52.9;
1331 ;0:08.20 ;3672 ;7 ;96;33;70;0.779 ;8.4 ;17.8 ;0 ;13.6 ;111 ;4.11 ;22.6 ;0 ;0 ;5.8;69.0;
1331 ;0:08.30 ;4213 ;7 ;96;33;68;0.775 ;8.7 ;20.4 ;0 ;13.6 ;134 ;4.32 ;26.2 ;0 ;0 ;6.9;79.3;
1331 ;0:08.40 ;4422 ;7 ;96;33;68;0.773 ;8.6 ;21.4 ;0 ;13.1 ;148 ;4.32 ;28.2 ;0 ;0 ;7.2;83.7;
1331 ;0:08.50 ;4555 ;7 ;96;33;69;0.788 ;9.2 ;22.1 ;0 ;13.3 ;140 ;4.32 ;29.4 ;0 ;0 ;7.5;81.5;
1331 ;0:08.60 ;4451 ;7 ;96;33;72;0.808 ;9.6 ;21.6 ;0 ;13.6 ;125 ;4.32 ;28.5 ;0 ;0 ;7.2;75.0;
1331 ;0:08.70 ;3983 ;7 ;96;33;76;0.783 ;10.2 ;19.3 ;40 ;13.6 ;89 ;4.31 ;24.1 ;0 ;0 ;6.3;61.7;
1331 ;0:08.80 ;3329 ;7 ;96;33;78;0.771 ;9.7 ;16.1 ;0 ;13.6 ;65 ;3.90 ;21.0 ;0 ;0 ;4.9;50.0;
1331 ;0:08.90 ;3288 ;7 ;96;33;78;0.770 ;10.2 ;15.9 ;40 ;13.5 ;55 ;3.88 ;20.8 ;0 ;0 ;4.8;47.0;
1331 ;0:09.00 ;3111 ;7 ;96;33;78;0.807 ;11.2 ;15.1 ;19 ;13.4 ;34 ;3.77 ;19.9 ;0 ;0 ;4.5;42.0;
1331 ;0:09.10 ;3168 ;7 ;96;33;78;0.892 ;11.3 ;15.4 ;21 ;13.6 ;36 ;3.80 ;20.2 ;0 ;0 ;4.5;39.8;
