SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TRAC %;VOLTS;SLIP%;INJ;ADV;SHIF A;
1361 ;31:10,20 ;7975 ;42 ;97;27;76;0,792 ;51,4 ;38,7 ;0 ;12,2 ;-24 ;4,47 ;54,1 ;0 ;
1361 ;31:10,30 ;7898 ;38 ;97;27;72;0,772 ;52,2 ;38,3 ;0 ;12,5 ;-26 ;4,23 ;54,7 ;0 ;
1361 ;31:10,40 ;7898 ;38 ;97;27;72;0,772 ;52,2 ;38,3 ;0 ;12,5 ;-26 ;4,23 ;54,7 ;0 ;
1361 ;31:10,50 ;7649 ;31 ;97;27;69;0,755 ;49,4 ;37,1 ;0 ;12,3 ;-24 ;3,82 ;53,4 ;0 ;
1361 ;31:10,60 ;7649 ;31 ;97;27;69;0,755 ;49,4 ;37,1 ;0 ;12,3 ;-24 ;3,82 ;53,4 ;0 ;
1361 ;31:10,70 ;7665 ;29 ;97;27;66;0,733 ;48,2 ;37,2 ;0 ;12,2 ;-22 ;3,71 ;53,8 ;0 ;
1361 ;31:10,80 ;7665 ;29 ;97;27;66;0,733 ;48,2 ;37,2 ;0 ;12,2 ;-22 ;3,71 ;53,8 ;0 ;
1361 ;31:10,90 ;7428 ;25 ;97;27;63;0,731 ;48,5 ;36,1 ;0 ;12,3 ;-25 ;3,48 ;53,3 ;0 ;
1361 ;31:11,00 ;7428 ;25 ;97;27;63;0,731 ;48,5 ;36,1 ;0 ;12,3 ;-25 ;3,48 ;53,3 ;0 ;
1361 ;31:11,10 ;7287 ;21 ;97;27;60;0,745 ;44,3 ;35,4 ;0 ;12,3 ;-20 ;3,23 ;53,6 ;0 ;
1361 ;31:11,20 ;7287 ;21 ;97;27;60;0,745 ;44,3 ;35,4 ;0 ;12,3 ;-20 ;3,23 ;53,6 ;0 ;
1361 ;31:11,30 ;7338 ;18 ;97;27;58;0,746 ;45,2 ;35,6 ;0 ;12,3 ;-21 ;3,04 ;54,5 ;0 ;
1361 ;31:11,40 ;7338 ;18 ;97;27;58;0,746 ;45,2 ;35,6 ;0 ;12,3 ;-21 ;3,04 ;54,5 ;0 ;
1361 ;31:11,50 ;7236 ;16 ;97;27;55;0,747 ;52,9 ;35,1 ;0 ;12,4 ;-33 ;3,01 ;55,1 ;0 ;
1361 ;31:11,60 ;7236 ;16 ;97;27;55;0,747 ;52,9 ;35,1 ;0 ;12,4 ;-33 ;3,01 ;55,1 ;0 ;
1361 ;31:11,70 ;7244 ;14 ;97;27;54;0,747 ;48,7 ;35,2 ;0 ;12,5 ;-27 ;2,96 ;56,3 ;0 ;
1361 ;31:11,80 ;7244 ;14 ;97;27;54;0,747 ;48,7 ;35,2 ;0 ;12,5 ;-27 ;2,96 ;56,3 ;0 ;
1361 ;31:11,90 ;7242 ;13 ;97;27;53;0,755 ;49,1 ;35,2 ;0 ;12,5 ;-28 ;2,94 ;56,8 ;0 ;
1361 ;31:12,00 ;7242 ;13 ;97;27;53;0,755 ;49,1 ;35,2 ;0 ;12,5 ;-28 ;2,94 ;56,8 ;0 ;
1361 ;31:12,10 ;7304 ;12 ;97;27;53;0,754 ;51,2 ;35,5 ;0 ;12,4 ;-30 ;3,08 ;57,1 ;0 ;
1361 ;31:12,20 ;7304 ;12 ;97;27;53;0,754 ;51,2 ;35,5 ;0 ;12,4 ;-30 ;3,08 ;57,1 ;0 ;
1361 ;31:12,30 ;7256 ;12 ;97;27;54;0,764 ;50,5 ;35,2 ;0 ;12,4 ;-30 ;3,09 ;56,9 ;0 ;
1361 ;31:12,40 ;7256 ;12 ;97;27;54;0,764 ;50,5 ;35,2 ;0 ;12,4 ;-30 ;3,09 ;56,9 ;0 ;
1361 ;31:12,50 ;7318 ;12 ;97;27;55;0,793 ;51,7 ;35,5 ;0 ;12,5 ;-31 ;3,08 ;57,2 ;0 ;
