SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TAR LB;LAMB %;TRAC %;SLIP%;INJ;ADV;GEAR;SHIF A;INJ %;L/100K;

77 ;0:00.10 ;653 ;0 ;84;9;97;0.888 ;3.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.05 ;7.0 ;0 ;0 ;7 ;23.3;
77 ;0:00.20 ;653 ;0 ;84;9;95;0.897 ;3.1 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.05 ;7.0 ;0 ;0 ;7 ;22.5;
77 ;0:00.30 ;766 ;0 ;84;9;92;0.901 ;3.2 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.05 ;7.0 ;0 ;0 ;7 ;31.2;
77 ;0:00.40 ;1162 ;0 ;84;9;89;0.917 ;3.2 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.05 ;7.0 ;0 ;0 ;7 ;45.4;
77 ;0:00.50 ;1478 ;0 ;84;9;84;0.946 ;3.3 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.05 ;7.0 ;0 ;0 ;7 ;55.8;
77 ;0:00.60 ;1973 ;0 ;84;9;80;0.921 ;3.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.23 ;7.0 ;0 ;0 ;8 ;71.4;
77 ;0:00.70 ;2453 ;0 ;85;9;75;0.859 ;3.5 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.71 ;7.9 ;0 ;0 ;6 ;70.2;
77 ;0:00.80 ;2931 ;0 ;85;9;72;0.823 ;3.5 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.57 ;8.0 ;0 ;0 ;6 ;82.8;
77 ;0:00.90 ;3330 ;0 ;85;9;69;0.778 ;3.8 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.61 ;8.9 ;0 ;0 ;7 ;92.1;
77 ;0:01.00 ;3917 ;0 ;85;9;67;0.756 ;3.9 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.73 ;10.7 ;0 ;0 ;9 ;118.4;
77 ;0:01.10 ;4261 ;2 ;85;9;68;0.745 ;4.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.25 ;18.0 ;0 ;0 ;11 ;132.5;
77 ;0:01.20 ;4449 ;6 ;85;9;70;0.753 ;4.2 ;0.0 ;0.900 ;0.0 ;0 ;0 ;4.05 ;27.4 ;0 ;0 ;15 ;166.6;
