SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;SLIP%;SHIF A;
152 ;0:00.66 ;1403 ;0 ;0.969 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.67 ;1445 ;0 ;0.960 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.68 ;1445 ;0 ;0.965 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.69 ;1445 ;0 ;0.959 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.70 ;1522 ;0 ;0.964 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.71 ;1522 ;0 ;0.959 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.72 ;1629 ;0 ;0.964 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.73 ;1629 ;0 ;0.961 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.74 ;1567 ;0 ;0.964 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.75 ;1613 ;0 ;0.964 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.76 ;1613 ;0 ;0.968 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.77 ;1632 ;0 ;0.968 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.78 ;1632 ;0 ;0.969 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.79 ;1565 ;0 ;0.967 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.80 ;1565 ;0 ;0.969 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.81 ;1623 ;0 ;0.967 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.82 ;1623 ;0 ;0.968 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.83 ;1571 ;0 ;0.967 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.84 ;1571 ;0 ;0.970 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.85 ;1547 ;0 ;0.978 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.86 ;1547 ;0 ;0.972 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.87 ;1620 ;0 ;0.979 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:00.88 ;1620 ;0 ;0.968 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:00.89 ;1579 ;0 ;0.980 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:00.90 ;1579 ;0 ;0.970 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:00.91 ;1625 ;0 ;0.980 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:00.92 ;1624 ;0 ;0.971 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:00.93 ;1624 ;0 ;0.977 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:00.94 ;1540 ;0 ;0.977 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:00.95 ;1540 ;0 ;0.975 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:00.96 ;1562 ;0 ;0.978 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:00.97 ;1562 ;0 ;0.974 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:00.98 ;1591 ;0 ;0.979 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:00.99 ;1591 ;0 ;0.972 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.00 ;1625 ;0 ;0.966 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.01 ;1625 ;0 ;0.955 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.02 ;1691 ;0 ;0.964 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.03 ;1691 ;0 ;0.957 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.04 ;1641 ;0 ;0.963 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.05 ;1641 ;0 ;0.961 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.06 ;1702 ;0 ;0.963 ;2.3 ;0.0 ;0 ;0 ;
