SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TAR LB;TRAC %;SLIP%;INJ;ADV;GEAR;
451 ;0:04.10 ;2652 ;0 ;84;11;76;0.920 ;13.0 ;12.8 ;0.850 ;0 ;-1 ;3.03 ;7.0 ;1 ;
451 ;0:04.20 ;2770 ;0 ;84;11;74;0.935 ;14.6 ;13.4 ;0.850 ;0 ;-8 ;3.01 ;7.0 ;1 ;
451 ;0:04.30 ;2986 ;0 ;84;11;72;0.889 ;15.2 ;14.7 ;0.850 ;0 ;-3 ;2.97 ;10.0 ;1 ;
451 ;0:04.40 ;3294 ;0 ;84;11;70;0.908 ;17.0 ;16.0 ;0.850 ;0 ;-5 ;2.94 ;10.2 ;1 ;
451 ;0:04.50 ;3706 ;0 ;84;11;68;0.829 ;17.1 ;18.0 ;0.850 ;0 ;5 ;2.89 ;10.7 ;1 ;
451 ;0:04.60 ;3984 ;0 ;84;11;68;0.788 ;17.3 ;19.3 ;0.850 ;0 ;11 ;2.87 ;10.9 ;1 ;
451 ;0:04.70 ;3725 ;0 ;84;11;67;0.747 ;20.6 ;18.1 ;0.850 ;0 ;-12 ;2.89 ;10.7 ;1 ;
451 ;0:04.80 ;4047 ;0 ;84;11;66;0.732 ;20.6 ;19.6 ;0.850 ;0 ;-4 ;2.86 ;11.1 ;1 ;
451 ;0:04.90 ;4341 ;0 ;84;11;67;0.734 ;21.6 ;21.1 ;0.850 ;0 ;-2 ;2.82 ;12.3 ;1 ;
451 ;0:05.00 ;4403 ;3 ;84;11;71;0.756 ;22.8 ;21.4 ;0.850 ;0 ;-6 ;3.50 ;22.0 ;1 ;
451 ;0:05.10 ;4347 ;8 ;84;11;73;0.742 ;21.8 ;21.1 ;0.850 ;0 ;-3 ;4.33 ;28.4 ;1 ;
451 ;0:05.20 ;4452 ;9 ;84;11;74;0.826 ;20.4 ;21.6 ;0.850 ;0 ;5 ;4.33 ;30.4 ;1 ;
451 ;0:05.30 ;3857 ;9 ;84;11;75;0.752 ;22.4 ;18.7 ;0.850 ;0 ;-16 ;4.33 ;25.5 ;1 ;
451 ;0:05.40 ;4724 ;9 ;84;11;75;0.775 ;18.6 ;23.3 ;0.850 ;33 ;25 ;4.33 ;33.1 ;1 ;
451 ;0:05.50 ;3899 ;9 ;84;11;79;0.783 ;18.0 ;18.9 ;0.850 ;0 ;5 ;4.33 ;25.6 ;1 ;
451 ;0:05.60 ;3172 ;8 ;84;11;77;0.759 ;18.6 ;15.4 ;0.850 ;0 ;-17 ;4.33 ;21.6 ;1 ;
451 ;0:05.70 ;3747 ;7 ;84;11;72;0.791 ;18.7 ;18.2 ;0.850 ;0 ;-2 ;4.17 ;22.9 ;1 ;
451 ;0:05.80 ;4328 ;7 ;84;11;72;0.819 ;17.2 ;21.0 ;0.850 ;23 ;22 ;4.17 ;27.3 ;1 ;
451 ;0:05.90 ;3596 ;5 ;84;11;75;0.774 ;17.1 ;17.4 ;0.850 ;0 ;1 ;3.89 ;20.1 ;1 ;
451 ;0:06.00 ;2943 ;2 ;84;11;72;0.758 ;18.3 ;14.3 ;0.850 ;0 ;-21 ;3.36 ;7.0 ;1 ;
451 ;0:06.10 ;3639 ;2 ;84;11;69;0.781 ;18.3 ;17.6 ;0.850 ;0 ;-3 ;3.32 ;15.0 ;1 ;
451 ;0:06.20 ;4269 ;2 ;84;11;69;0.812 ;17.9 ;20.7 ;0.850 ;0 ;15 ;3.29 ;18.0 ;1 ;
451 ;0:06.30 ;3817 ;2 ;84;11;72;0.783 ;17.1 ;18.5 ;0.850 ;0 ;8 ;3.31 ;15.7 ;1 ;
451 ;0:06.40 ;3076 ;1 ;84;11;72;0.788 ;19.4 ;14.8 ;0.850 ;0 ;-23 ;3.15 ;11.3 ;1 ;
451 ;0:06.50 ;3374 ;2 ;84;11;69;0.770 ;20.5 ;16.4 ;0.850 ;0 ;-20 ;3.33 ;13.9 ;1 ;
451 ;0:06.60 ;4263 ;2 ;84;11;68;0.795 ;18.2 ;20.9 ;0.850 ;0 ;14 ;3.29 ;18.0 ;1 ;
451 ;0:06.70 ;4145 ;2 ;84;11;70;0.802 ;18.3 ;20.1 ;0.850 ;0 ;9 ;3.29 ;17.3 ;1 ;
451 ;0:06.80 ;3329 ;2 ;84;11;72;0.768 ;18.2 ;16.1 ;0.850 ;0 ;-11 ;3.33 ;13.8 ;1 ;
451 ;0:06.90 ;3451 ;2 ;84;11;69;0.757 ;18.8 ;16.7 ;0.850 ;0 ;-11 ;3.33 ;14.2 ;1 ;
451 ;0:07.00 ;3910 ;2 ;84;11;66;0.758 ;19.4 ;19.0 ;0.850 ;0 ;-2 ;3.30 ;16.1 ;1 ;
451 ;0:07.10 ;4201 ;2 ;84;11;67;0.804 ;18.0 ;20.4 ;0.850 ;0 ;13 ;3.29 ;17.7 ;1 ;
451 ;0:07.20 ;3980 ;2 ;84;11;68;0.821 ;17.8 ;19.3 ;0.850 ;0 ;8 ;3.30 ;16.3 ;1 ;
451 ;0:07.30 ;3829 ;2 ;84;11;68;0.803 ;19.0 ;18.6 ;0.850 ;0 ;-2 ;3.31 ;15.8 ;1 ;
451 ;0:07.40 ;3891 ;2 ;84;11;67;0.826 ;19.1 ;18.9 ;0.850 ;0 ;-1 ;3.31 ;16.0 ;1 ;
451 ;0:07.50 ;4042 ;2 ;84;11;67;0.853 ;19.6 ;19.6 ;0.850 ;0 ;0 ;3.30 ;16.7 ;1 ;
451 ;0:07.60 ;3971 ;2 ;84;11;67;0.845 ;19.7 ;19.3 ;0.850 ;0 ;-2 ;3.30 ;16.3 ;1 ;
451 ;0:07.70 ;4045 ;2 ;84;11;66;0.844 ;19.6 ;19.6 ;0.850 ;0 ;0 ;3.30 ;16.7 ;1 ;
451 ;0:07.80 ;4178 ;2 ;85;11;65;0.843 ;19.6 ;20.3 ;0.850 ;0 ;3 ;3.29 ;17.5 ;1 ;
451 ;0:07.90 ;4196 ;2 ;85;11;65;0.809 ;20.3 ;20.4 ;0.850 ;0 ;0 ;3.29 ;17.7 ;1 ;
451 ;0:08.00 ;4214 ;2 ;85;11;66;0.802 ;21.2 ;20.4 ;0.850 ;0 ;-3 ;3.29 ;17.7 ;1 ;
451 ;0:08.10 ;4113 ;2 ;85;11;66;0.770 ;21.5 ;19.9 ;0.850 ;0 ;-7 ;3.29 ;17.1 ;1 ;
451 ;0:08.20 ;4188 ;2 ;85;11;65;0.756 ;21.4 ;20.3 ;0.850 ;0 ;-5 ;3.29 ;17.6 ;1 ;
451 ;0:08.30 ;4382 ;2 ;85;11;66;0.748 ;22.3 ;21.3 ;0.850 ;0 ;-4 ;3.28 ;18.7 ;1 ;
451 ;0:08.40 ;4481 ;3 ;85;11;67;0.747 ;21.5 ;21.7 ;0.850 ;0 ;0 ;3.50 ;22.5 ;1 ;
451 ;0:08.50 ;4497 ;4 ;85;11;67;0.749 ;22.0 ;21.8 ;0.850 ;0 ;0 ;3.74 ;25.9 ;1 ;
451 ;0:08.60 ;4519 ;5 ;85;11;68;0.759 ;22.3 ;21.9 ;0.850 ;0 ;-1 ;3.89 ;27.1 ;1 ;
451 ;0:08.70 ;4443 ;5 ;85;11;68;0.739 ;22.0 ;21.6 ;0.850 ;0 ;-1 ;3.89 ;26.4 ;1 ;
451 ;0:08.80 ;4429 ;5 ;85;11;68;0.741 ;22.1 ;21.5 ;0.850 ;0 ;-2 ;3.89 ;26.3 ;1 ;
451 ;0:08.90 ;4404 ;5 ;85;11;67;0.761 ;22.8 ;21.4 ;0.850 ;0 ;-6 ;3.89 ;26.1 ;1 ;
451 ;0:09.00 ;4500 ;5 ;85;11;67;0.767 ;22.9 ;21.8 ;0.850 ;0 ;-4 ;3.89 ;27.0 ;1 ;
451 ;0:09.10 ;4550 ;5 ;85;11;67;0.759 ;22.4 ;22.1 ;0.850 ;0 ;-1 ;3.89 ;27.4 ;1 ;
451 ;0:09.20 ;4584 ;5 ;85;11;67;0.780 ;21.7 ;22.2 ;0.850 ;0 ;2 ;3.89 ;27.6 ;1 ;
451 ;0:09.30 ;4572 ;5 ;85;11;66;0.795 ;22.0 ;22.2 ;0.850 ;0 ;0 ;3.89 ;27.5 ;1 ;
451 ;0:09.40 ;4563 ;5 ;85;11;66;0.795 ;22.7 ;22.1 ;0.850 ;0 ;-2 ;3.89 ;27.5 ;1 ;
451 ;0:09.50 ;4506 ;5 ;85;11;65;0.831 ;22.0 ;21.9 ;0.850 ;0 ;0 ;3.89 ;27.0 ;1 ;
451 ;0:09.60 ;4617 ;5 ;85;11;64;0.836 ;23.5 ;22.4 ;0.850 ;0 ;-4 ;3.89 ;27.9 ;1 ;
451 ;0:09.70 ;4610 ;4 ;85;11;64;0.866 ;21.9 ;22.4 ;0.850 ;0 ;2 ;3.74 ;26.8 ;1 ;
451 ;0:09.80 ;4694 ;4 ;85;11;63;0.866 ;23.0 ;22.8 ;0.850 ;0 ;0 ;3.74 ;27.5 ;1 ;
451 ;0:09.90 ;4757 ;3 ;85;11;63;0.881 ;23.0 ;23.1 ;0.850 ;0 ;0 ;3.49 ;24.5 ;1 ;
451 ;0:10.00 ;4817 ;3 ;85;11;62;0.906 ;23.5 ;23.5 ;0.850 ;0 ;0 ;3.49 ;25.1 ;1 ;
451 ;0:10.10 ;4913 ;2 ;85;11;61;0.940 ;25.0 ;23.8 ;0.850 ;0 ;-4 ;3.25 ;21.9 ;1 ;
451 ;0:10.20 ;5060 ;2 ;85;11;59;0.946 ;24.3 ;24.6 ;0.850 ;0 ;1 ;3.25 ;22.8 ;1 ;
451 ;0:10.30 ;5074 ;1 ;85;11;58;0.951 ;27.0 ;24.6 ;0.850 ;0 ;-8 ;3.00 ;19.0 ;1 ;
451 ;0:10.40 ;5263 ;1 ;86;11;57;0.976 ;26.5 ;25.5 ;0.850 ;0 ;-3 ;3.00 ;20.0 ;1 ;
451 ;0:10.50 ;5377 ;0 ;86;11;55;0.991 ;27.7 ;26.1 ;0.850 ;0 ;-5 ;2.75 ;16.8 ;1 ;
451 ;0:10.60 ;5460 ;0 ;86;11;54;1.012 ;26.5 ;26.5 ;0.850 ;0 ;0 ;2.75 ;17.3 ;1 ;
451 ;0:10.70 ;5645 ;0 ;86;11;53;1.000 ;27.6 ;27.4 ;0.850 ;0 ;0 ;2.75 ;18.2 ;1 ;
451 ;0:10.80 ;5650 ;0 ;86;11;53;0.975 ;29.2 ;27.5 ;0.850 ;0 ;-5 ;2.75 ;18.3 ;1 ;
451 ;0:10.90 ;5898 ;0 ;86;11;52;0.937 ;28.7 ;28.6 ;0.850 ;0 ;0 ;2.75 ;19.4 ;1 ;
451 ;0:11.00 ;6009 ;0 ;86;11;52;0.923 ;28.9 ;29.0 ;0.850 ;0 ;0 ;2.75 ;19.9 ;1 ;
451 ;0:11.10 ;6069 ;0 ;86;11;51;0.894 ;30.4 ;29.5 ;0.850 ;0 ;-2 ;2.75 ;20.6 ;1 ;
451 ;0:11.20 ;6454 ;0 ;86;11;53;0.934 ;30.7 ;31.3 ;0.850 ;0 ;1 ;2.75 ;24.5 ;1 ;
451 ;0:11.30 ;6032 ;0 ;86;11;59;0.907 ;32.7 ;29.3 ;0.850 ;0 ;-10 ;2.75 ;20.3 ;1 ;
451 ;0:11.40 ;5195 ;0 ;86;11;61;0.907 ;37.0 ;25.2 ;0.850 ;0 ;-31 ;2.75 ;15.9 ;1 ;
451 ;0:11.50 ;4423 ;0 ;86;11;62;0.922 ;34.8 ;21.5 ;0.850 ;0 ;-38 ;2.81 ;12.6 ;1 ;
451 ;0:11.60 ;4036 ;0 ;86;11;61;0.910 ;35.0 ;19.6 ;0.850 ;0 ;-44 ;2.86 ;11.1 ;1 ;
451 ;0:11.70 ;4510 ;0 ;86;11;60;0.899 ;35.3 ;21.9 ;0.850 ;0 ;-37 ;2.80 ;13.0 ;1 ;
451 ;0:11.80 ;5028 ;1 ;86;11;60;0.879 ;37.2 ;24.4 ;0.850 ;0 ;-34 ;3.00 ;18.8 ;1 ;
451 ;0:11.90 ;5417 ;2 ;86;11;60;0.855 ;38.1 ;26.3 ;0.850 ;0 ;-30 ;3.25 ;24.5 ;1 ;
451 ;0:12.00 ;5453 ;3 ;86;11;60;0.866 ;40.4 ;26.5 ;0.850 ;0 ;-34 ;3.49 ;28.4 ;1 ;
451 ;0:12.10 ;5535 ;4 ;86;11;60;0.864 ;38.6 ;26.9 ;0.850 ;0 ;-30 ;3.74 ;32.6 ;1 ;
451 ;0:12.20 ;5526 ;4 ;86;11;61;0.875 ;38.7 ;26.8 ;0.850 ;0 ;-30 ;3.74 ;32.6 ;1 ;
451 ;0:12.30 ;5668 ;5 ;86;11;60;0.878 ;39.7 ;27.5 ;0.850 ;0 ;-30 ;3.78 ;36.2 ;1 ;
451 ;0:12.40 ;5721 ;5 ;86;11;60;0.903 ;39.6 ;27.8 ;0.850 ;0 ;-29 ;3.77 ;36.6 ;1 ;
451 ;0:12.50 ;5830 ;6 ;86;11;60;0.909 ;40.4 ;28.3 ;0.850 ;0 ;-29 ;3.78 ;40.7 ;1 ;
451 ;0:12.60 ;5872 ;7 ;86;11;59;0.924 ;41.4 ;28.5 ;0.850 ;0 ;-31 ;3.77 ;44.5 ;1 ;
451 ;0:12.70 ;5920 ;7 ;86;11;59;0.954 ;41.6 ;28.7 ;0.850 ;0 ;-31 ;3.75 ;45.2 ;1 ;
451 ;0:12.80 ;6036 ;7 ;86;11;58;0.981 ;43.4 ;29.3 ;0.850 ;0 ;-32 ;3.71 ;46.4 ;1 ;
451 ;0:12.90 ;6052 ;8 ;86;11;57;0.972 ;42.1 ;29.4 ;0.850 ;0 ;-30 ;3.69 ;50.3 ;1 ;
451 ;0:13.00 ;6239 ;8 ;86;11;55;0.966 ;42.5 ;30.3 ;0.850 ;0 ;-28 ;3.60 ;51.4 ;1 ;
451 ;0:13.10 ;6225 ;8 ;86;11;54;0.960 ;41.2 ;30.2 ;0.850 ;0 ;-26 ;3.60 ;51.3 ;1 ;
451 ;0:13.20 ;6358 ;8 ;86;11;52;0.946 ;40.0 ;30.9 ;0.850 ;0 ;-22 ;3.53 ;52.1 ;1 ;
451 ;0:13.30 ;6381 ;6 ;86;11;51;0.957 ;42.9 ;31.0 ;0.850 ;0 ;-27 ;3.64 ;43.6 ;1 ;
