SESSION; TIME;RPM;THROT;L U SP;L D SP;TAR LB;TRAC %;SLIP%;

441 ;0:00.01 ;396 ;14 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.02 ;396 ;14 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.03 ;396 ;14 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.04 ;396 ;14 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.05 ;396 ;14 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.06 ;396 ;14 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.07 ;396 ;14 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.08 ;396 ;14 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.09 ;396 ;14 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.10 ;396 ;14 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.11 ;396 ;14 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.12 ;396 ;14 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.13 ;396 ;14 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.14 ;396 ;14 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.15 ;396 ;14 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.16 ;396 ;14 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.17 ;396 ;13 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.18 ;396 ;13 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.19 ;396 ;13 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.20 ;396 ;13 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.21 ;396 ;13 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.22 ;396 ;12 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.23 ;396 ;12 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.24 ;396 ;12 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.25 ;396 ;12 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.26 ;396 ;12 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.27 ;396 ;12 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.28 ;396 ;12 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.29 ;396 ;12 ;0.0 ;1.9 ;0.850 ;0 ;-1 ;
441 ;0:00.30 ;563 ;12 ;0.0 ;2.7 ;0.850 ;0 ;-1 ;
441 ;0:00.31 ;563 ;11 ;0.0 ;2.7 ;0.850 ;0 ;-1 ;
441 ;0:00.32 ;563 ;11 ;0.0 ;2.7 ;0.850 ;0 ;-1 ;
441 ;0:00.33 ;563 ;11 ;0.0 ;2.7 ;0.850 ;0 ;-1 ;
441 ;0:00.34 ;563 ;11 ;0.0 ;2.7 ;0.850 ;0 ;-1 ;
441 ;0:00.35 ;563 ;11 ;0.0 ;2.7 ;0.850 ;0 ;-1 ;
441 ;0:00.36 ;563 ;11 ;0.0 ;2.7 ;0.850 ;0 ;-1 ;
441 ;0:00.37 ;563 ;11 ;0.0 ;2.7 ;0.850 ;0 ;-1 ;
441 ;0:00.38 ;813 ;11 ;0.0 ;3.9 ;0.850 ;0 ;-1 ;
441 ;0:00.39 ;813 ;11 ;0.0 ;3.9 ;0.850 ;0 ;-1 ;
441 ;0:00.40 ;813 ;10 ;0.0 ;3.9 ;0.850 ;0 ;-1 ;
441 ;0:00.41 ;813 ;10 ;0.0 ;3.9 ;0.850 ;0 ;-1 ;
441 ;0:00.42 ;813 ;10 ;0.0 ;3.9 ;0.850 ;0 ;-1 ;
441 ;0:00.43 ;1050 ;10 ;0.0 ;5.1 ;0.850 ;0 ;-1 ;
441 ;0:00.44 ;1050 ;10 ;0.0 ;5.1 ;0.850 ;0 ;-1 ;
441 ;0:00.45 ;1050 ;10 ;0.0 ;5.1 ;0.850 ;0 ;-1 ;
441 ;0:00.46 ;1050 ;10 ;0.0 ;5.1 ;0.850 ;0 ;-1 ;
441 ;0:00.47 ;849 ;10 ;0.0 ;4.1 ;0.850 ;0 ;-1 ;
441 ;0:00.48 ;849 ;10 ;0.0 ;4.1 ;0.850 ;0 ;-1 ;
441 ;0:00.49 ;849 ;10 ;0.0 ;4.1 ;0.850 ;0 ;-1 ;
441 ;0:00.50 ;697 ;10 ;0.0 ;3.3 ;0.850 ;0 ;-1 ;
