SESSION; TIME;RPM;THROT;LAMB;TAR LB;INJ;INJ %;

396 ;0:00.01 ;2685 ;0 ;0.979 ;0.850 ;3.01 ;7 ;
396 ;0:00.02 ;2757 ;0 ;0.978 ;0.850 ;3.01 ;7 ;
396 ;0:00.03 ;2833 ;0 ;0.983 ;0.850 ;3.00 ;7 ;
396 ;0:00.04 ;2899 ;0 ;1.000 ;0.850 ;2.99 ;7 ;
396 ;0:00.05 ;2958 ;0 ;1.003 ;0.850 ;2.97 ;7 ;
396 ;0:00.06 ;2962 ;0 ;0.999 ;0.850 ;2.97 ;7 ;
396 ;0:00.07 ;2971 ;0 ;1.001 ;0.850 ;2.97 ;7 ;
396 ;0:00.08 ;2999 ;0 ;0.998 ;0.850 ;2.97 ;7 ;
396 ;0:00.09 ;3043 ;0 ;1.000 ;0.850 ;2.96 ;7 ;
396 ;0:00.10 ;3094 ;0 ;1.000 ;0.850 ;2.96 ;7 ;
396 ;0:00.11 ;3160 ;0 ;1.000 ;0.850 ;2.95 ;8 ;
396 ;0:00.12 ;3218 ;0 ;1.003 ;0.850 ;2.94 ;8 ;
396 ;0:00.13 ;3277 ;0 ;1.000 ;0.850 ;2.94 ;8 ;
396 ;0:00.14 ;3329 ;0 ;1.003 ;0.850 ;2.93 ;8 ;
396 ;0:00.15 ;3394 ;0 ;0.999 ;0.850 ;2.92 ;8 ;
396 ;0:00.16 ;3504 ;0 ;1.002 ;0.850 ;2.91 ;8 ;
396 ;0:00.17 ;3551 ;0 ;0.996 ;0.850 ;2.91 ;8 ;
396 ;0:00.18 ;3615 ;0 ;0.997 ;0.850 ;2.90 ;8 ;
396 ;0:00.19 ;3666 ;0 ;1.001 ;0.850 ;2.90 ;8 ;
396 ;0:00.20 ;3711 ;0 ;0.986 ;0.850 ;2.89 ;9 ;
396 ;0:00.21 ;3815 ;0 ;0.988 ;0.850 ;2.88 ;9 ;
396 ;0:00.22 ;3863 ;0 ;0.979 ;0.850 ;2.88 ;9 ;
396 ;0:00.23 ;3906 ;0 ;0.990 ;0.850 ;2.87 ;9 ;
396 ;0:00.24 ;3930 ;0 ;0.985 ;0.850 ;2.87 ;9 ;
396 ;0:00.25 ;4000 ;0 ;0.982 ;0.850 ;2.86 ;9 ;
396 ;0:00.26 ;4041 ;0 ;0.986 ;0.850 ;2.86 ;9 ;
396 ;0:00.27 ;4072 ;0 ;0.987 ;0.850 ;2.86 ;9 ;
396 ;0:00.28 ;4163 ;0 ;0.961 ;0.850 ;2.84 ;9 ;
396 ;0:00.29 ;4197 ;0 ;0.966 ;0.850 ;2.84 ;10 ;
396 ;0:00.30 ;4279 ;0 ;0.966 ;0.850 ;2.83 ;10 ;
396 ;0:00.31 ;4318 ;0 ;0.962 ;0.850 ;2.82 ;10 ;
396 ;0:00.32 ;4364 ;0 ;0.968 ;0.850 ;2.82 ;10 ;
396 ;0:00.33 ;4457 ;0 ;0.960 ;0.850 ;2.81 ;10 ;
396 ;0:00.34 ;4495 ;0 ;0.967 ;0.850 ;2.81 ;10 ;
396 ;0:00.35 ;4558 ;0 ;0.962 ;0.850 ;2.80 ;10 ;
396 ;0:00.36 ;4608 ;0 ;0.963 ;0.850 ;2.79 ;10 ;
396 ;0:00.37 ;4693 ;0 ;0.961 ;0.850 ;2.79 ;11 ;
396 ;0:00.38 ;4722 ;0 ;0.960 ;0.850 ;2.78 ;11 ;
396 ;0:00.39 ;4816 ;0 ;0.964 ;0.850 ;2.77 ;11 ;
396 ;0:00.40 ;4909 ;0 ;0.953 ;0.850 ;2.76 ;11 ;
396 ;0:00.41 ;4969 ;0 ;0.965 ;0.850 ;2.76 ;11 ;
396 ;0:00.42 ;5034 ;0 ;0.959 ;0.850 ;2.75 ;11 ;
396 ;0:00.43 ;5114 ;0 ;0.957 ;0.850 ;2.75 ;11 ;
396 ;0:00.44 ;5144 ;0 ;0.960 ;0.850 ;2.75 ;11 ;
