SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;SLIP%;SHIF A;

151 ;0:00.01 ;2418 ;0 ;1.034 ;2.5 ;0.0 ;0 ;0 ;
151 ;0:00.02 ;2418 ;0 ;1.035 ;2.5 ;0.0 ;0 ;0 ;
151 ;0:00.03 ;2373 ;0 ;1.032 ;2.5 ;0.0 ;0 ;0 ;
151 ;0:00.04 ;2375 ;0 ;1.040 ;2.5 ;0.0 ;0 ;0 ;
151 ;0:00.05 ;2422 ;0 ;1.046 ;2.5 ;0.0 ;0 ;0 ;
151 ;0:00.06 ;2481 ;0 ;1.051 ;2.5 ;0.0 ;0 ;0 ;
151 ;0:00.07 ;2481 ;0 ;1.047 ;2.5 ;0.0 ;0 ;0 ;
151 ;0:00.08 ;2519 ;0 ;1.050 ;2.5 ;0.0 ;0 ;0 ;
151 ;0:00.09 ;2513 ;0 ;1.042 ;2.7 ;0.0 ;0 ;0 ;
151 ;0:00.10 ;2456 ;0 ;1.042 ;2.7 ;0.0 ;0 ;0 ;
151 ;0:00.11 ;2410 ;0 ;1.049 ;2.7 ;0.0 ;0 ;0 ;
151 ;0:00.12 ;2393 ;0 ;1.048 ;2.7 ;0.0 ;0 ;0 ;
151 ;0:00.13 ;2393 ;0 ;1.051 ;2.7 ;0.0 ;0 ;0 ;
151 ;0:00.14 ;2409 ;0 ;1.044 ;2.7 ;0.0 ;0 ;0 ;
151 ;0:00.15 ;2441 ;0 ;1.043 ;2.7 ;0.0 ;0 ;0 ;
151 ;0:00.16 ;2493 ;0 ;1.046 ;2.7 ;0.0 ;0 ;0 ;
151 ;0:00.17 ;2521 ;0 ;1.050 ;2.7 ;0.0 ;0 ;0 ;
151 ;0:00.18 ;2521 ;0 ;1.048 ;2.7 ;0.0 ;0 ;0 ;
151 ;0:00.19 ;2521 ;0 ;1.049 ;2.7 ;0.0 ;0 ;0 ;
151 ;0:00.20 ;2451 ;0 ;1.045 ;2.8 ;0.0 ;0 ;0 ;
151 ;0:00.21 ;2406 ;0 ;1.061 ;2.8 ;0.0 ;0 ;0 ;
151 ;0:00.22 ;2410 ;0 ;1.067 ;2.8 ;0.0 ;0 ;0 ;
151 ;0:00.23 ;2442 ;0 ;1.064 ;2.8 ;0.0 ;0 ;0 ;
151 ;0:00.24 ;2442 ;0 ;1.069 ;2.8 ;0.0 ;0 ;0 ;
151 ;0:00.25 ;2486 ;0 ;1.061 ;2.8 ;0.0 ;0 ;0 ;
151 ;0:00.26 ;2534 ;0 ;1.059 ;2.8 ;0.0 ;0 ;0 ;
151 ;0:00.27 ;2510 ;0 ;1.063 ;2.8 ;0.0 ;0 ;0 ;
151 ;0:00.28 ;2473 ;0 ;1.066 ;2.8 ;0.0 ;0 ;0 ;
151 ;0:00.29 ;2473 ;0 ;1.056 ;2.8 ;0.0 ;0 ;0 ;
151 ;0:00.30 ;2406 ;0 ;1.054 ;2.8 ;0.0 ;0 ;0 ;
151 ;0:00.31 ;2382 ;0 ;1.052 ;2.9 ;0.0 ;0 ;0 ;
151 ;0:00.32 ;2414 ;0 ;1.048 ;2.9 ;0.0 ;0 ;0 ;
151 ;0:00.33 ;2452 ;0 ;1.058 ;2.9 ;0.0 ;0 ;0 ;
151 ;0:00.34 ;2501 ;0 ;1.053 ;2.9 ;0.0 ;0 ;0 ;
151 ;0:00.35 ;2501 ;0 ;1.056 ;2.9 ;0.0 ;0 ;0 ;
151 ;0:00.36 ;2546 ;0 ;1.053 ;2.9 ;0.0 ;0 ;0 ;
151 ;0:00.37 ;2514 ;0 ;1.045 ;2.9 ;0.0 ;0 ;0 ;
151 ;0:00.38 ;2459 ;0 ;1.052 ;2.9 ;0.0 ;0 ;0 ;
151 ;0:00.39 ;2403 ;0 ;1.051 ;2.9 ;0.0 ;0 ;0 ;
151 ;0:00.40 ;2403 ;0 ;1.055 ;2.9 ;0.0 ;0 ;0 ;
151 ;0:00.41 ;2395 ;0 ;1.051 ;3.1 ;0.0 ;0 ;0 ;
151 ;0:00.42 ;2432 ;0 ;1.050 ;3.1 ;0.0 ;0 ;0 ;
151 ;0:00.43 ;2479 ;0 ;1.047 ;3.1 ;0.0 ;0 ;0 ;
151 ;0:00.44 ;2497 ;0 ;1.053 ;3.1 ;0.0 ;0 ;0 ;
151 ;0:00.45 ;2536 ;0 ;1.051 ;3.1 ;0.0 ;0 ;0 ;
