SESSION; TIME;RPM;THROT;MAP;LAMB;L U SP;INJ;INJ %;

998 ;0:00.01 ;2454 ;0 ;85;0.998 ;0.0 ;3.10 ;7 ;
998 ;0:00.02 ;2440 ;0 ;85;0.996 ;0.0 ;3.11 ;7 ;
998 ;0:00.03 ;2478 ;0 ;85;1.003 ;0.0 ;3.09 ;7 ;
998 ;0:00.04 ;2493 ;0 ;85;1.000 ;0.0 ;3.08 ;7 ;
998 ;0:00.05 ;2493 ;0 ;85;1.005 ;0.0 ;3.08 ;7 ;
998 ;0:00.06 ;2493 ;0 ;85;1.000 ;2.5 ;3.08 ;7 ;
998 ;0:00.07 ;2483 ;0 ;84;1.024 ;2.5 ;3.09 ;7 ;
998 ;0:00.08 ;2527 ;0 ;85;1.028 ;2.5 ;3.05 ;7 ;
998 ;0:00.09 ;2497 ;0 ;85;1.029 ;2.5 ;3.08 ;7 ;
998 ;0:00.10 ;2469 ;0 ;85;1.031 ;2.5 ;3.09 ;7 ;
998 ;0:00.11 ;2469 ;0 ;85;1.029 ;2.5 ;3.09 ;7 ;
998 ;0:00.12 ;2446 ;0 ;84;1.031 ;2.5 ;3.11 ;7 ;
998 ;0:00.13 ;2476 ;0 ;84;1.022 ;2.5 ;3.09 ;7 ;
998 ;0:00.14 ;2479 ;0 ;85;1.030 ;2.5 ;3.09 ;7 ;
998 ;0:00.15 ;2492 ;0 ;85;1.030 ;2.5 ;3.08 ;7 ;
998 ;0:00.16 ;2488 ;0 ;85;1.035 ;2.5 ;3.08 ;7 ;
998 ;0:00.17 ;2488 ;0 ;84;1.036 ;2.5 ;3.08 ;7 ;
998 ;0:00.18 ;2528 ;0 ;84;1.031 ;2.5 ;3.05 ;7 ;
998 ;0:00.19 ;2510 ;0 ;85;1.029 ;2.5 ;3.07 ;7 ;
998 ;0:00.20 ;2504 ;0 ;85;1.032 ;2.5 ;3.07 ;7 ;
998 ;0:00.21 ;2474 ;0 ;85;1.038 ;2.5 ;3.09 ;7 ;
998 ;0:00.22 ;2504 ;0 ;84;1.033 ;2.5 ;3.07 ;7 ;
998 ;0:00.23 ;2504 ;0 ;84;1.036 ;2.5 ;3.07 ;7 ;
998 ;0:00.24 ;2483 ;0 ;84;1.034 ;2.5 ;3.09 ;7 ;
998 ;0:00.25 ;2486 ;0 ;84;1.030 ;2.5 ;3.08 ;7 ;
998 ;0:00.26 ;2481 ;0 ;84;1.038 ;2.5 ;3.09 ;7 ;
998 ;0:00.27 ;2519 ;0 ;85;1.038 ;2.5 ;3.06 ;7 ;
998 ;0:00.28 ;2475 ;0 ;85;1.039 ;2.5 ;3.09 ;7 ;
998 ;0:00.29 ;2475 ;0 ;84;1.036 ;2.5 ;3.09 ;7 ;
998 ;0:00.30 ;2460 ;0 ;84;1.036 ;2.5 ;3.10 ;7 ;
998 ;0:00.31 ;2475 ;0 ;84;1.029 ;2.5 ;3.09 ;7 ;
998 ;0:00.32 ;2521 ;0 ;84;1.034 ;2.5 ;3.06 ;7 ;
