SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;INJ;
1066 ;0:08.18 ;5256 ;85 ;1.431 ;26.4 ;0.0 ;5.75 ;
1066 ;0:08.19 ;5175 ;85 ;1.445 ;26.4 ;0.0 ;5.77 ;
1066 ;0:08.20 ;5214 ;85 ;1.467 ;24.9 ;0.0 ;5.77 ;
1066 ;0:08.21 ;5022 ;85 ;1.481 ;26.6 ;0.0 ;5.85 ;
1066 ;0:08.22 ;4907 ;85 ;1.487 ;26.4 ;0.0 ;5.78 ;
1066 ;0:08.23 ;4837 ;85 ;1.489 ;25.0 ;0.0 ;5.74 ;
1066 ;0:08.24 ;4784 ;85 ;1.490 ;26.7 ;0.0 ;5.71 ;
1066 ;0:08.25 ;4766 ;85 ;1.491 ;24.9 ;0.0 ;5.70 ;
1066 ;0:08.26 ;4825 ;85 ;1.493 ;26.2 ;0.0 ;5.74 ;
1066 ;0:08.27 ;4796 ;86 ;1.494 ;26.2 ;0.0 ;5.72 ;
1066 ;0:08.28 ;4861 ;87 ;1.496 ;24.8 ;0.0 ;5.76 ;
1066 ;0:08.29 ;4851 ;90 ;1.497 ;24.7 ;0.0 ;5.76 ;
1066 ;0:08.30 ;4885 ;92 ;1.498 ;25.8 ;0.0 ;5.86 ;
1066 ;0:08.31 ;5096 ;96 ;1.498 ;24.0 ;0.0 ;5.83 ;
1066 ;0:08.32 ;5127 ;100 ;1.498 ;24.4 ;0.0 ;5.82 ;
1066 ;0:08.33 ;5233 ;100 ;1.498 ;24.9 ;0.0 ;5.79 ;
1066 ;0:08.34 ;5275 ;100 ;1.498 ;24.9 ;0.0 ;5.77 ;
1066 ;0:08.35 ;5287 ;100 ;1.498 ;23.5 ;0.0 ;5.77 ;
1066 ;0:08.36 ;5280 ;100 ;1.498 ;24.2 ;0.0 ;5.77 ;
1066 ;0:08.37 ;5364 ;100 ;1.498 ;23.8 ;0.0 ;5.74 ;
1066 ;0:08.38 ;5323 ;100 ;1.498 ;22.9 ;0.0 ;5.76 ;
1066 ;0:08.39 ;5289 ;100 ;1.498 ;22.9 ;0.0 ;5.77 ;
1066 ;0:08.40 ;5214 ;100 ;1.498 ;24.5 ;0.0 ;5.79 ;
1066 ;0:08.41 ;5206 ;100 ;1.498 ;22.3 ;0.0 ;5.80 ;
1066 ;0:08.42 ;5186 ;100 ;1.498 ;23.4 ;0.0 ;5.80 ;
1066 ;0:08.43 ;5173 ;100 ;1.494 ;22.2 ;0.0 ;5.81 ;
1066 ;0:08.44 ;5066 ;100 ;1.490 ;22.2 ;0.0 ;5.85 ;
1066 ;0:08.45 ;5068 ;100 ;1.486 ;24.2 ;0.0 ;5.85 ;
1066 ;0:08.46 ;5010 ;100 ;1.479 ;24.0 ;0.0 ;5.87 ;
1066 ;0:08.47 ;4926 ;100 ;1.477 ;22.9 ;0.0 ;5.81 ;
1066 ;0:08.48 ;4871 ;100 ;1.473 ;24.1 ;0.0 ;5.77 ;
1066 ;0:08.49 ;4823 ;100 ;1.469 ;24.1 ;0.0 ;5.74 ;
1066 ;0:08.50 ;4805 ;100 ;1.464 ;23.2 ;0.0 ;5.73 ;
1066 ;0:08.51 ;4758 ;100 ;1.443 ;23.5 ;0.0 ;5.70 ;
1066 ;0:08.52 ;4688 ;100 ;1.412 ;23.2 ;0.0 ;5.66 ;
1066 ;0:08.53 ;4686 ;100 ;1.381 ;23.3 ;0.0 ;5.66 ;
1066 ;0:08.54 ;4686 ;100 ;1.350 ;23.3 ;0.0 ;5.66 ;
1066 ;0:08.55 ;4680 ;100 ;1.321 ;23.9 ;0.0 ;5.65 ;
1066 ;0:08.56 ;4615 ;100 ;1.295 ;23.7 ;0.0 ;5.61 ;
1066 ;0:08.57 ;4495 ;100 ;1.268 ;24.4 ;0.0 ;5.54 ;
1066 ;0:08.58 ;4477 ;100 ;1.242 ;24.4 ;0.0 ;5.53 ;
1066 ;0:08.59 ;4422 ;100 ;1.204 ;24.4 ;0.0 ;5.49 ;
1066 ;0:08.60 ;4393 ;100 ;1.156 ;23.5 ;0.0 ;5.47 ;
1066 ;0:08.61 ;4389 ;100 ;1.109 ;24.3 ;0.0 ;5.47 ;
1066 ;0:08.62 ;4382 ;100 ;1.061 ;24.4 ;0.0 ;5.47 ;
1066 ;0:08.63 ;4391 ;100 ;1.017 ;23.9 ;0.0 ;5.47 ;
1066 ;0:08.64 ;4358 ;100 ;0.996 ;23.9 ;0.0 ;5.45 ;
1066 ;0:08.65 ;4338 ;100 ;0.975 ;23.9 ;0.0 ;5.44 ;
1066 ;0:08.66 ;4338 ;100 ;0.954 ;24.0 ;0.0 ;5.44 ;
1066 ;0:08.67 ;4321 ;100 ;0.930 ;23.5 ;0.0 ;5.43 ;
1066 ;0:08.68 ;4310 ;100 ;0.906 ;23.7 ;0.0 ;5.42 ;
1066 ;0:08.69 ;4323 ;100 ;0.881 ;25.0 ;0.0 ;5.43 ;
1066 ;0:08.70 ;4307 ;100 ;0.856 ;25.0 ;0.0 ;5.42 ;
1066 ;0:08.71 ;4301 ;100 ;0.833 ;24.2 ;0.0 ;5.41 ;
1066 ;0:08.72 ;4343 ;100 ;0.829 ;24.3 ;0.0 ;5.44 ;
1066 ;0:08.73 ;4358 ;100 ;0.826 ;24.8 ;0.0 ;5.45 ;
1066 ;0:08.74 ;4388 ;100 ;0.823 ;24.3 ;0.0 ;5.47 ;
1066 ;0:08.75 ;4361 ;99 ;0.820 ;24.7 ;0.0 ;5.45 ;
1066 ;0:08.76 ;4388 ;97 ;0.816 ;24.7 ;0.0 ;5.47 ;
1066 ;0:08.77 ;4460 ;94 ;0.810 ;24.2 ;0.0 ;5.52 ;
1066 ;0:08.78 ;4501 ;91 ;0.806 ;24.7 ;0.0 ;5.55 ;
1066 ;0:08.79 ;4576 ;87 ;0.804 ;25.3 ;0.0 ;5.59 ;
1066 ;0:08.80 ;4658 ;83 ;0.804 ;24.2 ;0.0 ;5.64 ;
1066 ;0:08.81 ;4737 ;79 ;0.803 ;24.5 ;0.0 ;5.69 ;
1066 ;0:08.82 ;4721 ;75 ;0.803 ;24.5 ;0.0 ;5.68 ;
1066 ;0:08.83 ;4820 ;70 ;0.803 ;25.4 ;0.0 ;5.62 ;
1066 ;0:08.84 ;4757 ;65 ;0.803 ;24.2 ;0.0 ;5.50 ;
1066 ;0:08.85 ;4737 ;60 ;0.803 ;24.4 ;0.0 ;5.41 ;
1066 ;0:08.86 ;4654 ;54 ;0.803 ;25.5 ;0.0 ;5.21 ;
1066 ;0:08.87 ;4613 ;49 ;0.803 ;23.7 ;0.0 ;5.05 ;
1066 ;0:08.88 ;4549 ;43 ;0.803 ;24.7 ;0.0 ;4.86 ;
1066 ;0:08.89 ;4541 ;38 ;0.803 ;24.7 ;0.0 ;4.66 ;
1066 ;0:08.90 ;4474 ;32 ;0.804 ;24.6 ;0.0 ;4.41 ;
1066 ;0:08.91 ;4399 ;28 ;0.804 ;24.7 ;0.0 ;4.20 ;
1066 ;0:08.92 ;4371 ;23 ;0.805 ;24.5 ;0.0 ;3.97 ;
1066 ;0:08.93 ;4337 ;20 ;0.806 ;25.2 ;0.0 ;3.83 ;
1066 ;0:08.94 ;4346 ;17 ;0.806 ;24.4 ;0.0 ;3.67 ;
1066 ;0:08.95 ;4345 ;14 ;0.807 ;24.4 ;0.0 ;3.47 ;
1066 ;0:08.96 ;4296 ;12 ;0.807 ;25.1 ;0.0 ;3.35 ;
1066 ;0:08.97 ;4290 ;9 ;0.808 ;25.3 ;0.0 ;3.17 ;
1066 ;0:08.98 ;4284 ;8 ;0.807 ;24.3 ;0.0 ;3.11 ;
1066 ;0:08.99 ;4313 ;6 ;0.808 ;25.4 ;0.0 ;3.14 ;
1066 ;0:09.00 ;4331 ;5 ;0.809 ;24.8 ;0.0 ;3.16 ;
1066 ;0:09.01 ;4313 ;5 ;0.811 ;25.0 ;0.0 ;3.16 ;
1066 ;0:09.02 ;4264 ;4 ;0.812 ;25.0 ;0.0 ;3.18 ;
1066 ;0:09.03 ;4213 ;4 ;0.813 ;26.4 ;0.0 ;3.18 ;
1066 ;0:09.04 ;4174 ;4 ;0.814 ;24.6 ;0.0 ;3.18 ;
1066 ;0:09.05 ;4213 ;4 ;0.814 ;26.0 ;0.0 ;3.18 ;
1066 ;0:09.06 ;4226 ;4 ;0.816 ;26.2 ;0.0 ;3.18 ;
1066 ;0:09.07 ;4234 ;4 ;0.816 ;24.9 ;0.0 ;3.18 ;
1066 ;0:09.08 ;4240 ;3 ;0.818 ;25.9 ;0.0 ;3.22 ;
1066 ;0:09.09 ;4247 ;3 ;0.819 ;25.9 ;0.0 ;3.22 ;
1066 ;0:09.10 ;4222 ;3 ;0.821 ;26.8 ;0.0 ;3.22 ;
