SESSION; TIME;RPM;THROT;ANA1;L U SP;L D SP;SHIF A;
316 ;0:26.52 ;4117 ;0 ;0 ;20.4 ;0.0 ;0 ;
316 ;0:26.53 ;4124 ;0 ;0 ;20.2 ;0.0 ;0 ;
316 ;0:26.54 ;4124 ;0 ;0 ;20.2 ;0.0 ;0 ;
316 ;0:26.55 ;4141 ;0 ;0 ;20.9 ;0.0 ;0 ;
316 ;0:26.56 ;4151 ;0 ;0 ;20.5 ;0.0 ;0 ;
316 ;0:26.57 ;4151 ;0 ;0 ;20.4 ;0.0 ;0 ;
316 ;0:26.58 ;4162 ;0 ;0 ;20.4 ;0.0 ;0 ;
316 ;0:26.59 ;4162 ;0 ;0 ;21.6 ;0.0 ;0 ;
316 ;0:26.60 ;4166 ;0 ;0 ;20.3 ;0.0 ;0 ;
316 ;0:26.61 ;4163 ;0 ;0 ;20.3 ;0.0 ;0 ;
316 ;0:26.62 ;4175 ;0 ;0 ;21.9 ;0.0 ;0 ;
316 ;0:26.63 ;4182 ;0 ;0 ;21.9 ;0.0 ;0 ;
316 ;0:26.64 ;4184 ;0 ;0 ;20.7 ;0.0 ;0 ;
316 ;0:26.65 ;4191 ;0 ;0 ;20.7 ;0.0 ;0 ;
316 ;0:26.66 ;4216 ;0 ;0 ;21.3 ;0.0 ;0 ;
316 ;0:26.67 ;4219 ;0 ;0 ;22.8 ;0.0 ;0 ;
316 ;0:26.68 ;4241 ;0 ;0 ;22.8 ;0.0 ;0 ;
316 ;0:26.69 ;4269 ;0 ;0 ;20.8 ;0.0 ;0 ;
316 ;0:26.70 ;4304 ;0 ;0 ;21.8 ;0.0 ;0 ;
316 ;0:26.71 ;4314 ;0 ;0 ;21.3 ;0.0 ;0 ;
316 ;0:26.72 ;4348 ;0 ;0 ;21.3 ;0.0 ;0 ;
316 ;0:26.73 ;4379 ;0 ;0 ;21.3 ;0.0 ;0 ;
316 ;0:26.74 ;4388 ;0 ;0 ;21.6 ;0.0 ;0 ;
316 ;0:26.75 ;4426 ;0 ;0 ;22.6 ;0.0 ;0 ;
316 ;0:26.76 ;4449 ;0 ;0 ;22.6 ;0.0 ;0 ;
316 ;0:26.77 ;4479 ;0 ;0 ;21.6 ;0.0 ;0 ;
316 ;0:26.78 ;4474 ;0 ;0 ;22.3 ;0.0 ;0 ;
316 ;0:26.79 ;4483 ;0 ;0 ;23.2 ;0.0 ;0 ;
316 ;0:26.80 ;4502 ;0 ;0 ;23.2 ;0.0 ;0 ;
316 ;0:26.81 ;4514 ;0 ;0 ;22.4 ;0.0 ;0 ;
316 ;0:26.82 ;4509 ;0 ;0 ;22.9 ;0.0 ;0 ;
316 ;0:26.83 ;4526 ;0 ;0 ;22.2 ;0.0 ;0 ;
316 ;0:26.84 ;4539 ;0 ;0 ;22.2 ;0.0 ;0 ;
316 ;0:26.85 ;4564 ;0 ;0 ;22.5 ;0.0 ;0 ;
316 ;0:26.86 ;4560 ;0 ;0 ;23.5 ;0.0 ;0 ;
316 ;0:26.87 ;4568 ;0 ;0 ;22.7 ;0.0 ;0 ;
316 ;0:26.88 ;4586 ;0 ;0 ;23.7 ;0.0 ;0 ;
316 ;0:26.89 ;4591 ;0 ;0 ;23.7 ;0.0 ;0 ;
316 ;0:26.90 ;4584 ;0 ;0 ;23.8 ;0.0 ;0 ;
316 ;0:26.91 ;4597 ;0 ;0 ;22.8 ;0.0 ;0 ;
316 ;0:26.92 ;4612 ;0 ;0 ;23.5 ;0.0 ;0 ;
316 ;0:26.93 ;4631 ;0 ;0 ;24.1 ;0.0 ;0 ;
316 ;0:26.94 ;4641 ;0 ;0 ;24.1 ;0.0 ;0 ;
316 ;0:26.95 ;4634 ;0 ;0 ;23.1 ;0.0 ;0 ;
316 ;0:26.96 ;4659 ;0 ;0 ;23.8 ;0.0 ;0 ;
316 ;0:26.97 ;4680 ;0 ;0 ;23.3 ;0.0 ;0 ;
316 ;0:26.98 ;4714 ;0 ;0 ;23.7 ;0.0 ;0 ;
316 ;0:26.99 ;4716 ;0 ;0 ;23.7 ;0.0 ;0 ;
316 ;0:27.00 ;4731 ;0 ;0 ;23.8 ;0.0 ;0 ;
316 ;0:27.01 ;4757 ;0 ;0 ;24.2 ;0.0 ;0 ;
316 ;0:27.02 ;4796 ;0 ;0 ;24.2 ;0.0 ;0 ;
316 ;0:27.03 ;4839 ;0 ;0 ;24.5 ;0.0 ;0 ;
316 ;0:27.04 ;4849 ;0 ;0 ;24.5 ;0.0 ;0 ;
316 ;0:27.05 ;4887 ;0 ;0 ;25.4 ;0.0 ;0 ;
316 ;0:27.06 ;4923 ;0 ;0 ;24.5 ;0.0 ;0 ;
316 ;0:27.07 ;4973 ;0 ;0 ;24.2 ;0.0 ;0 ;
316 ;0:27.08 ;5018 ;0 ;0 ;23.9 ;0.0 ;0 ;
316 ;0:27.09 ;5017 ;0 ;0 ;24.4 ;0.0 ;0 ;
316 ;0:27.10 ;5030 ;0 ;0 ;24.4 ;0.0 ;0 ;
316 ;0:27.11 ;5033 ;0 ;0 ;25.6 ;0.0 ;0 ;
316 ;0:27.12 ;5052 ;0 ;0 ;24.6 ;0.0 ;0 ;
316 ;0:27.13 ;5052 ;0 ;0 ;25.7 ;0.0 ;0 ;
316 ;0:27.14 ;5033 ;0 ;0 ;25.9 ;0.0 ;0 ;
316 ;0:27.15 ;5010 ;0 ;0 ;24.6 ;0.0 ;0 ;
316 ;0:27.16 ;4996 ;0 ;0 ;25.8 ;0.0 ;0 ;
316 ;0:27.17 ;4961 ;0 ;0 ;25.8 ;0.0 ;0 ;
316 ;0:27.18 ;4926 ;0 ;0 ;26.2 ;0.0 ;0 ;
316 ;0:27.19 ;4913 ;0 ;0 ;25.1 ;0.0 ;0 ;
316 ;0:27.20 ;4867 ;0 ;0 ;25.8 ;0.0 ;0 ;
316 ;0:27.21 ;4836 ;0 ;0 ;25.3 ;0.0 ;0 ;
316 ;0:27.22 ;4784 ;0 ;0 ;25.7 ;0.0 ;0 ;
316 ;0:27.23 ;4749 ;0 ;0 ;25.6 ;0.0 ;0 ;
316 ;0:27.24 ;4739 ;0 ;0 ;26.7 ;0.0 ;0 ;
316 ;0:27.25 ;4688 ;0 ;0 ;26.7 ;0.0 ;0 ;
316 ;0:27.26 ;4647 ;0 ;0 ;26.5 ;0.0 ;0 ;
316 ;0:27.27 ;4553 ;0 ;0 ;27.4 ;0.0 ;0 ;
316 ;0:27.28 ;4522 ;0 ;0 ;27.3 ;0.0 ;0 ;
316 ;0:27.29 ;4470 ;0 ;0 ;27.4 ;0.0 ;0 ;
316 ;0:27.30 ;4442 ;0 ;0 ;27.0 ;0.0 ;0 ;
316 ;0:27.31 ;4342 ;0 ;0 ;27.3 ;0.0 ;0 ;
316 ;0:27.32 ;4336 ;0 ;0 ;26.8 ;0.0 ;0 ;
316 ;0:27.33 ;4265 ;0 ;0 ;28.7 ;0.0 ;0 ;
316 ;0:27.34 ;4238 ;0 ;0 ;27.8 ;0.0 ;0 ;
316 ;0:27.35 ;4228 ;0 ;0 ;29.2 ;0.0 ;0 ;
316 ;0:27.36 ;4258 ;0 ;0 ;28.6 ;0.0 ;0 ;
316 ;0:27.37 ;4268 ;0 ;0 ;27.6 ;0.0 ;0 ;
316 ;0:27.38 ;4260 ;0 ;0 ;29.5 ;0.0 ;0 ;
316 ;0:27.39 ;4248 ;0 ;0 ;28.8 ;0.0 ;0 ;
316 ;0:27.40 ;4175 ;0 ;0 ;27.9 ;0.0 ;0 ;
316 ;0:27.41 ;4135 ;0 ;0 ;29.6 ;0.0 ;0 ;
316 ;0:27.42 ;4126 ;0 ;0 ;29.6 ;0.0 ;0 ;
316 ;0:27.43 ;4141 ;0 ;0 ;28.7 ;0.0 ;0 ;
316 ;0:27.44 ;4163 ;0 ;0 ;28.7 ;0.0 ;0 ;
316 ;0:27.45 ;4243 ;0 ;0 ;29.0 ;0.0 ;0 ;
316 ;0:27.46 ;4278 ;0 ;0 ;29.7 ;0.0 ;0 ;
316 ;0:27.47 ;4289 ;0 ;0 ;30.5 ;0.0 ;0 ;
316 ;0:27.48 ;4289 ;0 ;0 ;30.7 ;0.0 ;0 ;
316 ;0:27.49 ;4217 ;0 ;0 ;30.7 ;0.0 ;0 ;
316 ;0:27.50 ;4209 ;0 ;0 ;30.8 ;0.0 ;0 ;
