SESSION; TIME;RPM;THROT;MAP;LAMB;L U SP;

922 ;0:00.01 ;2467 ;0 ;85;0.900 ;2.1 ;
922 ;0:00.02 ;2437 ;0 ;85;0.901 ;2.1 ;
922 ;0:00.03 ;2472 ;0 ;86;0.891 ;2.1 ;
922 ;0:00.04 ;2433 ;0 ;86;0.902 ;2.1 ;
922 ;0:00.05 ;2418 ;0 ;86;0.900 ;2.1 ;
922 ;0:00.06 ;2418 ;0 ;85;0.902 ;2.1 ;
922 ;0:00.07 ;2430 ;0 ;85;0.949 ;2.1 ;
922 ;0:00.08 ;2474 ;0 ;85;0.941 ;2.1 ;
922 ;0:00.09 ;2476 ;0 ;86;0.947 ;2.1 ;
922 ;0:00.10 ;2447 ;0 ;86;0.947 ;2.1 ;
922 ;0:00.11 ;2412 ;0 ;86;0.952 ;2.1 ;
922 ;0:00.12 ;2412 ;0 ;85;0.947 ;2.1 ;
922 ;0:00.13 ;2429 ;0 ;85;0.946 ;2.1 ;
922 ;0:00.14 ;2419 ;0 ;86;0.941 ;2.1 ;
922 ;0:00.15 ;2435 ;0 ;86;0.941 ;2.1 ;
922 ;0:00.16 ;2433 ;0 ;86;0.943 ;2.1 ;
922 ;0:00.17 ;2433 ;0 ;85;0.941 ;2.1 ;
922 ;0:00.18 ;2464 ;0 ;86;0.941 ;2.1 ;
922 ;0:00.19 ;2425 ;0 ;86;0.932 ;2.1 ;
922 ;0:00.20 ;2377 ;0 ;86;0.943 ;2.1 ;
922 ;0:00.21 ;2367 ;0 ;86;0.939 ;2.1 ;
922 ;0:00.22 ;2367 ;0 ;86;0.943 ;2.1 ;
922 ;0:00.23 ;2402 ;0 ;85;0.894 ;2.1 ;
922 ;0:00.24 ;2420 ;0 ;86;0.889 ;2.1 ;
922 ;0:00.25 ;2416 ;0 ;86;0.896 ;2.1 ;
922 ;0:00.26 ;2416 ;0 ;86;0.896 ;2.1 ;
922 ;0:00.27 ;2416 ;0 ;86;0.899 ;2.1 ;
922 ;0:00.28 ;2436 ;0 ;86;0.894 ;2.1 ;
922 ;0:00.29 ;2404 ;0 ;86;0.891 ;2.1 ;
922 ;0:00.30 ;2387 ;0 ;86;0.892 ;2.1 ;
922 ;0:00.31 ;2381 ;0 ;86;0.909 ;2.1 ;
922 ;0:00.32 ;2381 ;0 ;86;0.911 ;2.1 ;
922 ;0:00.33 ;2403 ;0 ;86;0.910 ;2.1 ;
922 ;0:00.34 ;2394 ;0 ;86;0.906 ;2.1 ;
922 ;0:00.35 ;2418 ;0 ;86;0.908 ;2.1 ;
922 ;0:00.36 ;2411 ;0 ;86;0.913 ;2.1 ;
922 ;0:00.37 ;2411 ;0 ;86;0.910 ;2.1 ;
922 ;0:00.38 ;2431 ;0 ;86;0.913 ;2.1 ;
922 ;0:00.39 ;2385 ;0 ;86;0.907 ;2.1 ;
922 ;0:00.40 ;2369 ;0 ;86;0.938 ;2.1 ;
922 ;0:00.41 ;2386 ;0 ;86;0.940 ;2.1 ;
922 ;0:00.42 ;2386 ;0 ;85;0.939 ;2.1 ;
922 ;0:00.43 ;2438 ;0 ;86;0.940 ;2.1 ;
922 ;0:00.44 ;2418 ;0 ;86;0.930 ;2.1 ;
922 ;0:00.45 ;2415 ;0 ;86;0.939 ;2.1 ;
922 ;0:00.46 ;2391 ;0 ;86;0.938 ;2.1 ;
922 ;0:00.47 ;2391 ;0 ;86;0.941 ;2.1 ;
922 ;0:00.48 ;2421 ;0 ;86;0.898 ;2.1 ;
922 ;0:00.49 ;2402 ;0 ;86;0.893 ;2.1 ;
922 ;0:00.50 ;2388 ;0 ;86;0.898 ;2.1 ;
922 ;0:00.51 ;2397 ;0 ;86;0.899 ;2.7 ;
922 ;0:00.52 ;2397 ;0 ;85;0.902 ;2.7 ;
922 ;0:00.53 ;2443 ;0 ;85;0.898 ;2.7 ;
922 ;0:00.54 ;2423 ;0 ;85;0.895 ;2.7 ;
922 ;0:00.55 ;2428 ;0 ;86;0.895 ;2.7 ;
922 ;0:00.56 ;2422 ;0 ;86;0.940 ;2.7 ;
922 ;0:00.57 ;2456 ;0 ;85;0.937 ;2.7 ;
922 ;0:00.58 ;2456 ;0 ;85;0.938 ;2.7 ;
922 ;0:00.59 ;2436 ;0 ;85;0.935 ;2.7 ;
922 ;0:00.60 ;2438 ;0 ;86;0.931 ;2.7 ;
922 ;0:00.61 ;2445 ;0 ;86;0.939 ;2.7 ;
922 ;0:00.62 ;2472 ;0 ;86;0.936 ;2.7 ;
922 ;0:00.63 ;2472 ;0 ;85;0.940 ;2.7 ;
922 ;0:00.64 ;2445 ;0 ;85;0.909 ;2.7 ;
922 ;0:00.65 ;2454 ;0 ;86;0.907 ;3.2 ;
922 ;0:00.66 ;2447 ;0 ;86;0.910 ;3.2 ;
922 ;0:00.67 ;2478 ;0 ;86;0.912 ;3.2 ;
922 ;0:00.68 ;2478 ;0 ;86;0.913 ;3.2 ;
922 ;0:00.69 ;2450 ;0 ;86;0.911 ;3.2 ;
922 ;0:00.70 ;2437 ;0 ;86;0.909 ;3.2 ;
922 ;0:00.71 ;2426 ;0 ;86;0.904 ;3.2 ;
922 ;0:00.72 ;2465 ;0 ;86;0.902 ;3.2 ;
922 ;0:00.73 ;2404 ;0 ;86;0.899 ;3.2 ;
922 ;0:00.74 ;2404 ;0 ;86;0.901 ;3.2 ;
922 ;0:00.75 ;2372 ;0 ;86;0.898 ;3.2 ;
922 ;0:00.76 ;2378 ;0 ;86;0.892 ;3.8 ;
922 ;0:00.77 ;2428 ;0 ;86;0.902 ;3.8 ;
922 ;0:00.78 ;2436 ;0 ;86;0.900 ;3.8 ;
922 ;0:00.79 ;2436 ;0 ;86;0.903 ;3.8 ;
922 ;0:00.80 ;2420 ;0 ;86;0.908 ;3.8 ;
922 ;0:00.81 ;2388 ;0 ;86;0.952 ;3.8 ;
922 ;0:00.82 ;2410 ;0 ;86;0.956 ;3.8 ;
922 ;0:00.83 ;2373 ;0 ;86;0.959 ;3.8 ;
922 ;0:00.84 ;2373 ;0 ;86;0.959 ;3.8 ;
922 ;0:00.85 ;2379 ;0 ;86;0.955 ;4.1 ;
922 ;0:00.86 ;2390 ;0 ;86;0.952 ;4.1 ;
922 ;0:00.87 ;2429 ;0 ;86;0.956 ;4.1 ;
922 ;0:00.88 ;2419 ;0 ;86;0.961 ;4.1 ;
922 ;0:00.89 ;2419 ;0 ;86;0.950 ;4.1 ;
922 ;0:00.90 ;2392 ;0 ;86;0.951 ;4.1 ;
922 ;0:00.91 ;2344 ;0 ;86;0.943 ;4.1 ;
922 ;0:00.92 ;2373 ;0 ;86;0.951 ;4.7 ;
922 ;0:00.93 ;2354 ;0 ;86;0.953 ;4.7 ;
922 ;0:00.94 ;2354 ;0 ;86;0.951 ;4.7 ;
922 ;0:00.95 ;2365 ;0 ;86;0.949 ;4.7 ;
922 ;0:00.96 ;2390 ;0 ;86;0.945 ;4.7 ;
922 ;0:00.97 ;2442 ;0 ;86;0.895 ;4.7 ;
922 ;0:00.98 ;2410 ;0 ;86;0.891 ;4.7 ;
922 ;0:00.99 ;2410 ;0 ;86;0.894 ;4.8 ;
922 ;0:01.00 ;2372 ;0 ;86;0.888 ;4.8 ;
922 ;0:01.01 ;2351 ;0 ;86;0.888 ;4.8 ;
922 ;0:01.02 ;2391 ;0 ;86;0.893 ;4.8 ;
922 ;0:01.03 ;2391 ;0 ;86;0.891 ;4.8 ;
922 ;0:01.04 ;2404 ;0 ;86;0.895 ;4.8 ;
922 ;0:01.05 ;2416 ;0 ;86;0.888 ;4.8 ;
922 ;0:01.06 ;2414 ;0 ;86;0.893 ;5.4 ;
922 ;0:01.07 ;2422 ;0 ;86;0.893 ;5.4 ;
922 ;0:01.08 ;2383 ;0 ;86;0.896 ;5.4 ;
922 ;0:01.09 ;2383 ;0 ;86;0.895 ;5.4 ;
922 ;0:01.10 ;2383 ;0 ;86;0.889 ;5.4 ;
922 ;0:01.11 ;2377 ;0 ;86;0.892 ;5.4 ;
922 ;0:01.12 ;2415 ;0 ;86;0.893 ;5.5 ;
922 ;0:01.13 ;2415 ;0 ;86;0.943 ;5.5 ;
922 ;0:01.14 ;2399 ;0 ;86;0.939 ;5.5 ;
922 ;0:01.15 ;2379 ;0 ;86;0.937 ;5.5 ;
922 ;0:01.16 ;2371 ;0 ;86;0.935 ;5.5 ;
922 ;0:01.17 ;2420 ;0 ;86;0.941 ;6.0 ;
922 ;0:01.18 ;2420 ;0 ;86;0.941 ;6.0 ;
922 ;0:01.19 ;2395 ;0 ;86;0.940 ;6.0 ;
922 ;0:01.20 ;2393 ;0 ;86;0.935 ;6.0 ;
922 ;0:01.21 ;2405 ;0 ;86;0.939 ;6.0 ;
922 ;0:01.22 ;2458 ;0 ;86;0.954 ;6.5 ;
922 ;0:01.23 ;2458 ;0 ;86;0.950 ;6.5 ;
922 ;0:01.24 ;2427 ;0 ;86;0.954 ;6.5 ;
922 ;0:01.25 ;2385 ;0 ;86;0.946 ;6.5 ;
922 ;0:01.26 ;2351 ;0 ;86;0.947 ;6.5 ;
922 ;0:01.27 ;2377 ;0 ;86;0.952 ;6.4 ;
922 ;0:01.28 ;2377 ;0 ;86;0.951 ;6.4 ;
922 ;0:01.29 ;2399 ;0 ;86;0.949 ;6.4 ;
922 ;0:01.30 ;2424 ;0 ;86;0.877 ;6.4 ;
922 ;0:01.31 ;2429 ;0 ;86;0.883 ;6.4 ;
922 ;0:01.32 ;2462 ;0 ;86;0.882 ;7.0 ;
922 ;0:01.33 ;2462 ;0 ;86;0.886 ;7.0 ;
922 ;0:01.34 ;2432 ;0 ;86;0.884 ;7.0 ;
922 ;0:01.35 ;2414 ;0 ;85;0.882 ;7.0 ;
922 ;0:01.36 ;2409 ;0 ;86;0.879 ;7.0 ;
922 ;0:01.37 ;2448 ;0 ;86;0.884 ;7.0 ;
922 ;0:01.38 ;2445 ;0 ;86;0.896 ;7.0 ;
922 ;0:01.39 ;2445 ;0 ;86;0.892 ;7.0 ;
922 ;0:01.40 ;2444 ;0 ;86;0.894 ;7.0 ;
922 ;0:01.41 ;2419 ;0 ;86;0.884 ;7.4 ;
922 ;0:01.42 ;2441 ;0 ;86;0.894 ;7.4 ;
922 ;0:01.43 ;2410 ;0 ;86;0.893 ;7.4 ;
922 ;0:01.44 ;2410 ;0 ;86;0.894 ;7.4 ;
922 ;0:01.45 ;2409 ;0 ;86;0.894 ;7.8 ;
922 ;0:01.46 ;2407 ;0 ;86;0.940 ;7.8 ;
922 ;0:01.47 ;2443 ;0 ;86;0.948 ;7.8 ;
922 ;0:01.48 ;2427 ;0 ;86;0.946 ;7.8 ;
922 ;0:01.49 ;2427 ;0 ;86;0.951 ;7.9 ;
922 ;0:01.50 ;2426 ;0 ;86;0.946 ;7.9 ;
922 ;0:01.51 ;2388 ;0 ;86;0.943 ;7.9 ;
922 ;0:01.52 ;2412 ;0 ;86;0.945 ;8.3 ;
922 ;0:01.53 ;2395 ;0 ;86;0.947 ;8.3 ;
922 ;0:01.54 ;2395 ;0 ;86;0.944 ;8.3 ;
922 ;0:01.55 ;2393 ;0 ;86;0.941 ;8.3 ;
922 ;0:01.56 ;2390 ;0 ;86;0.938 ;8.6 ;
922 ;0:01.57 ;2440 ;0 ;86;0.937 ;8.6 ;
922 ;0:01.58 ;2396 ;0 ;86;0.945 ;8.6 ;
922 ;0:01.59 ;2396 ;0 ;86;0.941 ;8.6 ;
922 ;0:01.60 ;2377 ;0 ;86;0.943 ;8.5 ;
922 ;0:01.61 ;2399 ;0 ;86;0.937 ;8.5 ;
922 ;0:01.62 ;2454 ;0 ;86;0.966 ;8.5 ;
922 ;0:01.63 ;2421 ;0 ;86;0.998 ;8.9 ;
922 ;0:01.64 ;2421 ;0 ;86;0.995 ;8.9 ;
922 ;0:01.65 ;2366 ;0 ;86;0.999 ;8.9 ;
922 ;0:01.66 ;2338 ;0 ;86;0.989 ;9.2 ;
922 ;0:01.67 ;2372 ;0 ;86;0.995 ;9.2 ;
922 ;0:01.68 ;2399 ;0 ;86;0.995 ;9.2 ;
922 ;0:01.69 ;2399 ;0 ;86;0.996 ;9.2 ;
922 ;0:01.70 ;2407 ;0 ;86;0.992 ;8.7 ;
922 ;0:01.71 ;2383 ;0 ;86;0.943 ;8.7 ;
922 ;0:01.72 ;2406 ;0 ;86;0.949 ;8.7 ;
922 ;0:01.73 ;2358 ;0 ;86;0.949 ;9.4 ;
922 ;0:01.74 ;2358 ;0 ;86;0.953 ;9.4 ;
922 ;0:01.75 ;2353 ;0 ;86;0.948 ;9.4 ;
922 ;0:01.76 ;2381 ;0 ;86;0.944 ;9.0 ;
922 ;0:01.77 ;2433 ;0 ;86;0.948 ;9.0 ;
922 ;0:01.78 ;2401 ;0 ;86;0.949 ;9.0 ;
922 ;0:01.79 ;2401 ;0 ;86;0.920 ;9.3 ;
922 ;0:01.80 ;2359 ;0 ;86;0.917 ;9.3 ;
922 ;0:01.81 ;2343 ;0 ;86;0.913 ;9.3 ;
922 ;0:01.82 ;2387 ;0 ;86;0.916 ;9.3 ;
922 ;0:01.83 ;2402 ;0 ;86;0.921 ;9.5 ;
922 ;0:01.84 ;2402 ;0 ;86;0.917 ;9.5 ;
922 ;0:01.85 ;2398 ;0 ;86;0.919 ;9.5 ;
922 ;0:01.86 ;2375 ;0 ;86;0.912 ;9.7 ;
922 ;0:01.87 ;2386 ;0 ;86;0.892 ;9.7 ;
922 ;0:01.88 ;2349 ;0 ;86;0.894 ;9.7 ;
922 ;0:01.89 ;2349 ;0 ;86;0.892 ;9.5 ;
922 ;0:01.90 ;2344 ;0 ;86;0.891 ;9.5 ;
922 ;0:01.91 ;2360 ;0 ;86;0.886 ;9.5 ;
922 ;0:01.92 ;2412 ;0 ;86;0.895 ;10.0 ;
922 ;0:01.93 ;2419 ;0 ;86;0.890 ;10.0 ;
922 ;0:01.94 ;2419 ;0 ;86;0.893 ;10.0 ;
922 ;0:01.95 ;2419 ;0 ;86;0.870 ;9.8 ;
922 ;0:01.96 ;2368 ;0 ;86;0.868 ;9.8 ;
922 ;0:01.97 ;2388 ;0 ;86;0.875 ;9.8 ;
922 ;0:01.98 ;2351 ;0 ;86;0.873 ;9.9 ;
922 ;0:01.99 ;2351 ;0 ;86;0.876 ;9.9 ;
922 ;0:02.00 ;2366 ;0 ;86;0.866 ;9.9 ;
922 ;0:02.01 ;2404 ;0 ;86;0.873 ;9.8 ;
922 ;0:02.02 ;2461 ;0 ;86;0.872 ;9.8 ;
922 ;0:02.03 ;2461 ;0 ;86;0.891 ;9.8 ;
922 ;0:02.04 ;2453 ;0 ;86;0.893 ;10.3 ;
922 ;0:02.05 ;2410 ;0 ;86;0.887 ;10.3 ;
922 ;0:02.06 ;2387 ;0 ;86;0.889 ;10.3 ;
922 ;0:02.07 ;2426 ;0 ;86;0.892 ;9.8 ;
922 ;0:02.08 ;2404 ;0 ;86;0.896 ;9.8 ;
922 ;0:02.09 ;2404 ;0 ;86;0.892 ;9.8 ;
922 ;0:02.10 ;2397 ;0 ;86;0.891 ;10.6 ;
922 ;0:02.11 ;2396 ;0 ;86;0.893 ;10.6 ;
922 ;0:02.12 ;2436 ;0 ;86;0.936 ;10.6 ;
922 ;0:02.13 ;2431 ;0 ;86;0.937 ;9.7 ;
922 ;0:02.14 ;2431 ;0 ;86;0.935 ;9.7 ;
922 ;0:02.15 ;2440 ;0 ;86;0.935 ;10.4 ;
922 ;0:02.16 ;2436 ;0 ;86;0.927 ;10.4 ;
922 ;0:02.17 ;2474 ;0 ;86;0.937 ;10.4 ;
922 ;0:02.18 ;2442 ;0 ;86;0.934 ;11.4 ;
922 ;0:02.19 ;2442 ;0 ;86;0.938 ;11.4 ;
922 ;0:02.20 ;2412 ;0 ;86;0.974 ;11.4 ;
922 ;0:02.21 ;2404 ;0 ;86;0.967 ;10.4 ;
922 ;0:02.22 ;2444 ;0 ;86;0.974 ;10.4 ;
922 ;0:02.23 ;2419 ;0 ;87;0.974 ;10.4 ;
922 ;0:02.24 ;2419 ;0 ;87;0.977 ;10.7 ;
922 ;0:02.25 ;2395 ;0 ;86;0.974 ;10.7 ;
922 ;0:02.26 ;2389 ;0 ;86;0.971 ;10.7 ;
922 ;0:02.27 ;2425 ;0 ;86;0.971 ;10.9 ;
922 ;0:02.28 ;2396 ;0 ;87;0.985 ;10.9 ;
922 ;0:02.29 ;2396 ;0 ;87;0.984 ;10.6 ;
922 ;0:02.30 ;2362 ;0 ;87;0.984 ;10.6 ;
922 ;0:02.31 ;2327 ;0 ;87;0.978 ;10.6 ;
922 ;0:02.32 ;2317 ;0 ;87;0.981 ;10.7 ;
922 ;0:02.33 ;2315 ;0 ;87;0.986 ;10.7 ;
922 ;0:02.34 ;2315 ;0 ;86;0.982 ;10.7 ;
922 ;0:02.35 ;2336 ;0 ;86;0.983 ;10.8 ;
922 ;0:02.36 ;2357 ;0 ;87;0.958 ;10.8 ;
922 ;0:02.37 ;2385 ;0 ;87;0.966 ;10.8 ;
922 ;0:02.38 ;2385 ;0 ;87;0.966 ;11.3 ;
922 ;0:02.39 ;2363 ;0 ;87;0.966 ;11.3 ;
922 ;0:02.40 ;2328 ;0 ;87;0.961 ;10.8 ;
922 ;0:02.41 ;2299 ;0 ;87;0.962 ;10.8 ;
922 ;0:02.42 ;2323 ;0 ;87;0.967 ;10.8 ;
922 ;0:02.43 ;2323 ;0 ;86;0.964 ;11.2 ;
922 ;0:02.44 ;2317 ;0 ;86;0.964 ;11.2 ;
922 ;0:02.45 ;2322 ;0 ;87;0.956 ;11.4 ;
922 ;0:02.46 ;2311 ;0 ;87;0.966 ;11.4 ;
922 ;0:02.47 ;2338 ;0 ;86;0.966 ;11.4 ;
922 ;0:02.48 ;2338 ;0 ;86;0.965 ;11.1 ;
922 ;0:02.49 ;2313 ;0 ;86;0.960 ;11.1 ;
922 ;0:02.50 ;2297 ;0 ;87;0.963 ;11.1 ;
922 ;0:02.51 ;2297 ;0 ;87;0.967 ;11.9 ;
922 ;0:02.52 ;2297 ;0 ;86;0.963 ;11.9 ;
922 ;0:02.53 ;2340 ;0 ;86;0.959 ;11.3 ;
922 ;0:02.54 ;2319 ;0 ;86;0.957 ;11.3 ;
922 ;0:02.55 ;2304 ;0 ;87;0.962 ;11.3 ;
922 ;0:02.56 ;2304 ;0 ;86;0.963 ;12.0 ;
922 ;0:02.57 ;2302 ;0 ;86;0.960 ;12.0 ;
922 ;0:02.58 ;2339 ;0 ;86;0.955 ;11.5 ;
922 ;0:02.59 ;2334 ;0 ;87;0.960 ;11.5 ;
922 ;0:02.60 ;2324 ;0 ;86;0.964 ;11.5 ;
922 ;0:02.61 ;2324 ;0 ;86;0.959 ;11.8 ;
922 ;0:02.62 ;2327 ;0 ;86;0.955 ;11.8 ;
922 ;0:02.63 ;2375 ;0 ;86;0.959 ;12.1 ;
922 ;0:02.64 ;2364 ;0 ;86;0.962 ;12.1 ;
922 ;0:02.65 ;2364 ;0 ;86;0.963 ;12.1 ;
922 ;0:02.66 ;2354 ;0 ;86;0.960 ;11.8 ;
922 ;0:02.67 ;2333 ;0 ;86;0.956 ;11.8 ;
922 ;0:02.68 ;2367 ;0 ;86;0.959 ;12.2 ;
922 ;0:02.69 ;2382 ;0 ;86;0.957 ;12.2 ;
922 ;0:02.70 ;2382 ;0 ;86;0.952 ;12.2 ;
922 ;0:02.71 ;2378 ;0 ;86;0.952 ;12.2 ;
922 ;0:02.72 ;2379 ;0 ;86;0.947 ;12.2 ;
922 ;0:02.73 ;2424 ;0 ;86;0.953 ;11.9 ;
922 ;0:02.74 ;2406 ;0 ;86;0.955 ;11.9 ;
922 ;0:02.75 ;2406 ;0 ;86;0.953 ;11.9 ;
922 ;0:02.76 ;2402 ;0 ;85;0.953 ;12.4 ;
922 ;0:02.77 ;2381 ;0 ;86;0.954 ;12.4 ;
922 ;0:02.78 ;2416 ;0 ;86;0.966 ;11.9 ;
922 ;0:02.79 ;2415 ;0 ;86;0.962 ;11.9 ;
922 ;0:02.80 ;2415 ;0 ;85;0.966 ;12.4 ;
922 ;0:02.81 ;2424 ;0 ;85;0.962 ;12.4 ;
922 ;0:02.82 ;2442 ;0 ;86;0.956 ;12.4 ;
922 ;0:02.83 ;2498 ;0 ;86;0.965 ;12.6 ;
922 ;0:02.84 ;2458 ;0 ;86;0.963 ;12.6 ;
922 ;0:02.85 ;2458 ;0 ;86;0.961 ;12.4 ;
922 ;0:02.86 ;2401 ;0 ;86;0.956 ;12.4 ;
922 ;0:02.87 ;2363 ;0 ;86;0.953 ;12.2 ;
922 ;0:02.88 ;2389 ;0 ;86;0.955 ;12.2 ;
922 ;0:02.89 ;2436 ;0 ;86;0.958 ;12.2 ;
922 ;0:02.90 ;2436 ;0 ;86;0.959 ;11.7 ;
922 ;0:02.91 ;2459 ;0 ;86;0.957 ;11.7 ;
922 ;0:02.92 ;2419 ;0 ;85;0.953 ;13.1 ;
922 ;0:02.93 ;2445 ;0 ;86;0.943 ;13.1 ;
922 ;0:02.94 ;2415 ;0 ;86;0.928 ;13.1 ;
922 ;0:02.95 ;2376 ;0 ;86;0.924 ;12.6 ;
922 ;0:02.96 ;2376 ;0 ;86;0.929 ;12.6 ;
922 ;0:02.97 ;2383 ;0 ;85;0.921 ;12.9 ;
922 ;0:02.98 ;2439 ;0 ;86;0.923 ;12.9 ;
922 ;0:02.99 ;2447 ;0 ;86;0.928 ;12.8 ;
922 ;0:03.00 ;2447 ;0 ;86;0.926 ;12.8 ;
922 ;0:03.01 ;2444 ;0 ;86;0.929 ;12.8 ;
922 ;0:03.02 ;2401 ;0 ;85;0.917 ;12.5 ;
922 ;0:03.03 ;2420 ;0 ;86;0.917 ;12.5 ;
922 ;0:03.04 ;2391 ;0 ;86;0.919 ;12.6 ;
922 ;0:03.05 ;2405 ;0 ;86;0.923 ;12.6 ;
922 ;0:03.06 ;2405 ;0 ;86;0.921 ;12.9 ;
922 ;0:03.07 ;2429 ;0 ;86;0.918 ;12.9 ;
922 ;0:03.08 ;2474 ;0 ;86;0.914 ;12.9 ;
922 ;0:03.09 ;2461 ;0 ;86;0.919 ;12.8 ;
922 ;0:03.10 ;2410 ;0 ;86;0.980 ;12.8 ;
922 ;0:03.11 ;2410 ;0 ;86;0.977 ;13.4 ;
922 ;0:03.12 ;2354 ;0 ;86;0.981 ;13.4 ;
922 ;0:03.13 ;2382 ;0 ;86;0.969 ;12.7 ;
922 ;0:03.14 ;2383 ;0 ;86;0.978 ;12.7 ;
922 ;0:03.15 ;2407 ;0 ;86;0.979 ;14.2 ;
922 ;0:03.16 ;2407 ;0 ;86;0.979 ;14.2 ;
922 ;0:03.17 ;2387 ;0 ;86;0.979 ;14.2 ;
922 ;0:03.18 ;2417 ;0 ;86;1.010 ;13.5 ;
922 ;0:03.19 ;2394 ;0 ;86;1.020 ;13.5 ;
922 ;0:03.20 ;2369 ;0 ;86;1.017 ;13.4 ;
922 ;0:03.21 ;2369 ;0 ;86;1.022 ;13.4 ;
922 ;0:03.22 ;2364 ;0 ;86;1.015 ;13.7 ;
922 ;0:03.23 ;2401 ;0 ;86;1.011 ;13.7 ;
922 ;0:03.24 ;2405 ;0 ;87;1.018 ;13.6 ;
922 ;0:03.25 ;2390 ;0 ;86;1.018 ;13.6 ;
