SESSION; TIME;RPM;THROT;MAP;LAMB;L U SP;L D SP;SLIP%;

459 ;0:00.01 ;2749 ;0 ;81;0.817 ;1.4 ;13.3 ;850 ;
459 ;0:00.02 ;2767 ;0 ;81;0.830 ;1.4 ;13.4 ;857 ;
459 ;0:00.03 ;2743 ;0 ;81;0.833 ;1.4 ;13.3 ;850 ;
459 ;0:00.04 ;2679 ;0 ;81;0.833 ;1.4 ;13.0 ;828 ;
459 ;0:00.05 ;2664 ;0 ;81;0.833 ;1.4 ;12.9 ;821 ;
459 ;0:00.06 ;2664 ;0 ;81;0.834 ;1.4 ;13.0 ;828 ;
459 ;0:00.07 ;2690 ;0 ;81;0.832 ;1.4 ;13.0 ;828 ;
459 ;0:00.08 ;2728 ;0 ;81;0.834 ;1.4 ;13.2 ;842 ;
459 ;0:00.09 ;2750 ;0 ;81;0.830 ;1.4 ;13.3 ;850 ;
459 ;0:00.10 ;2791 ;0 ;81;0.830 ;1.4 ;13.5 ;864 ;
459 ;0:00.11 ;2753 ;0 ;81;0.820 ;1.4 ;13.3 ;850 ;
459 ;0:00.12 ;2683 ;0 ;81;0.821 ;1.4 ;13.0 ;828 ;
459 ;0:00.13 ;2651 ;0 ;81;0.826 ;1.4 ;12.8 ;814 ;
459 ;0:00.14 ;2692 ;0 ;81;0.825 ;1.4 ;13.0 ;828 ;
459 ;0:00.15 ;2747 ;0 ;81;0.828 ;1.4 ;13.3 ;850 ;
459 ;0:00.16 ;2786 ;0 ;81;0.825 ;1.4 ;13.5 ;864 ;
459 ;0:00.17 ;2786 ;0 ;81;0.828 ;1.4 ;13.5 ;864 ;
459 ;0:00.18 ;2783 ;0 ;81;0.824 ;2.7 ;13.5 ;400 ;
459 ;0:00.19 ;2799 ;0 ;81;0.830 ;2.7 ;13.6 ;403 ;
459 ;0:00.20 ;2727 ;0 ;80;0.828 ;2.7 ;13.2 ;388 ;
459 ;0:00.21 ;2666 ;0 ;81;0.825 ;2.7 ;12.9 ;377 ;
459 ;0:00.22 ;2675 ;0 ;81;0.823 ;2.7 ;13.0 ;381 ;
459 ;0:00.23 ;2717 ;0 ;81;0.823 ;2.7 ;13.2 ;388 ;
459 ;0:00.24 ;2769 ;0 ;81;0.829 ;2.7 ;13.4 ;396 ;
459 ;0:00.25 ;2782 ;0 ;81;0.826 ;2.7 ;13.5 ;400 ;
459 ;0:00.26 ;2747 ;0 ;81;0.831 ;2.7 ;13.3 ;392 ;
459 ;0:00.27 ;2724 ;0 ;81;0.813 ;2.7 ;13.2 ;388 ;
459 ;0:00.28 ;2685 ;0 ;81;0.816 ;2.7 ;13.0 ;381 ;
459 ;0:00.29 ;2685 ;0 ;81;0.815 ;2.7 ;13.0 ;381 ;
459 ;0:00.30 ;2690 ;0 ;80;0.815 ;2.7 ;13.0 ;381 ;
459 ;0:00.31 ;2724 ;0 ;80;0.816 ;2.7 ;13.2 ;388 ;
459 ;0:00.32 ;2781 ;0 ;80;0.810 ;2.7 ;13.5 ;400 ;
459 ;0:00.33 ;2801 ;0 ;81;0.812 ;2.7 ;13.6 ;403 ;
459 ;0:00.34 ;2753 ;0 ;81;0.806 ;2.7 ;13.3 ;392 ;
459 ;0:00.35 ;2678 ;0 ;81;0.817 ;2.7 ;13.0 ;381 ;
459 ;0:00.36 ;2663 ;0 ;81;0.816 ;2.7 ;12.9 ;377 ;
