SESSION; TIME;RPM;THROT;LAMB;TAR LB;INJ;INJ %;

400 ;0:00.01 ;2091 ;0 ;0.909 ;0.850 ;3.25 ;8 ;
400 ;0:00.02 ;2079 ;0 ;0.918 ;0.850 ;3.26 ;8 ;
400 ;0:00.03 ;2040 ;0 ;0.918 ;0.850 ;3.28 ;8 ;
400 ;0:00.04 ;2040 ;0 ;0.916 ;0.850 ;3.28 ;8 ;
400 ;0:00.05 ;1998 ;0 ;0.919 ;0.850 ;3.30 ;8 ;
400 ;0:00.06 ;2003 ;0 ;0.921 ;0.850 ;3.29 ;8 ;
400 ;0:00.07 ;2003 ;0 ;0.913 ;0.850 ;3.29 ;8 ;
400 ;0:00.08 ;2005 ;0 ;0.922 ;0.850 ;3.29 ;8 ;
400 ;0:00.09 ;2010 ;0 ;0.917 ;0.850 ;3.29 ;8 ;
400 ;0:00.10 ;2010 ;0 ;0.924 ;0.850 ;3.29 ;8 ;
400 ;0:00.11 ;2024 ;0 ;0.928 ;0.850 ;3.28 ;8 ;
400 ;0:00.12 ;2077 ;0 ;0.929 ;0.850 ;3.26 ;8 ;
400 ;0:00.13 ;2077 ;0 ;0.921 ;0.850 ;3.26 ;8 ;
400 ;0:00.14 ;2011 ;0 ;0.927 ;0.850 ;3.29 ;8 ;
400 ;0:00.15 ;1943 ;0 ;0.931 ;0.850 ;3.30 ;8 ;
400 ;0:00.16 ;1943 ;0 ;0.918 ;0.850 ;3.30 ;8 ;
400 ;0:00.17 ;1937 ;0 ;0.931 ;0.850 ;3.31 ;8 ;
400 ;0:00.18 ;1961 ;0 ;0.914 ;0.850 ;3.30 ;8 ;
400 ;0:00.19 ;1961 ;0 ;0.911 ;0.850 ;3.30 ;8 ;
400 ;0:00.20 ;1990 ;0 ;0.916 ;0.850 ;3.30 ;8 ;
400 ;0:00.21 ;2009 ;0 ;0.915 ;0.850 ;3.29 ;8 ;
400 ;0:00.22 ;2009 ;0 ;0.912 ;0.850 ;3.29 ;8 ;
400 ;0:00.23 ;1986 ;0 ;0.915 ;0.850 ;3.30 ;8 ;
400 ;0:00.24 ;2030 ;0 ;0.918 ;0.850 ;3.28 ;8 ;
400 ;0:00.25 ;2030 ;0 ;0.910 ;0.850 ;3.28 ;8 ;
400 ;0:00.26 ;1936 ;0 ;0.914 ;0.850 ;3.31 ;8 ;
400 ;0:00.27 ;1855 ;0 ;0.909 ;0.850 ;3.32 ;8 ;
400 ;0:00.28 ;1855 ;0 ;0.909 ;0.850 ;3.32 ;8 ;
400 ;0:00.29 ;1880 ;0 ;0.911 ;0.850 ;3.31 ;8 ;
400 ;0:00.30 ;1880 ;0 ;0.905 ;0.850 ;3.31 ;8 ;
400 ;0:00.31 ;1905 ;0 ;0.912 ;0.850 ;3.31 ;8 ;
400 ;0:00.32 ;1953 ;0 ;0.910 ;0.850 ;3.30 ;8 ;
400 ;0:00.33 ;1953 ;0 ;0.905 ;0.850 ;3.30 ;8 ;
400 ;0:00.34 ;1929 ;0 ;0.895 ;0.850 ;3.31 ;8 ;
400 ;0:00.35 ;1891 ;0 ;0.907 ;0.850 ;3.31 ;8 ;
400 ;0:00.36 ;1891 ;0 ;0.894 ;0.850 ;3.31 ;8 ;
400 ;0:00.37 ;1921 ;0 ;0.905 ;0.850 ;3.31 ;8 ;
400 ;0:00.38 ;1827 ;0 ;0.905 ;0.850 ;3.32 ;8 ;
400 ;0:00.39 ;1827 ;0 ;0.901 ;0.850 ;3.32 ;8 ;
400 ;0:00.40 ;1792 ;0 ;0.907 ;0.850 ;3.33 ;8 ;
400 ;0:00.41 ;1792 ;0 ;0.896 ;0.850 ;3.33 ;8 ;
400 ;0:00.42 ;1806 ;0 ;0.908 ;0.850 ;3.33 ;8 ;
400 ;0:00.43 ;1859 ;0 ;0.934 ;0.850 ;3.32 ;8 ;
400 ;0:00.44 ;1859 ;0 ;0.933 ;0.850 ;3.32 ;8 ;
400 ;0:00.45 ;1900 ;0 ;0.935 ;0.850 ;3.31 ;8 ;
400 ;0:00.46 ;1900 ;0 ;0.930 ;0.850 ;3.31 ;8 ;
400 ;0:00.47 ;1833 ;0 ;0.936 ;0.850 ;3.32 ;8 ;
400 ;0:00.48 ;1773 ;0 ;0.934 ;0.850 ;3.33 ;8 ;
400 ;0:00.49 ;1773 ;0 ;0.928 ;0.850 ;3.33 ;8 ;
400 ;0:00.50 ;1789 ;0 ;0.934 ;0.850 ;3.33 ;8 ;
400 ;0:00.51 ;1763 ;0 ;0.936 ;0.850 ;3.33 ;8 ;
400 ;0:00.52 ;1763 ;0 ;0.934 ;0.850 ;3.33 ;8 ;
400 ;0:00.53 ;1804 ;0 ;0.938 ;0.850 ;3.33 ;8 ;
400 ;0:00.54 ;1804 ;0 ;0.927 ;0.850 ;3.33 ;8 ;
400 ;0:00.55 ;1820 ;0 ;0.936 ;0.850 ;3.32 ;8 ;
400 ;0:00.56 ;1820 ;0 ;0.934 ;0.850 ;3.32 ;8 ;
400 ;0:00.57 ;1862 ;0 ;0.935 ;0.850 ;3.32 ;8 ;
400 ;0:00.58 ;1841 ;0 ;0.939 ;0.850 ;3.32 ;8 ;
400 ;0:00.59 ;1841 ;0 ;0.896 ;0.850 ;3.32 ;8 ;
400 ;0:00.60 ;1742 ;0 ;0.909 ;0.850 ;3.34 ;8 ;
400 ;0:00.61 ;1723 ;0 ;0.904 ;0.850 ;3.34 ;8 ;
400 ;0:00.62 ;1723 ;0 ;0.907 ;0.850 ;3.34 ;8 ;
400 ;0:00.63 ;1799 ;0 ;0.907 ;0.850 ;3.33 ;8 ;
400 ;0:00.64 ;1799 ;0 ;0.897 ;0.850 ;3.33 ;8 ;
400 ;0:00.65 ;1804 ;0 ;0.908 ;0.850 ;3.33 ;8 ;
400 ;0:00.66 ;1804 ;0 ;0.901 ;0.850 ;3.32 ;8 ;
400 ;0:00.67 ;1838 ;0 ;0.917 ;0.850 ;3.32 ;8 ;
400 ;0:00.68 ;1776 ;0 ;0.913 ;0.850 ;3.33 ;8 ;
400 ;0:00.69 ;1776 ;0 ;0.908 ;0.850 ;3.33 ;8 ;
400 ;0:00.70 ;1765 ;0 ;0.913 ;0.850 ;3.33 ;8 ;
400 ;0:00.71 ;1765 ;0 ;0.911 ;0.850 ;3.34 ;8 ;
400 ;0:00.72 ;1742 ;0 ;0.905 ;0.850 ;3.34 ;8 ;
