SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;TAR LB;SLIP%;INJ;ADV;SHIF A;INJ %;L/100K;

130 ;0:00.10 ;2264 ;0 ;1.083 ;2.7 ;0.0 ;0.900 ;0 ;2.72 ;7.0 ;0 ;6 ;71.8;
130 ;0:00.20 ;2255 ;0 ;1.097 ;3.2 ;0.0 ;0.900 ;0 ;2.73 ;7.0 ;0 ;6 ;62.1;
130 ;0:00.30 ;2281 ;0 ;1.112 ;3.7 ;0.0 ;0.900 ;0 ;2.70 ;7.1 ;0 ;6 ;60.5;
130 ;0:00.40 ;2314 ;0 ;1.117 ;3.8 ;0.0 ;0.900 ;0 ;2.67 ;7.2 ;0 ;6 ;53.4;
130 ;0:00.50 ;2344 ;0 ;1.128 ;4.5 ;0.0 ;0.900 ;0 ;2.63 ;7.3 ;0 ;6 ;46.9;
130 ;0:00.60 ;2287 ;0 ;1.105 ;4.9 ;0.0 ;0.900 ;0 ;2.70 ;7.1 ;0 ;6 ;46.0;
130 ;0:00.70 ;2189 ;0 ;1.130 ;5.6 ;0.0 ;0.900 ;0 ;2.80 ;6.7 ;0 ;7 ;41.0;
130 ;0:00.80 ;2219 ;0 ;1.146 ;5.8 ;0.0 ;0.900 ;0 ;2.77 ;6.8 ;0 ;6 ;37.0;
130 ;0:00.90 ;2196 ;0 ;1.137 ;6.3 ;0.0 ;0.900 ;0 ;2.79 ;6.7 ;0 ;6 ;34.8;
130 ;0:01.00 ;2242 ;0 ;1.133 ;7.0 ;0.0 ;0.900 ;0 ;2.74 ;6.9 ;0 ;6 ;32.8;
130 ;0:01.10 ;2201 ;0 ;1.113 ;7.5 ;0.0 ;0.900 ;0 ;2.79 ;6.8 ;0 ;6 ;30.6;
130 ;0:01.20 ;2298 ;0 ;1.131 ;8.3 ;0.0 ;0.900 ;0 ;2.68 ;7.1 ;0 ;6 ;29.1;
130 ;0:01.30 ;2232 ;0 ;1.097 ;8.5 ;0.0 ;0.900 ;0 ;2.75 ;6.9 ;0 ;6 ;26.7;
130 ;0:01.40 ;2220 ;0 ;1.101 ;9.6 ;0.0 ;0.900 ;0 ;2.77 ;6.8 ;0 ;6 ;25.8;
130 ;0:01.50 ;2250 ;0 ;1.096 ;9.2 ;0.0 ;0.900 ;0 ;2.73 ;7.0 ;0 ;6 ;25.0;
130 ;0:01.60 ;2313 ;0 ;1.121 ;9.8 ;0.0 ;0.900 ;0 ;2.67 ;7.2 ;0 ;6 ;22.7;
130 ;0:01.70 ;2352 ;0 ;1.120 ;10.2 ;0.0 ;0.900 ;0 ;2.62 ;7.4 ;0 ;6 ;21.9;
130 ;0:01.80 ;2340 ;0 ;1.111 ;10.2 ;0.0 ;0.900 ;0 ;2.64 ;7.3 ;0 ;6 ;22.1;
130 ;0:01.90 ;2333 ;0 ;1.144 ;10.8 ;0.0 ;0.900 ;0 ;2.65 ;7.3 ;0 ;6 ;21.9;
130 ;0:02.00 ;2259 ;0 ;1.143 ;10.8 ;0.0 ;0.900 ;0 ;2.73 ;7.0 ;0 ;6 ;21.2;
130 ;0:02.10 ;2259 ;0 ;1.154 ;11.0 ;0.0 ;0.900 ;0 ;2.73 ;7.0 ;0 ;6 ;20.7;
130 ;0:02.20 ;2289 ;0 ;1.158 ;11.3 ;0.0 ;0.900 ;0 ;2.69 ;7.1 ;0 ;6 ;19.4;
130 ;0:02.30 ;2338 ;0 ;1.112 ;11.2 ;0.0 ;0.900 ;0 ;2.64 ;7.3 ;0 ;6 ;20.5;
130 ;0:02.40 ;2316 ;0 ;1.105 ;11.2 ;0.0 ;0.900 ;0 ;2.66 ;7.2 ;0 ;6 ;19.1;
130 ;0:02.50 ;2349 ;0 ;1.142 ;12.2 ;0.0 ;0.900 ;0 ;2.63 ;7.3 ;0 ;6 ;19.4;
130 ;0:02.60 ;2328 ;0 ;1.144 ;12.2 ;0.0 ;0.900 ;0 ;2.65 ;7.3 ;0 ;6 ;17.8;
130 ;0:02.70 ;2360 ;0 ;1.143 ;13.0 ;0.0 ;0.900 ;0 ;2.62 ;7.4 ;0 ;6 ;17.4;
130 ;0:02.80 ;2310 ;0 ;1.135 ;13.3 ;0.0 ;0.900 ;0 ;2.67 ;7.2 ;0 ;6 ;16.0;
130 ;0:02.90 ;2346 ;0 ;1.139 ;14.4 ;0.0 ;0.900 ;0 ;2.63 ;7.3 ;0 ;6 ;15.9;
130 ;0:03.00 ;2303 ;0 ;1.159 ;14.8 ;0.0 ;0.900 ;0 ;2.68 ;7.2 ;0 ;6 ;15.6;
130 ;0:03.10 ;2231 ;0 ;1.169 ;15.1 ;0.0 ;0.900 ;0 ;2.77 ;6.8 ;0 ;6 ;14.5;
130 ;0:03.20 ;2256 ;0 ;1.170 ;15.4 ;0.0 ;0.900 ;0 ;2.73 ;7.0 ;0 ;6 ;14.8;
130 ;0:03.30 ;2235 ;0 ;1.177 ;16.2 ;0.0 ;0.900 ;0 ;2.75 ;6.9 ;0 ;6 ;13.8;
130 ;0:03.40 ;2296 ;0 ;1.193 ;15.9 ;0.0 ;0.900 ;0 ;2.69 ;7.1 ;0 ;6 ;13.6;
130 ;0:03.50 ;2281 ;0 ;1.174 ;16.9 ;0.0 ;0.900 ;0 ;2.70 ;7.1 ;0 ;6 ;13.4;
