SESSION; TIME;RPM;THROT;MAP;LAMB;L U SP;INJ;INJ %;

999 ;0:00.01 ;2563 ;0 ;85;0.995 ;0.0 ;3.03 ;7 ;
999 ;0:00.02 ;2482 ;0 ;85;1.001 ;0.0 ;3.09 ;7 ;
999 ;0:00.03 ;2443 ;0 ;84;1.002 ;0.0 ;3.11 ;7 ;
999 ;0:00.04 ;2451 ;0 ;85;1.005 ;0.0 ;3.10 ;7 ;
999 ;0:00.05 ;2473 ;0 ;85;1.004 ;0.0 ;3.09 ;7 ;
999 ;0:00.06 ;2480 ;0 ;85;1.004 ;0.0 ;3.09 ;7 ;
999 ;0:00.07 ;2480 ;0 ;84;1.001 ;0.0 ;3.09 ;7 ;
999 ;0:00.08 ;2489 ;0 ;84;0.998 ;0.0 ;3.08 ;7 ;
999 ;0:00.09 ;2529 ;0 ;84;0.982 ;0.0 ;3.05 ;7 ;
999 ;0:00.10 ;2516 ;0 ;85;0.979 ;0.0 ;3.06 ;7 ;
999 ;0:00.11 ;2516 ;0 ;85;0.982 ;0.0 ;3.06 ;7 ;
999 ;0:00.12 ;2487 ;0 ;85;0.978 ;0.0 ;3.08 ;7 ;
999 ;0:00.13 ;2487 ;0 ;84;0.975 ;0.0 ;3.08 ;7 ;
999 ;0:00.14 ;2510 ;0 ;84;0.976 ;0.0 ;3.07 ;7 ;
999 ;0:00.15 ;2520 ;0 ;84;0.979 ;0.0 ;3.06 ;7 ;
999 ;0:00.16 ;2517 ;0 ;85;0.983 ;0.0 ;3.06 ;7 ;
999 ;0:00.17 ;2521 ;0 ;85;1.033 ;0.0 ;3.06 ;7 ;
999 ;0:00.18 ;2569 ;0 ;84;1.037 ;0.0 ;3.02 ;7 ;
999 ;0:00.19 ;2569 ;0 ;85;1.027 ;0.0 ;3.02 ;7 ;
999 ;0:00.20 ;2550 ;0 ;84;1.028 ;0.0 ;3.04 ;7 ;
999 ;0:00.21 ;2535 ;0 ;84;1.032 ;0.0 ;3.05 ;7 ;
999 ;0:00.22 ;2506 ;0 ;84;1.033 ;0.0 ;3.07 ;7 ;
999 ;0:00.23 ;2531 ;0 ;84;1.035 ;0.0 ;3.05 ;7 ;
999 ;0:00.24 ;2546 ;0 ;85;1.034 ;0.0 ;3.04 ;7 ;
999 ;0:00.25 ;2538 ;0 ;85;1.087 ;0.0 ;3.05 ;7 ;
999 ;0:00.26 ;2538 ;0 ;84;1.077 ;0.0 ;3.05 ;7 ;
999 ;0:00.27 ;2533 ;0 ;84;1.085 ;0.0 ;3.05 ;7 ;
999 ;0:00.28 ;2568 ;0 ;84;1.084 ;0.0 ;3.02 ;7 ;
999 ;0:00.29 ;2531 ;0 ;85;1.086 ;1.4 ;3.05 ;7 ;
999 ;0:00.30 ;2526 ;0 ;85;1.085 ;1.4 ;3.06 ;7 ;
999 ;0:00.31 ;2530 ;0 ;85;1.086 ;1.4 ;3.05 ;7 ;
999 ;0:00.32 ;2530 ;0 ;84;1.083 ;1.4 ;3.05 ;7 ;
999 ;0:00.33 ;2573 ;0 ;84;1.023 ;1.4 ;3.02 ;7 ;
999 ;0:00.34 ;2576 ;0 ;85;1.032 ;1.4 ;3.02 ;7 ;
999 ;0:00.35 ;2535 ;0 ;85;1.030 ;1.4 ;3.05 ;7 ;
999 ;0:00.36 ;2492 ;0 ;85;1.033 ;1.4 ;3.08 ;7 ;
999 ;0:00.37 ;2521 ;0 ;85;1.029 ;1.4 ;3.06 ;7 ;
999 ;0:00.38 ;2519 ;0 ;85;1.031 ;1.4 ;3.06 ;7 ;
999 ;0:00.39 ;2519 ;0 ;84;1.024 ;1.4 ;3.06 ;7 ;
999 ;0:00.40 ;2533 ;0 ;84;1.027 ;1.4 ;3.05 ;7 ;
999 ;0:00.41 ;2536 ;0 ;84;1.039 ;1.4 ;3.05 ;7 ;
999 ;0:00.42 ;2578 ;0 ;85;1.039 ;1.4 ;3.02 ;7 ;
999 ;0:00.43 ;2556 ;0 ;85;1.041 ;1.4 ;3.03 ;7 ;
999 ;0:00.44 ;2495 ;0 ;85;1.038 ;1.4 ;3.08 ;7 ;
999 ;0:00.45 ;2495 ;0 ;85;1.038 ;1.4 ;3.08 ;7 ;
999 ;0:00.46 ;2448 ;0 ;85;1.030 ;1.4 ;3.11 ;7 ;
999 ;0:00.47 ;2468 ;0 ;84;1.039 ;1.4 ;3.09 ;7 ;
999 ;0:00.48 ;2496 ;0 ;85;1.040 ;1.4 ;3.08 ;7 ;
999 ;0:00.49 ;2529 ;0 ;85;1.038 ;1.4 ;3.05 ;7 ;
999 ;0:00.50 ;2535 ;0 ;85;1.027 ;1.4 ;3.05 ;7 ;
999 ;0:00.51 ;2535 ;0 ;85;1.021 ;1.4 ;3.05 ;7 ;
999 ;0:00.52 ;2572 ;0 ;85;1.022 ;1.4 ;3.02 ;7 ;
999 ;0:00.53 ;2514 ;0 ;85;1.023 ;1.4 ;3.06 ;7 ;
999 ;0:00.54 ;2468 ;0 ;85;1.028 ;1.4 ;3.09 ;7 ;
999 ;0:00.55 ;2451 ;0 ;85;1.026 ;1.4 ;3.10 ;7 ;
999 ;0:00.56 ;2490 ;0 ;85;1.027 ;1.4 ;3.08 ;7 ;
999 ;0:00.57 ;2490 ;0 ;85;1.022 ;1.4 ;3.08 ;7 ;
999 ;0:00.58 ;2519 ;0 ;85;0.998 ;1.4 ;3.06 ;7 ;
999 ;0:00.59 ;2502 ;0 ;85;1.007 ;1.4 ;3.07 ;7 ;
999 ;0:00.60 ;2479 ;0 ;85;1.003 ;1.4 ;3.09 ;7 ;
