SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;ANA3;L U SP;L D SP;TAR LB;TRAC %;VOLTS;SLIP%;GEAR;SHIF A;INJ %;A1 VAL;A2 VAL;A3 VAL;
712 ;0:03.10 ;3476 ;0 ;95;20;78;0.920 ;951 ;18.5 ;16.9 ;0.850 ;0 ;12.6 ;-8 ;1 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:03.20 ;3396 ;0 ;95;20;78;0.910 ;987 ;19.3 ;16.5 ;0.850 ;0 ;12.4 ;-14 ;1 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:03.30 ;3362 ;0 ;95;20;78;0.893 ;1460 ;20.4 ;16.3 ;0.850 ;0 ;12.2 ;-20 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:03.40 ;3355 ;0 ;95;20;78;0.907 ;1473 ;18.6 ;16.3 ;0.850 ;0 ;11.7 ;-12 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:03.50 ;3278 ;0 ;95;20;78;0.853 ;1472 ;21.3 ;15.9 ;0.850 ;0 ;11.7 ;-25 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:03.60 ;3223 ;0 ;95;20;78;0.852 ;1473 ;21.3 ;15.6 ;0.850 ;0 ;11.8 ;-26 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:03.70 ;3211 ;0 ;95;20;78;0.851 ;1491 ;23.6 ;15.6 ;0.850 ;0 ;12.3 ;-33 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:03.80 ;3201 ;0 ;95;20;77;0.867 ;1491 ;22.5 ;15.5 ;0.850 ;0 ;12.6 ;-31 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:03.90 ;3149 ;0 ;95;20;77;0.839 ;1481 ;23.3 ;15.2 ;0.850 ;0 ;12.6 ;-34 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:04.00 ;3102 ;0 ;95;20;76;0.832 ;1451 ;23.4 ;15.0 ;0.850 ;0 ;12.6 ;-35 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:04.10 ;3237 ;0 ;95;20;74;0.821 ;1416 ;24.3 ;15.7 ;0.850 ;0 ;12.4 ;-35 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:04.20 ;3845 ;0 ;95;20;72;0.826 ;1493 ;24.3 ;18.6 ;0.850 ;0 ;12.5 ;-23 ;1 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:04.30 ;3902 ;0 ;95;20;71;0.846 ;1494 ;25.7 ;18.9 ;0.850 ;0 ;12.6 ;-26 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
712 ;0:04.40 ;3935 ;0 ;95;20;72;0.812 ;1494 ;25.7 ;19.1 ;0.850 ;0 ;12.6 ;-25 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
712 ;0:04.50 ;3693 ;0 ;95;20;71;0.816 ;1495 ;26.6 ;17.9 ;0.850 ;0 ;12.6 ;-32 ;1 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:04.60 ;3792 ;0 ;95;20;69;0.812 ;1492 ;26.1 ;18.4 ;0.850 ;0 ;12.5 ;-29 ;1 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:04.70 ;3966 ;0 ;95;20;67;0.822 ;1491 ;26.6 ;19.2 ;0.850 ;0 ;12.5 ;-27 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
712 ;0:04.80 ;4095 ;0 ;95;20;67;0.825 ;1497 ;27.3 ;19.9 ;0.850 ;0 ;12.6 ;-27 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
712 ;0:04.90 ;4216 ;0 ;95;20;66;0.817 ;1494 ;28.4 ;20.4 ;0.850 ;0 ;12.4 ;-28 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
712 ;0:05.00 ;4318 ;0 ;95;20;67;0.829 ;1494 ;28.7 ;20.9 ;0.850 ;0 ;12.6 ;-27 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
712 ;0:05.10 ;4311 ;0 ;95;20;66;0.840 ;1491 ;28.7 ;20.9 ;0.850 ;0 ;12.6 ;-27 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
712 ;0:05.20 ;4496 ;0 ;95;20;66;0.862 ;1493 ;30.7 ;21.8 ;0.850 ;0 ;12.6 ;-28 ;1 ;0 ;10 ;0.0 ;0.0 ;0.0 ;
712 ;0:05.30 ;4573 ;0 ;95;20;66;0.895 ;1495 ;30.3 ;22.2 ;0.850 ;0 ;12.6 ;-26 ;1 ;0 ;10 ;0.0 ;0.0 ;0.0 ;
712 ;0:05.40 ;4660 ;1 ;95;20;66;0.908 ;1489 ;32.3 ;22.6 ;0.850 ;0 ;12.4 ;-30 ;1 ;0 ;10 ;0.0 ;0.0 ;0.0 ;
712 ;0:05.50 ;4682 ;1 ;95;20;66;0.905 ;1493 ;32.2 ;22.7 ;0.850 ;0 ;12.7 ;-29 ;1 ;0 ;10 ;0.0 ;0.0 ;0.0 ;
712 ;0:05.60 ;4936 ;1 ;95;20;67;0.860 ;1495 ;34.7 ;23.9 ;0.850 ;0 ;12.5 ;-31 ;1 ;0 ;11 ;0.0 ;0.0 ;0.0 ;
712 ;0:05.70 ;5059 ;1 ;95;20;67;0.796 ;1491 ;34.4 ;24.5 ;0.850 ;0 ;12.3 ;-28 ;1 ;0 ;11 ;0.0 ;0.0 ;0.0 ;
712 ;0:05.80 ;4871 ;1 ;95;20;67;0.768 ;1487 ;36.1 ;23.6 ;0.850 ;0 ;12.5 ;-34 ;1 ;0 ;11 ;0.0 ;0.0 ;0.0 ;
712 ;0:05.90 ;5025 ;2 ;95;20;68;0.745 ;1490 ;33.8 ;24.4 ;0.850 ;0 ;12.2 ;-27 ;1 ;0 ;11 ;0.0 ;0.0 ;0.0 ;
712 ;0:06.00 ;5114 ;3 ;95;20;68;0.745 ;1485 ;35.9 ;24.8 ;0.850 ;0 ;12.4 ;-30 ;1 ;0 ;12 ;0.0 ;0.0 ;0.0 ;
712 ;0:06.10 ;5311 ;3 ;95;20;69;0.750 ;1487 ;38.1 ;25.8 ;0.850 ;0 ;12.5 ;-32 ;1 ;0 ;12 ;0.0 ;0.0 ;0.0 ;
712 ;0:06.20 ;5419 ;4 ;95;20;70;0.753 ;1490 ;36.8 ;26.3 ;0.850 ;0 ;12.5 ;-28 ;1 ;0 ;13 ;0.0 ;0.0 ;0.0 ;
712 ;0:06.30 ;5313 ;6 ;95;20;73;0.795 ;1489 ;36.3 ;26.0 ;0.850 ;0 ;12.4 ;-28 ;1 ;0 ;14 ;0.0 ;0.0 ;0.0 ;
712 ;0:06.40 ;5378 ;9 ;95;20;76;0.860 ;1488 ;37.3 ;26.0 ;0.850 ;0 ;12.3 ;-30 ;1 ;0 ;15 ;0.0 ;0.0 ;0.0 ;
712 ;0:06.50 ;5295 ;14 ;95;20;79;0.884 ;1485 ;36.0 ;25.7 ;0.850 ;0 ;12.5 ;-28 ;1 ;0 ;17 ;0.0 ;0.0 ;0.0 ;
712 ;0:06.60 ;5115 ;18 ;95;20;82;0.960 ;1490 ;34.5 ;24.8 ;0.850 ;0 ;12.4 ;-28 ;1 ;0 ;17 ;0.0 ;0.0 ;0.0 ;
712 ;0:06.70 ;5090 ;22 ;95;20;83;1.005 ;1491 ;33.4 ;24.7 ;0.850 ;0 ;12.5 ;-26 ;1 ;0 ;18 ;0.0 ;0.0 ;0.0 ;
712 ;0:06.80 ;4900 ;22 ;95;20;83;1.000 ;1484 ;32.4 ;23.8 ;0.850 ;0 ;12.5 ;-26 ;1 ;0 ;17 ;0.0 ;0.0 ;0.0 ;
712 ;0:06.90 ;4750 ;22 ;95;20;83;0.988 ;1487 ;33.1 ;23.0 ;0.850 ;0 ;12.3 ;-30 ;1 ;0 ;17 ;0.0 ;0.0 ;0.0 ;
712 ;0:07.00 ;4745 ;22 ;95;20;82;0.964 ;1489 ;31.5 ;23.0 ;0.850 ;0 ;12.6 ;-26 ;1 ;0 ;17 ;0.0 ;0.0 ;0.0 ;
712 ;0:07.10 ;4346 ;19 ;95;20;82;0.913 ;1488 ;31.4 ;21.1 ;0.850 ;0 ;12.3 ;-32 ;1 ;0 ;15 ;0.0 ;0.0 ;0.0 ;
712 ;0:07.20 ;4886 ;19 ;95;20;81;0.931 ;1489 ;28.7 ;23.7 ;0.850 ;0 ;12.5 ;-17 ;1 ;0 ;17 ;0.0 ;0.0 ;0.0 ;
712 ;0:07.30 ;3790 ;15 ;95;20;82;0.868 ;1493 ;31.2 ;18.4 ;0.850 ;0 ;12.6 ;-41 ;1 ;0 ;12 ;0.0 ;0.0 ;0.0 ;
712 ;0:07.40 ;5073 ;15 ;95;20;79;0.860 ;1490 ;25.9 ;24.6 ;0.850 ;0 ;12.6 ;-5 ;1 ;0 ;17 ;0.0 ;0.0 ;0.0 ;
712 ;0:07.50 ;4042 ;12 ;95;20;80;0.934 ;1488 ;27.9 ;19.6 ;0.850 ;0 ;12.4 ;-29 ;1 ;0 ;12 ;0.0 ;0.0 ;0.0 ;
712 ;0:07.60 ;3463 ;6 ;95;20;78;0.868 ;1497 ;27.7 ;16.8 ;0.850 ;0 ;12.5 ;-39 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
712 ;0:07.70 ;4477 ;6 ;95;20;74;0.857 ;1490 ;26.1 ;21.7 ;0.850 ;0 ;12.7 ;-16 ;1 ;0 ;12 ;0.0 ;0.0 ;0.0 ;
712 ;0:07.80 ;4153 ;5 ;95;20;78;0.928 ;1493 ;25.6 ;20.1 ;0.850 ;0 ;12.5 ;-21 ;1 ;0 ;10 ;0.0 ;0.0 ;0.0 ;
712 ;0:07.90 ;3467 ;5 ;95;20;80;0.906 ;1496 ;25.6 ;16.8 ;0.850 ;0 ;12.6 ;-34 ;1 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:08.00 ;3514 ;5 ;95;20;76;0.841 ;1488 ;27.1 ;17.0 ;0.850 ;0 ;12.4 ;-37 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
712 ;0:08.10 ;4351 ;5 ;95;20;77;0.874 ;1488 ;25.2 ;21.1 ;0.850 ;0 ;12.6 ;-16 ;1 ;0 ;10 ;0.0 ;0.0 ;0.0 ;
712 ;0:08.20 ;3633 ;5 ;95;20;80;0.847 ;1479 ;25.0 ;17.6 ;0.850 ;0 ;12.5 ;-29 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
712 ;0:08.30 ;3318 ;5 ;95;20;78;0.816 ;1449 ;24.5 ;16.1 ;0.850 ;0 ;12.6 ;-34 ;1 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:08.40 ;4589 ;6 ;95;20;76;0.821 ;1374 ;23.3 ;22.3 ;0.850 ;0 ;12.6 ;-4 ;1 ;0 ;12 ;0.0 ;0.0 ;0.0 ;
712 ;0:08.50 ;3892 ;6 ;95;20;80;0.918 ;1139 ;24.6 ;18.9 ;0.850 ;0 ;12.6 ;-23 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
712 ;0:08.60 ;2928 ;4 ;95;20;78;0.956 ;1010 ;23.8 ;14.2 ;0.850 ;0 ;12.3 ;-40 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:08.70 ;3546 ;7 ;95;20;74;0.843 ;1378 ;23.7 ;18.1 ;0.850 ;0 ;12.1 ;-23 ;1 ;0 ;10 ;0.0 ;0.0 ;0.0 ;
712 ;0:08.80 ;4584 ;8 ;95;20;73;0.781 ;1187 ;23.0 ;22.2 ;0.850 ;0 ;11.7 ;-3 ;1 ;0 ;12 ;0.0 ;0.0 ;0.0 ;
712 ;0:08.90 ;4722 ;8 ;95;20;73;0.813 ;744 ;23.6 ;22.9 ;0.850 ;0 ;12.3 ;-2 ;1 ;0 ;13 ;0.0 ;0.0 ;0.0 ;
712 ;0:09.00 ;4779 ;8 ;95;20;73;0.828 ;740 ;23.9 ;23.2 ;0.850 ;0 ;12.4 ;-2 ;1 ;0 ;13 ;0.0 ;0.0 ;0.0 ;
712 ;0:09.10 ;4672 ;8 ;95;20;73;0.849 ;744 ;22.2 ;22.7 ;0.850 ;0 ;12.7 ;2 ;1 ;0 ;13 ;0.0 ;0.0 ;0.0 ;
712 ;0:09.20 ;4618 ;8 ;95;20;74;0.859 ;755 ;22.2 ;22.4 ;0.850 ;0 ;12.4 ;0 ;1 ;0 ;13 ;0.0 ;0.0 ;0.0 ;
712 ;0:09.30 ;4508 ;8 ;95;20;75;0.871 ;770 ;20.9 ;21.9 ;0.850 ;0 ;12.6 ;4 ;1 ;0 ;12 ;0.0 ;0.0 ;0.0 ;
712 ;0:09.40 ;4346 ;8 ;95;20;76;0.892 ;809 ;20.5 ;21.1 ;0.850 ;0 ;12.4 ;2 ;1 ;0 ;12 ;0.0 ;0.0 ;0.0 ;
712 ;0:09.50 ;4194 ;8 ;95;20;76;0.886 ;943 ;20.6 ;20.3 ;0.850 ;0 ;12.6 ;-1 ;1 ;0 ;12 ;0.0 ;0.0 ;0.0 ;
712 ;0:09.60 ;4123 ;8 ;95;20;79;0.871 ;845 ;18.6 ;20.0 ;0.850 ;0 ;12.6 ;7 ;1 ;0 ;11 ;0.0 ;0.0 ;0.0 ;
712 ;0:09.70 ;3906 ;8 ;95;20;81;0.892 ;783 ;17.7 ;18.9 ;0.850 ;0 ;12.6 ;6 ;1 ;0 ;11 ;0.0 ;0.0 ;0.0 ;
712 ;0:09.80 ;3724 ;8 ;95;20;83;0.917 ;870 ;15.7 ;18.1 ;0.850 ;0 ;12.6 ;15 ;1 ;0 ;10 ;0.0 ;0.0 ;0.0 ;
712 ;0:09.90 ;3598 ;8 ;95;20;84;0.913 ;750 ;15.9 ;17.4 ;0.850 ;0 ;12.6 ;9 ;1 ;0 ;10 ;0.0 ;0.0 ;0.0 ;
