SESSION; TIME;RPM;THROT;L U SP;L D SP;TRAC %;SLIP%;

318 ;0:00.01 ;1553 ;0 ;1.6 ;7.5 ;0 ;368 ;
318 ;0:00.02 ;1445 ;0 ;1.6 ;7.0 ;0 ;337 ;
318 ;0:00.03 ;1445 ;0 ;1.6 ;7.0 ;0 ;337 ;
318 ;0:00.04 ;1386 ;0 ;1.6 ;6.7 ;0 ;318 ;
318 ;0:00.05 ;1386 ;0 ;1.6 ;6.7 ;0 ;318 ;
318 ;0:00.06 ;1379 ;0 ;1.6 ;6.7 ;0 ;318 ;
318 ;0:00.07 ;1379 ;0 ;1.6 ;6.7 ;0 ;318 ;
318 ;0:00.08 ;1423 ;0 ;1.6 ;6.9 ;0 ;331 ;
318 ;0:00.09 ;1423 ;0 ;1.6 ;6.9 ;0 ;331 ;
318 ;0:00.10 ;1515 ;0 ;1.6 ;7.3 ;0 ;356 ;
318 ;0:00.11 ;1515 ;0 ;1.6 ;7.3 ;0 ;356 ;
318 ;0:00.12 ;1515 ;0 ;1.6 ;7.3 ;0 ;356 ;
318 ;0:00.13 ;1630 ;0 ;1.6 ;7.9 ;0 ;393 ;
318 ;0:00.14 ;1630 ;0 ;1.6 ;7.9 ;0 ;393 ;
318 ;0:00.15 ;1617 ;0 ;1.6 ;7.8 ;0 ;387 ;
318 ;0:00.16 ;1564 ;0 ;1.6 ;7.6 ;0 ;375 ;
318 ;0:00.17 ;1564 ;0 ;1.6 ;7.6 ;0 ;375 ;
318 ;0:00.18 ;1516 ;0 ;1.6 ;7.3 ;0 ;356 ;
318 ;0:00.19 ;1516 ;0 ;1.6 ;7.3 ;0 ;356 ;
318 ;0:00.20 ;1396 ;0 ;1.6 ;6.7 ;0 ;318 ;
318 ;0:00.21 ;1396 ;0 ;1.6 ;6.7 ;0 ;318 ;
318 ;0:00.22 ;1409 ;0 ;1.6 ;6.8 ;0 ;325 ;
318 ;0:00.23 ;1409 ;0 ;1.6 ;6.8 ;0 ;325 ;
318 ;0:00.24 ;1497 ;0 ;1.6 ;7.2 ;0 ;350 ;
318 ;0:00.25 ;1497 ;0 ;1.6 ;7.2 ;0 ;350 ;
318 ;0:00.26 ;1581 ;0 ;1.6 ;7.6 ;0 ;375 ;
318 ;0:00.27 ;1581 ;0 ;1.6 ;7.6 ;0 ;375 ;
318 ;0:00.28 ;1634 ;0 ;1.6 ;7.9 ;0 ;393 ;
318 ;0:00.29 ;1634 ;0 ;1.6 ;7.9 ;0 ;393 ;
318 ;0:00.30 ;1558 ;0 ;1.6 ;7.5 ;0 ;368 ;
318 ;0:00.31 ;1558 ;0 ;1.6 ;7.5 ;0 ;368 ;
318 ;0:00.32 ;1464 ;0 ;1.6 ;7.1 ;0 ;343 ;
318 ;0:00.33 ;1464 ;0 ;1.6 ;7.1 ;0 ;343 ;
318 ;0:00.34 ;1437 ;0 ;1.6 ;6.9 ;0 ;331 ;
318 ;0:00.35 ;1437 ;0 ;1.6 ;6.9 ;0 ;331 ;
318 ;0:00.36 ;1469 ;0 ;1.6 ;7.1 ;0 ;343 ;
318 ;0:00.37 ;1469 ;0 ;1.6 ;7.1 ;0 ;343 ;
318 ;0:00.38 ;1556 ;0 ;1.6 ;7.5 ;0 ;368 ;
318 ;0:00.39 ;1556 ;0 ;1.6 ;7.5 ;0 ;368 ;
318 ;0:00.40 ;1666 ;0 ;1.6 ;8.1 ;0 ;406 ;
318 ;0:00.41 ;1666 ;0 ;1.6 ;8.1 ;0 ;406 ;
318 ;0:00.42 ;1678 ;0 ;1.6 ;8.1 ;0 ;406 ;
318 ;0:00.43 ;1678 ;0 ;1.6 ;8.1 ;0 ;406 ;
318 ;0:00.44 ;1664 ;0 ;1.6 ;8.0 ;0 ;400 ;
318 ;0:00.45 ;1664 ;0 ;1.6 ;8.0 ;0 ;400 ;
318 ;0:00.46 ;1602 ;0 ;1.6 ;7.7 ;0 ;381 ;
318 ;0:00.47 ;1602 ;0 ;1.6 ;7.7 ;0 ;381 ;
318 ;0:00.48 ;1473 ;0 ;1.6 ;7.1 ;0 ;343 ;
318 ;0:00.49 ;1468 ;0 ;1.6 ;7.1 ;0 ;343 ;
318 ;0:00.50 ;1468 ;0 ;1.6 ;7.1 ;0 ;343 ;
318 ;0:00.51 ;1468 ;0 ;2.1 ;7.5 ;0 ;257 ;
318 ;0:00.52 ;1558 ;0 ;2.1 ;7.5 ;0 ;257 ;
318 ;0:00.53 ;1558 ;0 ;2.1 ;7.5 ;0 ;257 ;
318 ;0:00.54 ;1599 ;0 ;2.1 ;7.7 ;0 ;266 ;
