SESSION; TIME;RPM;THROT;LAMB;TAR LB;INJ;INJ %;
399 ;2:01.11 ;6952 ;21 ;0.724 ;0.850 ;4.85 ;28 ;
399 ;2:01.12 ;6890 ;21 ;0.721 ;0.850 ;4.89 ;28 ;
399 ;2:01.13 ;6908 ;21 ;0.731 ;0.850 ;4.88 ;28 ;
399 ;2:01.14 ;6825 ;21 ;0.732 ;0.850 ;4.95 ;28 ;
399 ;2:01.15 ;6759 ;21 ;0.733 ;0.850 ;4.99 ;28 ;
399 ;2:01.16 ;6848 ;21 ;0.726 ;0.850 ;4.93 ;28 ;
399 ;2:01.17 ;6878 ;21 ;0.733 ;0.850 ;4.90 ;28 ;
399 ;2:01.18 ;6931 ;21 ;0.731 ;0.850 ;4.86 ;28 ;
399 ;2:01.19 ;6929 ;21 ;0.731 ;0.850 ;4.84 ;28 ;
399 ;2:01.20 ;6890 ;21 ;0.730 ;0.850 ;4.89 ;28 ;
399 ;2:01.21 ;6795 ;21 ;0.728 ;0.850 ;4.97 ;28 ;
399 ;2:01.22 ;6776 ;21 ;0.712 ;0.850 ;4.98 ;28 ;
399 ;2:01.23 ;6921 ;21 ;0.707 ;0.850 ;4.87 ;28 ;
399 ;2:01.24 ;6903 ;21 ;0.713 ;0.850 ;4.88 ;28 ;
399 ;2:01.25 ;6875 ;21 ;0.711 ;0.850 ;4.90 ;28 ;
399 ;2:01.26 ;6863 ;21 ;0.710 ;0.850 ;4.92 ;28 ;
399 ;2:01.27 ;6835 ;21 ;0.707 ;0.850 ;4.94 ;28 ;
399 ;2:01.28 ;6808 ;21 ;0.715 ;0.850 ;4.96 ;28 ;
399 ;2:01.29 ;6959 ;21 ;0.710 ;0.850 ;4.84 ;28 ;
399 ;2:01.30 ;6985 ;21 ;0.705 ;0.850 ;4.83 ;28 ;
399 ;2:01.31 ;6900 ;21 ;0.709 ;0.850 ;4.89 ;28 ;
399 ;2:01.32 ;6778 ;21 ;0.705 ;0.850 ;4.98 ;28 ;
399 ;2:01.33 ;6730 ;21 ;0.704 ;0.850 ;5.01 ;28 ;
399 ;2:01.34 ;6815 ;21 ;0.703 ;0.850 ;4.95 ;28 ;
399 ;2:01.35 ;6860 ;21 ;0.710 ;0.850 ;4.92 ;28 ;
399 ;2:01.36 ;6939 ;21 ;0.704 ;0.850 ;4.86 ;28 ;
399 ;2:01.37 ;7022 ;21 ;0.707 ;0.850 ;4.82 ;28 ;
399 ;2:01.38 ;6996 ;21 ;0.707 ;0.850 ;4.82 ;28 ;
399 ;2:01.39 ;6913 ;21 ;0.706 ;0.850 ;4.88 ;28 ;
399 ;2:01.40 ;6936 ;21 ;0.705 ;0.850 ;4.86 ;28 ;
399 ;2:01.41 ;6863 ;21 ;0.706 ;0.850 ;4.92 ;27 ;
399 ;2:01.42 ;6737 ;21 ;0.710 ;0.850 ;5.00 ;28 ;
399 ;2:01.43 ;6718 ;21 ;0.702 ;0.850 ;4.99 ;28 ;
399 ;2:01.44 ;6918 ;21 ;0.707 ;0.850 ;4.87 ;28 ;
399 ;2:01.45 ;7009 ;21 ;0.706 ;0.850 ;4.81 ;28 ;
399 ;2:01.46 ;7001 ;21 ;0.712 ;0.850 ;4.81 ;28 ;
399 ;2:01.47 ;6988 ;21 ;0.710 ;0.850 ;4.82 ;28 ;
399 ;2:01.48 ;6988 ;21 ;0.713 ;0.850 ;4.82 ;28 ;
399 ;2:01.49 ;6913 ;21 ;0.712 ;0.850 ;4.88 ;28 ;
399 ;2:01.50 ;6800 ;21 ;0.707 ;0.850 ;4.96 ;28 ;
399 ;2:01.51 ;6875 ;21 ;0.714 ;0.850 ;4.90 ;28 ;
399 ;2:01.52 ;6818 ;21 ;0.710 ;0.850 ;4.95 ;28 ;
399 ;2:01.53 ;6734 ;21 ;0.712 ;0.850 ;4.99 ;28 ;
399 ;2:01.54 ;6830 ;21 ;0.707 ;0.850 ;4.94 ;28 ;
399 ;2:01.55 ;6926 ;21 ;0.713 ;0.850 ;4.87 ;28 ;
399 ;2:01.56 ;6885 ;21 ;0.712 ;0.850 ;4.90 ;28 ;
399 ;2:01.57 ;6947 ;21 ;0.707 ;0.850 ;4.85 ;28 ;
399 ;2:01.58 ;6991 ;21 ;0.712 ;0.850 ;4.82 ;28 ;
