SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TAR LB;LAMB %;TRAC %;SLIP%;INJ;ADV;SHIF A;INJ %;L/100K;

124 ;0:00.10 ;3215 ;0 ;91;13;75;0.861 ;2.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;10.2 ;0 ;6 ;0.0;
124 ;0:00.20 ;3277 ;0 ;91;13;75;0.891 ;2.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;10.2 ;0 ;7 ;0.0;
124 ;0:00.30 ;3334 ;0 ;91;13;75;0.880 ;2.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.61 ;10.3 ;0 ;7 ;0.0;
124 ;0:00.40 ;3323 ;0 ;91;13;75;0.894 ;2.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.61 ;10.3 ;0 ;7 ;0.0;
124 ;0:00.50 ;3320 ;0 ;91;13;75;0.897 ;2.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.61 ;10.3 ;0 ;7 ;133.3;
124 ;0:00.60 ;3266 ;0 ;91;13;75;0.893 ;2.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;10.2 ;0 ;7 ;132.0;
124 ;0:00.70 ;3332 ;0 ;91;13;75;0.893 ;2.5 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.61 ;10.3 ;0 ;7 ;122.2;
124 ;0:00.80 ;3320 ;0 ;91;13;75;0.884 ;2.7 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.61 ;10.3 ;0 ;7 ;118.5;
124 ;0:00.90 ;3298 ;0 ;91;13;75;0.883 ;3.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;10.2 ;0 ;7 ;106.6;
124 ;0:01.00 ;3318 ;0 ;91;13;75;0.875 ;3.1 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.61 ;10.3 ;0 ;7 ;103.2;
124 ;0:01.10 ;3283 ;0 ;91;13;75;0.872 ;3.5 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;10.2 ;0 ;7 ;88.5;
