SESSION; TIME;RPM;THROT;L U SP;L D SP;TRAC %;SLIP%;SHIF A;

173 ;0:00.01 ;2339 ;0 ;1.4 ;11.3 ;0 ;707 ;0 ;
173 ;0:00.02 ;2339 ;0 ;1.4 ;11.3 ;0 ;707 ;0 ;
173 ;0:00.03 ;2374 ;0 ;1.4 ;11.5 ;0 ;721 ;0 ;
173 ;0:00.04 ;2431 ;0 ;1.4 ;11.8 ;0 ;742 ;0 ;
173 ;0:00.05 ;2455 ;0 ;1.4 ;11.9 ;0 ;750 ;0 ;
173 ;0:00.06 ;2445 ;0 ;1.4 ;11.8 ;0 ;742 ;0 ;
173 ;0:00.07 ;2445 ;0 ;1.4 ;11.8 ;0 ;742 ;0 ;
173 ;0:00.08 ;2375 ;0 ;1.4 ;11.5 ;0 ;721 ;0 ;
173 ;0:00.09 ;2332 ;0 ;1.4 ;11.3 ;0 ;707 ;0 ;
173 ;0:00.10 ;2335 ;0 ;1.4 ;11.3 ;0 ;707 ;0 ;
173 ;0:00.11 ;2375 ;0 ;1.4 ;11.5 ;0 ;721 ;0 ;
173 ;0:00.12 ;2375 ;0 ;1.4 ;11.5 ;0 ;721 ;0 ;
173 ;0:00.13 ;2418 ;0 ;1.4 ;11.7 ;0 ;735 ;0 ;
173 ;0:00.14 ;2471 ;0 ;1.4 ;12.0 ;0 ;757 ;0 ;
173 ;0:00.15 ;2433 ;0 ;1.4 ;11.8 ;0 ;742 ;0 ;
173 ;0:00.16 ;2378 ;0 ;1.4 ;11.5 ;0 ;721 ;0 ;
173 ;0:00.17 ;2378 ;0 ;1.4 ;11.5 ;0 ;721 ;0 ;
173 ;0:00.18 ;2330 ;0 ;1.4 ;11.3 ;0 ;707 ;0 ;
173 ;0:00.19 ;2327 ;0 ;1.4 ;11.3 ;0 ;707 ;0 ;
173 ;0:00.20 ;2372 ;0 ;1.4 ;11.5 ;0 ;721 ;0 ;
173 ;0:00.21 ;2372 ;0 ;1.4 ;11.5 ;0 ;721 ;0 ;
173 ;0:00.22 ;2394 ;0 ;1.4 ;11.6 ;0 ;728 ;0 ;
173 ;0:00.23 ;2423 ;0 ;1.4 ;11.7 ;0 ;735 ;0 ;
173 ;0:00.24 ;2436 ;0 ;1.4 ;11.8 ;0 ;742 ;0 ;
173 ;0:00.25 ;2413 ;0 ;1.4 ;11.7 ;0 ;735 ;0 ;
173 ;0:00.26 ;2413 ;0 ;1.4 ;11.7 ;0 ;735 ;0 ;
173 ;0:00.27 ;2414 ;0 ;1.4 ;11.7 ;0 ;735 ;0 ;
173 ;0:00.28 ;2374 ;0 ;1.4 ;11.5 ;0 ;721 ;0 ;
173 ;0:00.29 ;2387 ;0 ;1.4 ;11.6 ;0 ;728 ;0 ;
173 ;0:00.30 ;2406 ;0 ;1.4 ;11.6 ;0 ;728 ;0 ;
173 ;0:00.31 ;2406 ;0 ;1.4 ;11.6 ;0 ;728 ;0 ;
173 ;0:00.32 ;2389 ;0 ;1.4 ;11.6 ;0 ;728 ;0 ;
173 ;0:00.33 ;2402 ;0 ;1.4 ;11.6 ;0 ;728 ;0 ;
173 ;0:00.34 ;2455 ;0 ;1.4 ;11.9 ;0 ;750 ;0 ;
173 ;0:00.35 ;2448 ;0 ;1.4 ;11.9 ;0 ;750 ;0 ;
173 ;0:00.36 ;2448 ;0 ;1.4 ;11.9 ;0 ;750 ;0 ;
173 ;0:00.37 ;2456 ;0 ;1.4 ;11.9 ;0 ;750 ;0 ;
173 ;0:00.38 ;2435 ;0 ;1.4 ;11.8 ;0 ;742 ;0 ;
173 ;0:00.39 ;2423 ;0 ;1.4 ;11.7 ;0 ;735 ;0 ;
173 ;0:00.40 ;2449 ;0 ;1.4 ;11.9 ;0 ;750 ;0 ;
173 ;0:00.41 ;2447 ;0 ;1.4 ;11.8 ;0 ;742 ;0 ;
173 ;0:00.42 ;2447 ;0 ;1.4 ;11.8 ;0 ;742 ;0 ;
173 ;0:00.43 ;2468 ;0 ;1.4 ;11.9 ;0 ;750 ;0 ;
173 ;0:00.44 ;2513 ;0 ;1.4 ;12.2 ;0 ;771 ;0 ;
173 ;0:00.45 ;2479 ;0 ;1.4 ;12.0 ;0 ;757 ;0 ;
173 ;0:00.46 ;2463 ;0 ;1.4 ;11.9 ;0 ;750 ;0 ;
173 ;0:00.47 ;2463 ;0 ;1.4 ;11.8 ;0 ;742 ;0 ;
173 ;0:00.48 ;2431 ;0 ;1.4 ;11.8 ;0 ;742 ;0 ;
173 ;0:00.49 ;2437 ;0 ;1.4 ;11.8 ;0 ;742 ;0 ;
173 ;0:00.50 ;2479 ;0 ;1.4 ;12.0 ;0 ;757 ;0 ;
173 ;0:00.51 ;2471 ;0 ;2.4 ;12.0 ;0 ;400 ;0 ;
173 ;0:00.52 ;2470 ;0 ;2.4 ;12.0 ;0 ;400 ;0 ;
173 ;0:00.53 ;2470 ;0 ;2.4 ;12.0 ;0 ;400 ;0 ;
173 ;0:00.54 ;2500 ;0 ;2.4 ;12.1 ;0 ;404 ;0 ;
173 ;0:00.55 ;2481 ;0 ;2.4 ;12.0 ;0 ;400 ;0 ;
173 ;0:00.56 ;2493 ;0 ;2.4 ;12.1 ;0 ;404 ;0 ;
173 ;0:00.57 ;2461 ;0 ;2.4 ;11.9 ;0 ;395 ;0 ;
173 ;0:00.58 ;2469 ;0 ;2.4 ;12.0 ;0 ;400 ;0 ;
173 ;0:00.59 ;2469 ;0 ;2.4 ;12.0 ;0 ;400 ;0 ;
173 ;0:00.60 ;2510 ;0 ;2.4 ;12.2 ;0 ;408 ;0 ;
173 ;0:00.61 ;2501 ;0 ;2.4 ;12.1 ;0 ;404 ;0 ;
173 ;0:00.62 ;2507 ;0 ;2.4 ;12.1 ;0 ;404 ;0 ;
173 ;0:00.63 ;2530 ;0 ;2.4 ;12.3 ;0 ;412 ;0 ;
173 ;0:00.64 ;2495 ;0 ;2.4 ;12.1 ;0 ;404 ;0 ;
173 ;0:00.65 ;2495 ;0 ;2.4 ;12.1 ;0 ;404 ;0 ;
173 ;0:00.66 ;2485 ;0 ;2.4 ;12.0 ;0 ;400 ;0 ;
173 ;0:00.67 ;2465 ;0 ;2.4 ;11.9 ;0 ;395 ;0 ;
173 ;0:00.68 ;2483 ;0 ;2.4 ;12.0 ;0 ;400 ;0 ;
173 ;0:00.69 ;2507 ;0 ;2.4 ;12.1 ;0 ;404 ;0 ;
173 ;0:00.70 ;2499 ;0 ;2.4 ;12.1 ;0 ;404 ;0 ;
173 ;0:00.71 ;2499 ;0 ;2.9 ;12.1 ;0 ;317 ;0 ;
173 ;0:00.72 ;2497 ;0 ;2.9 ;12.1 ;0 ;317 ;0 ;
173 ;0:00.73 ;2520 ;0 ;2.9 ;12.2 ;0 ;320 ;0 ;
173 ;0:00.74 ;2516 ;0 ;2.9 ;12.2 ;0 ;320 ;0 ;
173 ;0:00.75 ;2513 ;0 ;2.9 ;12.2 ;0 ;320 ;0 ;
173 ;0:00.76 ;2471 ;0 ;2.9 ;12.0 ;0 ;313 ;0 ;
173 ;0:00.77 ;2471 ;0 ;2.9 ;12.0 ;0 ;313 ;0 ;
173 ;0:00.78 ;2456 ;0 ;2.9 ;11.9 ;0 ;310 ;0 ;
173 ;0:00.79 ;2490 ;0 ;2.9 ;12.1 ;0 ;317 ;0 ;
173 ;0:00.80 ;2498 ;0 ;2.9 ;12.1 ;0 ;317 ;0 ;
173 ;0:00.81 ;2510 ;0 ;2.9 ;12.2 ;0 ;320 ;0 ;
173 ;0:00.82 ;2510 ;0 ;2.9 ;12.4 ;0 ;327 ;0 ;
173 ;0:00.83 ;2563 ;0 ;3.4 ;12.4 ;0 ;264 ;0 ;
173 ;0:00.84 ;2530 ;0 ;3.4 ;12.3 ;0 ;261 ;0 ;
173 ;0:00.85 ;2500 ;0 ;3.4 ;12.1 ;0 ;255 ;0 ;
173 ;0:00.86 ;2455 ;0 ;3.4 ;11.9 ;0 ;250 ;0 ;
173 ;0:00.87 ;2425 ;0 ;3.4 ;11.7 ;0 ;244 ;0 ;
173 ;0:00.88 ;2443 ;0 ;3.4 ;11.8 ;0 ;247 ;0 ;
173 ;0:00.89 ;2443 ;0 ;3.4 ;11.8 ;0 ;247 ;0 ;
173 ;0:00.90 ;2453 ;0 ;3.4 ;11.9 ;0 ;250 ;0 ;
173 ;0:00.91 ;2489 ;0 ;3.4 ;12.1 ;0 ;255 ;0 ;
173 ;0:00.92 ;2530 ;0 ;3.4 ;12.3 ;0 ;261 ;0 ;
173 ;0:00.93 ;2496 ;0 ;3.8 ;12.1 ;0 ;218 ;0 ;
173 ;0:00.94 ;2496 ;0 ;3.8 ;12.1 ;0 ;218 ;0 ;
173 ;0:00.95 ;2471 ;0 ;3.8 ;12.0 ;0 ;215 ;0 ;
173 ;0:00.96 ;2435 ;0 ;3.8 ;11.8 ;0 ;210 ;0 ;
173 ;0:00.97 ;2436 ;0 ;3.8 ;11.8 ;0 ;210 ;0 ;
173 ;0:00.98 ;2469 ;0 ;3.8 ;12.0 ;0 ;215 ;0 ;
173 ;0:00.99 ;2441 ;0 ;3.8 ;11.8 ;0 ;210 ;0 ;
173 ;0:01.00 ;2441 ;0 ;3.8 ;11.8 ;0 ;210 ;0 ;
173 ;0:01.01 ;2414 ;0 ;4.3 ;11.7 ;0 ;172 ;0 ;
173 ;0:01.02 ;2436 ;0 ;4.3 ;11.8 ;0 ;174 ;0 ;
173 ;0:01.03 ;2405 ;0 ;4.3 ;11.6 ;0 ;169 ;0 ;
173 ;0:01.04 ;2405 ;0 ;4.3 ;11.6 ;0 ;169 ;0 ;
173 ;0:01.05 ;2405 ;0 ;4.3 ;11.6 ;0 ;169 ;0 ;
173 ;0:01.06 ;2410 ;0 ;4.3 ;11.7 ;0 ;172 ;0 ;
173 ;0:01.07 ;2442 ;0 ;4.3 ;11.8 ;0 ;174 ;0 ;
173 ;0:01.08 ;2458 ;0 ;4.3 ;11.9 ;0 ;176 ;0 ;
173 ;0:01.09 ;2414 ;0 ;4.6 ;11.7 ;0 ;154 ;0 ;
173 ;0:01.10 ;2414 ;0 ;4.6 ;11.4 ;0 ;147 ;0 ;
173 ;0:01.11 ;2351 ;0 ;4.6 ;11.4 ;0 ;147 ;0 ;
173 ;0:01.12 ;2335 ;0 ;4.6 ;11.3 ;0 ;145 ;0 ;
173 ;0:01.13 ;2332 ;0 ;4.6 ;11.3 ;0 ;145 ;0 ;
173 ;0:01.14 ;2343 ;0 ;4.6 ;11.3 ;0 ;145 ;0 ;
173 ;0:01.15 ;2343 ;0 ;4.6 ;11.3 ;0 ;145 ;0 ;
173 ;0:01.16 ;2362 ;0 ;4.9 ;11.4 ;0 ;132 ;0 ;
173 ;0:01.17 ;2371 ;0 ;4.9 ;11.5 ;0 ;134 ;0 ;
173 ;0:01.18 ;2328 ;0 ;4.9 ;11.3 ;0 ;130 ;0 ;
173 ;0:01.19 ;2300 ;0 ;4.9 ;11.1 ;0 ;126 ;0 ;
173 ;0:01.20 ;2300 ;0 ;4.9 ;11.1 ;0 ;126 ;0 ;
173 ;0:01.21 ;2229 ;0 ;4.9 ;10.8 ;0 ;120 ;0 ;
173 ;0:01.22 ;2232 ;0 ;5.2 ;10.8 ;0 ;107 ;0 ;
173 ;0:01.23 ;2228 ;0 ;5.2 ;10.8 ;0 ;107 ;0 ;
173 ;0:01.24 ;2228 ;0 ;5.2 ;10.8 ;0 ;107 ;0 ;
173 ;0:01.25 ;2226 ;0 ;5.2 ;10.8 ;0 ;107 ;0 ;
173 ;0:01.26 ;2250 ;0 ;5.2 ;10.9 ;0 ;109 ;0 ;
173 ;0:01.27 ;2231 ;0 ;5.2 ;10.8 ;0 ;107 ;0 ;
173 ;0:01.28 ;2231 ;0 ;5.3 ;10.8 ;0 ;103 ;0 ;
173 ;0:01.29 ;2143 ;0 ;5.3 ;10.4 ;0 ;96 ;0 ;
