SESSION; TIME;RPM;THROT;LAMB;TAR LB;INJ;INJ %;

397 ;0:00.01 ;4060 ;0 ;0.812 ;0.850 ;2.86 ;9 ;
397 ;0:00.02 ;4031 ;0 ;0.806 ;0.850 ;2.86 ;9 ;
397 ;0:00.03 ;4052 ;0 ;0.807 ;0.850 ;2.86 ;9 ;
397 ;0:00.04 ;4061 ;0 ;0.808 ;0.850 ;2.86 ;9 ;
397 ;0:00.05 ;4074 ;0 ;0.809 ;0.850 ;2.86 ;9 ;
397 ;0:00.06 ;4061 ;0 ;0.809 ;0.850 ;2.86 ;9 ;
397 ;0:00.07 ;4044 ;0 ;0.811 ;0.850 ;2.86 ;9 ;
397 ;0:00.08 ;4012 ;0 ;0.810 ;0.850 ;2.86 ;9 ;
397 ;0:00.09 ;3999 ;0 ;0.807 ;0.850 ;2.87 ;9 ;
397 ;0:00.10 ;3990 ;0 ;0.814 ;0.850 ;2.87 ;9 ;
397 ;0:00.11 ;4007 ;0 ;0.806 ;0.850 ;2.86 ;9 ;
397 ;0:00.12 ;3991 ;0 ;0.811 ;0.850 ;2.87 ;9 ;
397 ;0:00.13 ;3961 ;0 ;0.813 ;0.850 ;2.87 ;9 ;
397 ;0:00.14 ;3894 ;0 ;0.826 ;0.850 ;2.88 ;9 ;
397 ;0:00.15 ;3868 ;0 ;0.827 ;0.850 ;2.88 ;9 ;
397 ;0:00.16 ;3875 ;0 ;0.828 ;0.850 ;2.88 ;9 ;
397 ;0:00.17 ;3873 ;0 ;0.831 ;0.850 ;2.88 ;9 ;
397 ;0:00.18 ;3877 ;0 ;0.821 ;0.850 ;2.88 ;9 ;
397 ;0:00.19 ;3835 ;0 ;0.832 ;0.850 ;2.88 ;9 ;
397 ;0:00.20 ;3782 ;0 ;0.827 ;0.850 ;2.89 ;9 ;
397 ;0:00.21 ;3784 ;0 ;0.828 ;0.850 ;2.89 ;9 ;
397 ;0:00.22 ;3787 ;0 ;0.831 ;0.850 ;2.89 ;9 ;
397 ;0:00.23 ;3779 ;0 ;0.834 ;0.850 ;2.89 ;9 ;
397 ;0:00.24 ;3782 ;0 ;0.836 ;0.850 ;2.89 ;9 ;
397 ;0:00.25 ;3753 ;0 ;0.830 ;0.850 ;2.89 ;9 ;
397 ;0:00.26 ;3732 ;0 ;0.833 ;0.850 ;2.89 ;9 ;
397 ;0:00.27 ;3741 ;0 ;0.833 ;0.850 ;2.89 ;8 ;
397 ;0:00.28 ;3720 ;0 ;0.837 ;0.850 ;2.89 ;8 ;
397 ;0:00.29 ;3696 ;0 ;0.831 ;0.850 ;2.90 ;8 ;
397 ;0:00.30 ;3704 ;0 ;0.833 ;0.850 ;2.89 ;8 ;
397 ;0:00.31 ;3686 ;0 ;0.838 ;0.850 ;2.90 ;8 ;
397 ;0:00.32 ;3662 ;0 ;0.837 ;0.850 ;2.90 ;8 ;
397 ;0:00.33 ;3595 ;0 ;0.838 ;0.850 ;2.91 ;8 ;
397 ;0:00.34 ;3604 ;0 ;0.830 ;0.850 ;2.90 ;8 ;
397 ;0:00.35 ;3616 ;0 ;0.837 ;0.850 ;2.90 ;8 ;
397 ;0:00.36 ;3609 ;0 ;0.836 ;0.850 ;2.90 ;8 ;
397 ;0:00.37 ;3639 ;0 ;0.840 ;0.850 ;2.90 ;8 ;
397 ;0:00.38 ;3650 ;0 ;0.843 ;0.850 ;2.90 ;8 ;
397 ;0:00.39 ;3625 ;0 ;0.839 ;0.850 ;2.90 ;8 ;
397 ;0:00.40 ;3602 ;0 ;0.845 ;0.850 ;2.90 ;8 ;
397 ;0:00.41 ;3596 ;0 ;0.845 ;0.850 ;2.91 ;8 ;
397 ;0:00.42 ;3609 ;0 ;0.848 ;0.850 ;2.90 ;8 ;
397 ;0:00.43 ;3589 ;0 ;0.842 ;0.850 ;2.91 ;8 ;
397 ;0:00.44 ;3589 ;0 ;0.842 ;0.850 ;2.91 ;8 ;
397 ;0:00.45 ;3576 ;0 ;0.842 ;0.850 ;2.91 ;8 ;
397 ;0:00.46 ;3529 ;0 ;0.842 ;0.850 ;2.91 ;8 ;
397 ;0:00.47 ;3532 ;0 ;0.839 ;0.850 ;2.91 ;8 ;
397 ;0:00.48 ;3516 ;0 ;0.839 ;0.850 ;2.91 ;8 ;
397 ;0:00.49 ;3517 ;0 ;0.836 ;0.850 ;2.91 ;8 ;
397 ;0:00.50 ;3542 ;0 ;0.834 ;0.850 ;2.91 ;8 ;
397 ;0:00.51 ;3541 ;0 ;0.842 ;0.850 ;2.91 ;8 ;
397 ;0:00.52 ;3519 ;0 ;0.838 ;0.850 ;2.91 ;8 ;
397 ;0:00.53 ;3476 ;0 ;0.842 ;0.850 ;2.92 ;8 ;
397 ;0:00.54 ;3467 ;0 ;0.836 ;0.850 ;2.92 ;8 ;
397 ;0:00.55 ;3470 ;0 ;0.836 ;0.850 ;2.92 ;8 ;
397 ;0:00.56 ;3469 ;0 ;0.835 ;0.850 ;2.92 ;8 ;
397 ;0:00.57 ;3486 ;0 ;0.839 ;0.850 ;2.92 ;8 ;
397 ;0:00.58 ;3492 ;0 ;0.841 ;0.850 ;2.92 ;8 ;
397 ;0:00.59 ;3485 ;0 ;0.839 ;0.850 ;2.92 ;8 ;
397 ;0:00.60 ;3422 ;0 ;0.841 ;0.850 ;2.92 ;8 ;
397 ;0:00.61 ;3420 ;0 ;0.835 ;0.850 ;2.92 ;8 ;
397 ;0:00.62 ;3427 ;0 ;0.836 ;0.850 ;2.92 ;8 ;
397 ;0:00.63 ;3434 ;0 ;0.834 ;0.850 ;2.92 ;8 ;
397 ;0:00.64 ;3463 ;0 ;0.841 ;0.850 ;2.92 ;8 ;
397 ;0:00.65 ;3461 ;0 ;0.840 ;0.850 ;2.92 ;8 ;
397 ;0:00.66 ;3453 ;0 ;0.839 ;0.850 ;2.92 ;8 ;
397 ;0:00.67 ;3439 ;0 ;0.841 ;0.850 ;2.92 ;8 ;
397 ;0:00.68 ;3415 ;0 ;0.834 ;0.850 ;2.92 ;8 ;
397 ;0:00.69 ;3416 ;0 ;0.836 ;0.850 ;2.92 ;8 ;
397 ;0:00.70 ;3401 ;0 ;0.835 ;0.850 ;2.92 ;8 ;
397 ;0:00.71 ;3419 ;0 ;0.851 ;0.850 ;2.92 ;8 ;
397 ;0:00.72 ;3441 ;0 ;0.846 ;0.850 ;2.92 ;8 ;
397 ;0:00.73 ;3435 ;0 ;0.848 ;0.850 ;2.92 ;8 ;
397 ;0:00.74 ;3427 ;0 ;0.848 ;0.850 ;2.92 ;8 ;
397 ;0:00.75 ;3425 ;0 ;0.843 ;0.850 ;2.92 ;8 ;
397 ;0:00.76 ;3437 ;0 ;0.843 ;0.850 ;2.92 ;8 ;
397 ;0:00.77 ;3413 ;0 ;0.844 ;0.850 ;2.92 ;8 ;
397 ;0:00.78 ;3423 ;0 ;0.851 ;0.850 ;2.92 ;8 ;
397 ;0:00.79 ;3420 ;0 ;0.842 ;0.850 ;2.92 ;8 ;
397 ;0:00.80 ;3402 ;0 ;0.846 ;0.850 ;2.92 ;8 ;
397 ;0:00.81 ;3409 ;0 ;0.842 ;0.850 ;2.92 ;8 ;
397 ;0:00.82 ;3396 ;0 ;0.841 ;0.850 ;2.93 ;8 ;
397 ;0:00.83 ;3391 ;0 ;0.838 ;0.850 ;2.93 ;8 ;
397 ;0:00.84 ;3369 ;0 ;0.839 ;0.850 ;2.93 ;8 ;
397 ;0:00.85 ;3383 ;0 ;0.845 ;0.850 ;2.93 ;8 ;
397 ;0:00.86 ;3386 ;0 ;0.842 ;0.850 ;2.93 ;8 ;
397 ;0:00.87 ;3371 ;0 ;0.842 ;0.850 ;2.93 ;8 ;
397 ;0:00.88 ;3359 ;0 ;0.837 ;0.850 ;2.93 ;8 ;
397 ;0:00.89 ;3389 ;0 ;0.839 ;0.850 ;2.93 ;8 ;
397 ;0:00.90 ;3402 ;0 ;0.835 ;0.850 ;2.92 ;8 ;
397 ;0:00.91 ;3374 ;0 ;0.832 ;0.850 ;2.93 ;8 ;
397 ;0:00.92 ;3372 ;0 ;0.836 ;0.850 ;2.93 ;8 ;
397 ;0:00.93 ;3371 ;0 ;0.837 ;0.850 ;2.93 ;8 ;
397 ;0:00.94 ;3363 ;0 ;0.841 ;0.850 ;2.93 ;8 ;
397 ;0:00.95 ;3366 ;0 ;0.837 ;0.850 ;2.93 ;8 ;
397 ;0:00.96 ;3388 ;0 ;0.843 ;0.850 ;2.93 ;8 ;
397 ;0:00.97 ;3372 ;0 ;0.837 ;0.850 ;2.93 ;8 ;
397 ;0:00.98 ;3345 ;0 ;0.837 ;0.850 ;2.93 ;8 ;
397 ;0:00.99 ;3360 ;0 ;0.833 ;0.850 ;2.93 ;8 ;
397 ;0:01.00 ;3374 ;0 ;0.835 ;0.850 ;2.93 ;8 ;
397 ;0:01.01 ;3366 ;0 ;0.841 ;0.850 ;2.93 ;8 ;
397 ;0:01.02 ;3364 ;0 ;0.839 ;0.850 ;2.93 ;8 ;
397 ;0:01.03 ;3385 ;0 ;0.842 ;0.850 ;2.93 ;8 ;
397 ;0:01.04 ;3371 ;0 ;0.833 ;0.850 ;2.93 ;8 ;
397 ;0:01.05 ;3330 ;0 ;0.836 ;0.850 ;2.93 ;8 ;
397 ;0:01.06 ;3356 ;0 ;0.830 ;0.850 ;2.93 ;8 ;
397 ;0:01.07 ;3358 ;0 ;0.828 ;0.850 ;2.93 ;8 ;
397 ;0:01.08 ;3351 ;0 ;0.830 ;0.850 ;2.93 ;8 ;
