SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;TAR LB;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/100K;
147 ;1:08.40 ;5240 ;12 ;0.762 ;4.1 ;0.0 ;0.900 ;0 ;4.19 ;42.6 ;0 ;0 ;18 ;195.1;
147 ;1:08.50 ;3998 ;12 ;0.760 ;4.2 ;0.0 ;0.900 ;0 ;4.23 ;28.9 ;0 ;0 ;13 ;140.4;
147 ;1:08.60 ;2915 ;11 ;0.774 ;4.8 ;0.0 ;0.900 ;0 ;4.23 ;26.3 ;0 ;0 ;10 ;93.7;
147 ;1:08.70 ;2510 ;11 ;0.784 ;4.4 ;0.0 ;0.900 ;0 ;4.23 ;26.0 ;0 ;0 ;10 ;81.2;
147 ;1:08.80 ;2560 ;6 ;0.791 ;4.9 ;0.0 ;0.900 ;0 ;3.94 ;16.2 ;0 ;0 ;9 ;75.5;
147 ;1:08.90 ;2867 ;5 ;0.773 ;4.9 ;0.0 ;0.900 ;0 ;3.80 ;15.8 ;0 ;0 ;9 ;83.6;
147 ;1:09.00 ;3162 ;5 ;0.786 ;5.0 ;0.0 ;0.900 ;0 ;3.80 ;17.4 ;0 ;0 ;10 ;97.9;
147 ;1:09.10 ;3738 ;5 ;0.808 ;5.1 ;0.0 ;0.900 ;0 ;3.80 ;21.3 ;0 ;0 ;11 ;107.8;
147 ;1:09.20 ;4176 ;5 ;0.840 ;5.1 ;0.0 ;0.900 ;0 ;3.80 ;24.2 ;0 ;0 ;13 ;117.6;
147 ;1:09.30 ;4516 ;5 ;0.868 ;4.8 ;0.0 ;0.900 ;0 ;3.80 ;27.1 ;0 ;0 ;14 ;137.5;
147 ;1:09.40 ;4918 ;5 ;0.767 ;5.2 ;0.0 ;0.900 ;0 ;3.80 ;30.5 ;0 ;0 ;15 ;138.4;
147 ;1:09.50 ;5411 ;5 ;0.775 ;5.3 ;0.0 ;0.900 ;0 ;3.74 ;34.2 ;0 ;0 ;16 ;145.2;
147 ;1:09.60 ;5852 ;5 ;0.835 ;5.5 ;0.0 ;0.900 ;0 ;3.67 ;37.5 ;0 ;0 ;18 ;145.4;
147 ;1:09.70 ;5268 ;5 ;0.835 ;5.6 ;0.0 ;0.900 ;0 ;3.76 ;33.2 ;0 ;0 ;16 ;133.3;
147 ;1:09.80 ;4472 ;5 ;0.833 ;6.1 ;0.0 ;0.900 ;0 ;3.80 ;26.7 ;0 ;0 ;14 ;108.9;
147 ;1:09.90 ;3517 ;5 ;0.800 ;6.2 ;0.0 ;0.900 ;0 ;3.80 ;19.7 ;0 ;0 ;11 ;76.5;
147 ;1:10.00 ;2928 ;5 ;0.788 ;6.4 ;0.0 ;0.900 ;0 ;3.80 ;16.0 ;0 ;0 ;9 ;61.1;
147 ;1:10.10 ;2573 ;5 ;0.786 ;6.9 ;0.0 ;0.900 ;0 ;3.80 ;14.3 ;0 ;0 ;9 ;49.2;
147 ;1:10.20 ;2031 ;5 ;0.783 ;7.5 ;0.0 ;0.900 ;0 ;3.80 ;14.0 ;0 ;0 ;9 ;37.3;
147 ;1:10.30 ;1845 ;5 ;0.770 ;7.3 ;0.0 ;0.900 ;0 ;4.04 ;13.3 ;0 ;0 ;10 ;34.6;
147 ;1:10.40 ;1716 ;5 ;0.772 ;7.8 ;0.0 ;0.900 ;0 ;4.24 ;12.8 ;0 ;0 ;10 ;31.7;
147 ;1:10.50 ;1429 ;5 ;0.776 ;8.2 ;0.0 ;0.900 ;0 ;4.56 ;12.0 ;0 ;0 ;11 ;29.2;
147 ;1:10.60 ;1357 ;5 ;0.777 ;8.9 ;0.0 ;0.900 ;0 ;4.56 ;12.0 ;0 ;0 ;11 ;24.7;
147 ;1:10.70 ;1398 ;5 ;0.767 ;8.8 ;0.0 ;0.900 ;0 ;4.56 ;12.0 ;0 ;0 ;11 ;29.2;
147 ;1:10.80 ;1858 ;5 ;0.766 ;9.1 ;0.0 ;0.900 ;0 ;4.02 ;13.4 ;0 ;0 ;10 ;35.8;
147 ;1:10.90 ;2362 ;5 ;0.755 ;8.7 ;0.0 ;0.900 ;0 ;3.80 ;14.0 ;0 ;0 ;9 ;44.8;
147 ;1:11.00 ;2893 ;5 ;0.744 ;7.9 ;0.0 ;0.900 ;0 ;3.80 ;15.9 ;0 ;0 ;9 ;57.8;
147 ;1:11.10 ;3559 ;5 ;0.736 ;7.7 ;0.0 ;0.900 ;0 ;3.80 ;19.9 ;0 ;0 ;11 ;66.2;
147 ;1:11.20 ;3859 ;5 ;0.743 ;7.2 ;0.0 ;0.900 ;0 ;3.80 ;21.8 ;0 ;0 ;12 ;76.0;
147 ;1:11.30 ;4179 ;5 ;0.744 ;6.9 ;0.0 ;0.900 ;0 ;3.80 ;24.2 ;0 ;0 ;13 ;85.5;
147 ;1:11.40 ;4287 ;5 ;0.746 ;7.4 ;0.0 ;0.900 ;0 ;3.80 ;25.1 ;0 ;0 ;13 ;81.3;
147 ;1:11.50 ;4296 ;5 ;0.752 ;7.0 ;0.0 ;0.900 ;0 ;3.80 ;25.2 ;0 ;0 ;13 ;88.5;
147 ;1:11.60 ;4176 ;5 ;0.745 ;7.5 ;0.0 ;0.900 ;0 ;3.80 ;24.2 ;0 ;0 ;13 ;89.8;
147 ;1:11.70 ;4269 ;5 ;0.763 ;7.3 ;0.0 ;0.900 ;0 ;3.80 ;24.9 ;0 ;0 ;13 ;82.1;
147 ;1:11.80 ;4357 ;5 ;0.783 ;6.9 ;0.0 ;0.900 ;0 ;3.80 ;25.7 ;0 ;0 ;13 ;80.7;
147 ;1:11.90 ;4476 ;5 ;0.784 ;8.1 ;0.0 ;0.900 ;0 ;3.80 ;26.7 ;0 ;0 ;14 ;80.2;
147 ;1:12.00 ;4671 ;5 ;0.813 ;8.0 ;0.0 ;0.900 ;0 ;3.80 ;28.4 ;0 ;0 ;14 ;85.0;
