SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;ANA3;L U SP;L D SP;TAR LB;TRAC %;VOLTS;SLIP%;GEAR;SHIF A;INJ %;A1 VAL;A2 VAL;A3 VAL;
623 ;1:22.40 ;4936 ;3 ;92;21;68;0.501 ;744 ;26.9 ;24.1 ;0.850 ;0 ;12.5 ;-10 ;1 ;0 ;11 ;0.0 ;0.0 ;0.0 ;
623 ;1:22.50 ;5005 ;3 ;92;21;68;0.506 ;739 ;25.9 ;24.3 ;0.850 ;0 ;12.6 ;-6 ;1 ;0 ;12 ;0.0 ;0.0 ;0.0 ;
623 ;1:22.60 ;6438 ;11 ;92;21;67;0.505 ;742 ;24.8 ;31.2 ;0.850 ;33 ;12.7 ;25 ;1 ;0 ;20 ;0.0 ;0.0 ;0.0 ;
623 ;1:22.70 ;5630 ;10 ;92;21;70;0.501 ;739 ;24.7 ;27.3 ;0.850 ;0 ;12.7 ;10 ;1 ;0 ;16 ;0.0 ;0.0 ;0.0 ;
623 ;1:22.80 ;4951 ;6 ;92;21;69;0.500 ;746 ;26.1 ;24.0 ;0.850 ;0 ;12.7 ;-8 ;1 ;0 ;13 ;0.0 ;0.0 ;0.0 ;
623 ;1:22.90 ;5148 ;6 ;92;21;66;0.500 ;740 ;26.8 ;25.0 ;0.850 ;0 ;12.7 ;-6 ;1 ;0 ;13 ;0.0 ;0.0 ;0.0 ;
623 ;1:23.00 ;5450 ;6 ;92;21;63;0.500 ;739 ;28.3 ;26.4 ;0.850 ;0 ;12.7 ;-6 ;1 ;0 ;14 ;0.0 ;0.0 ;0.0 ;
623 ;1:23.10 ;5637 ;6 ;92;21;60;0.500 ;743 ;32.0 ;27.4 ;0.850 ;0 ;12.6 ;-14 ;1 ;0 ;14 ;0.0 ;0.0 ;0.0 ;
623 ;1:23.20 ;6065 ;5 ;92;21;56;0.500 ;741 ;30.0 ;29.4 ;0.850 ;0 ;12.7 ;-2 ;1 ;0 ;15 ;0.0 ;0.0 ;0.0 ;
623 ;1:23.30 ;6510 ;5 ;92;21;53;0.500 ;738 ;29.3 ;31.6 ;0.850 ;0 ;12.8 ;7 ;1 ;0 ;15 ;0.0 ;0.0 ;0.0 ;
623 ;1:23.40 ;6476 ;3 ;92;21;52;0.500 ;757 ;11.0 ;31.7 ;0.850 ;100 ;12.8 ;188 ;1 ;0 ;14 ;0.0 ;0.0 ;0.0 ;
623 ;1:23.50 ;6916 ;2 ;92;21;52;0.500 ;740 ;32.8 ;33.6 ;0.850 ;0 ;12.7 ;2 ;1 ;0 ;14 ;0.0 ;0.0 ;0.0 ;
623 ;1:23.60 ;7151 ;3 ;92;21;53;0.500 ;745 ;39.8 ;34.7 ;0.850 ;0 ;12.8 ;-12 ;1 ;0 ;14 ;0.0 ;0.0 ;0.0 ;
623 ;1:23.70 ;7324 ;6 ;92;21;56;0.500 ;734 ;38.2 ;35.6 ;0.850 ;0 ;12.5 ;-6 ;1 ;0 ;18 ;0.0 ;0.0 ;0.0 ;
623 ;1:23.80 ;8263 ;17 ;92;21;59;0.500 ;747 ;11.8 ;40.1 ;0.850 ;100 ;12.8 ;239 ;1 ;0 ;28 ;0.0 ;0.0 ;0.0 ;
623 ;1:23.90 ;8300 ;21 ;92;21;62;0.500 ;733 ;36.8 ;40.3 ;0.850 ;0 ;12.6 ;9 ;1 ;0 ;29 ;0.0 ;0.0 ;0.0 ;
623 ;1:24.00 ;8023 ;23 ;92;21;65;0.500 ;735 ;32.2 ;39.0 ;0.850 ;20 ;12.6 ;21 ;1 ;0 ;29 ;0.0 ;0.0 ;0.0 ;
623 ;1:24.10 ;7256 ;22 ;92;21;67;0.500 ;737 ;36.6 ;35.2 ;0.850 ;0 ;12.6 ;-3 ;1 ;0 ;27 ;0.0 ;0.0 ;0.0 ;
623 ;1:24.20 ;7332 ;22 ;92;21;64;0.500 ;730 ;36.7 ;35.6 ;0.850 ;0 ;12.5 ;-2 ;1 ;0 ;27 ;0.0 ;0.0 ;0.0 ;
623 ;1:24.30 ;7941 ;22 ;92;21;62;0.500 ;732 ;32.1 ;38.6 ;0.850 ;16 ;12.6 ;20 ;1 ;0 ;29 ;0.0 ;0.0 ;0.0 ;
623 ;1:24.40 ;7665 ;21 ;92;21;61;0.500 ;751 ;17.7 ;37.2 ;0.850 ;100 ;12.8 ;110 ;1 ;0 ;28 ;0.0 ;0.0 ;0.0 ;
623 ;1:24.50 ;7643 ;18 ;92;21;57;0.500 ;737 ;32.0 ;37.1 ;0.850 ;0 ;12.6 ;15 ;1 ;0 ;27 ;0.0 ;0.0 ;0.0 ;
623 ;1:24.60 ;7786 ;16 ;92;21;54;0.500 ;754 ;16.8 ;37.8 ;0.850 ;100 ;12.7 ;125 ;1 ;0 ;27 ;0.0 ;0.0 ;0.0 ;
623 ;1:24.70 ;8318 ;16 ;92;21;55;0.500 ;734 ;34.5 ;40.4 ;0.850 ;6 ;12.5 ;17 ;1 ;0 ;28 ;0.0 ;0.0 ;0.0 ;
623 ;1:24.80 ;8442 ;17 ;92;21;56;0.500 ;753 ;12.6 ;41.0 ;0.850 ;100 ;12.8 ;225 ;1 ;0 ;29 ;0.0 ;0.0 ;0.0 ;
623 ;1:24.90 ;8790 ;22 ;92;21;61;0.500 ;729 ;19.4 ;42.7 ;0.850 ;100 ;12.6 ;120 ;1 ;0 ;31 ;0.0 ;0.0 ;0.0 ;
623 ;1:25.00 ;8400 ;26 ;92;21;63;0.500 ;731 ;37.1 ;40.8 ;0.850 ;0 ;12.6 ;9 ;1 ;0 ;31 ;0.0 ;0.0 ;0.0 ;
623 ;1:25.10 ;8169 ;26 ;92;21;62;0.500 ;734 ;33.8 ;39.7 ;0.850 ;6 ;12.5 ;17 ;1 ;0 ;31 ;0.0 ;0.0 ;0.0 ;
623 ;1:25.20 ;8624 ;25 ;92;21;60;0.500 ;731 ;34.2 ;41.8 ;0.850 ;23 ;12.5 ;22 ;1 ;0 ;32 ;0.0 ;0.0 ;0.0 ;
623 ;1:25.30 ;8378 ;23 ;92;21;60;0.500 ;729 ;34.2 ;40.7 ;0.850 ;13 ;12.6 ;19 ;1 ;0 ;30 ;0.0 ;0.0 ;0.0 ;
623 ;1:25.40 ;7851 ;18 ;92;21;57;0.500 ;752 ;37.7 ;38.1 ;0.850 ;0 ;12.7 ;1 ;1 ;0 ;27 ;0.0 ;0.0 ;0.0 ;
623 ;1:25.50 ;7656 ;15 ;92;21;55;0.500 ;739 ;39.2 ;37.2 ;0.850 ;0 ;12.5 ;-5 ;1 ;0 ;26 ;0.0 ;0.0 ;0.0 ;
