SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;TAR LB;SLIP%;INJ;ADV;SHIF A;INJ %;L/100K;
131 ;0:48.40 ;6510 ;65 ;0.709 ;54.5 ;0.0 ;0.900 ;0 ;6.15 ;36.6 ;0 ;33 ;29.1;
131 ;0:48.50 ;6646 ;65 ;0.711 ;51.9 ;0.0 ;0.900 ;0 ;6.06 ;37.9 ;0 ;34 ;28.3;
131 ;0:48.60 ;6343 ;65 ;0.783 ;51.0 ;0.0 ;0.900 ;0 ;6.24 ;35.6 ;0 ;33 ;30.2;
131 ;0:48.70 ;6119 ;65 ;0.848 ;48.6 ;0.0 ;0.900 ;0 ;6.37 ;33.9 ;0 ;32 ;29.5;
131 ;0:48.80 ;5890 ;65 ;0.824 ;50.4 ;0.0 ;0.900 ;0 ;6.46 ;33.3 ;0 ;32 ;30.9;
131 ;0:48.90 ;5755 ;65 ;0.798 ;47.1 ;0.0 ;0.900 ;0 ;6.50 ;33.5 ;0 ;31 ;31.5;
131 ;0:49.00 ;5583 ;65 ;0.855 ;44.0 ;0.0 ;0.900 ;0 ;6.54 ;33.9 ;0 ;30 ;30.4;
131 ;0:49.10 ;5411 ;65 ;0.866 ;45.7 ;0.0 ;0.900 ;0 ;6.59 ;34.2 ;0 ;29 ;31.1;
131 ;0:49.20 ;5131 ;65 ;0.865 ;41.8 ;0.0 ;0.900 ;0 ;6.66 ;34.7 ;0 ;28 ;31.9;
131 ;0:49.30 ;4973 ;65 ;0.902 ;39.4 ;0.0 ;0.900 ;0 ;6.67 ;34.7 ;0 ;27 ;31.2;
131 ;0:49.40 ;4791 ;65 ;0.922 ;40.0 ;0.0 ;0.900 ;0 ;6.59 ;33.8 ;0 ;26 ;30.4;
131 ;0:49.50 ;4587 ;65 ;0.959 ;37.1 ;0.0 ;0.900 ;0 ;6.50 ;32.9 ;0 ;24 ;30.4;
131 ;0:49.60 ;4437 ;65 ;0.984 ;35.4 ;0.0 ;0.900 ;0 ;6.44 ;32.1 ;0 ;23 ;28.9;
131 ;0:49.70 ;4256 ;65 ;0.960 ;35.9 ;0.0 ;0.900 ;0 ;6.36 ;31.2 ;0 ;22 ;28.6;
131 ;0:49.80 ;4086 ;65 ;0.899 ;34.0 ;0.0 ;0.900 ;0 ;6.28 ;30.2 ;0 ;21 ;29.0;
131 ;0:49.90 ;3985 ;64 ;0.853 ;33.0 ;0.0 ;0.900 ;0 ;6.26 ;30.0 ;0 ;20 ;27.9;
131 ;0:50.00 ;3708 ;64 ;0.854 ;30.4 ;0.0 ;0.900 ;0 ;6.26 ;30.0 ;0 ;19 ;27.8;
131 ;0:50.10 ;3587 ;62 ;0.816 ;28.8 ;0.0 ;0.900 ;0 ;6.26 ;30.0 ;0 ;18 ;28.3;
131 ;0:50.20 ;3539 ;58 ;0.786 ;29.4 ;0.0 ;0.900 ;0 ;6.25 ;30.0 ;0 ;18 ;26.5;
131 ;0:50.30 ;3229 ;47 ;0.776 ;28.3 ;0.0 ;0.900 ;0 ;6.22 ;30.0 ;0 ;16 ;27.1;
131 ;0:50.40 ;3251 ;37 ;0.788 ;27.9 ;0.0 ;0.900 ;0 ;6.09 ;30.0 ;0 ;16 ;24.4;
131 ;0:50.50 ;3132 ;26 ;0.794 ;27.8 ;0.0 ;0.900 ;0 ;5.78 ;30.0 ;0 ;15 ;22.9;
131 ;0:50.60 ;3134 ;23 ;0.816 ;28.8 ;0.0 ;0.900 ;0 ;5.63 ;30.0 ;0 ;14 ;22.8;
131 ;0:50.70 ;3023 ;22 ;0.822 ;27.9 ;0.0 ;0.900 ;0 ;5.57 ;30.0 ;0 ;14 ;24.1;
131 ;0:50.80 ;3141 ;22 ;0.861 ;27.3 ;0.0 ;0.900 ;0 ;5.57 ;30.0 ;0 ;15 ;23.5;
131 ;0:50.90 ;3053 ;21 ;0.886 ;26.8 ;0.0 ;0.900 ;0 ;5.51 ;30.0 ;0 ;14 ;25.0;
131 ;0:51.00 ;3150 ;19 ;0.903 ;26.0 ;0.0 ;0.900 ;0 ;5.39 ;30.0 ;0 ;14 ;24.0;
131 ;0:51.10 ;3004 ;19 ;0.923 ;24.7 ;0.0 ;0.900 ;0 ;5.39 ;30.0 ;0 ;13 ;21.9;
131 ;0:51.20 ;2680 ;18 ;0.919 ;24.6 ;0.0 ;0.900 ;0 ;5.33 ;30.0 ;0 ;13 ;20.1;
131 ;0:51.30 ;2508 ;18 ;0.906 ;24.1 ;0.0 ;0.900 ;0 ;5.33 ;30.0 ;0 ;13 ;19.7;
131 ;0:51.40 ;2494 ;16 ;0.886 ;24.4 ;0.0 ;0.900 ;0 ;4.87 ;30.0 ;0 ;12 ;18.1;
131 ;0:51.50 ;2486 ;14 ;0.894 ;23.7 ;0.0 ;0.900 ;0 ;4.41 ;30.0 ;0 ;11 ;15.2;
131 ;0:51.60 ;2427 ;11 ;0.901 ;24.2 ;0.0 ;0.900 ;0 ;4.18 ;26.0 ;0 ;10 ;16.0;
131 ;0:51.70 ;2435 ;10 ;0.903 ;23.0 ;0.0 ;0.900 ;0 ;4.18 ;24.0 ;0 ;10 ;15.9;
131 ;0:51.80 ;2384 ;9 ;0.901 ;22.6 ;0.0 ;0.900 ;0 ;4.18 ;22.0 ;0 ;10 ;14.8;
