SESSION; TIME;RPM;THROT;LAMB;TAR LB;INJ;INJ %;

402 ;0:00.01 ;1724 ;0 ;0.862 ;0.850 ;3.34 ;8 ;
402 ;0:00.02 ;1794 ;0 ;0.868 ;0.850 ;3.33 ;8 ;
402 ;0:00.03 ;1721 ;0 ;0.868 ;0.850 ;3.34 ;8 ;
402 ;0:00.04 ;1721 ;0 ;0.867 ;0.850 ;3.34 ;8 ;
402 ;0:00.05 ;1706 ;0 ;0.868 ;0.850 ;3.34 ;8 ;
402 ;0:00.06 ;1706 ;0 ;0.852 ;0.850 ;3.34 ;8 ;
402 ;0:00.07 ;1711 ;0 ;0.859 ;0.850 ;3.34 ;8 ;
402 ;0:00.08 ;1711 ;0 ;0.852 ;0.850 ;3.34 ;8 ;
402 ;0:00.09 ;1729 ;0 ;0.858 ;0.850 ;3.34 ;8 ;
402 ;0:00.10 ;1764 ;0 ;0.860 ;0.850 ;3.33 ;8 ;
402 ;0:00.11 ;1764 ;0 ;0.857 ;0.850 ;3.33 ;8 ;
402 ;0:00.12 ;1674 ;0 ;0.862 ;0.850 ;3.35 ;8 ;
402 ;0:00.13 ;1674 ;0 ;0.848 ;0.850 ;3.35 ;8 ;
402 ;0:00.14 ;1625 ;0 ;0.853 ;0.850 ;3.35 ;8 ;
402 ;0:00.15 ;1625 ;0 ;0.843 ;0.850 ;3.35 ;8 ;
402 ;0:00.16 ;1687 ;0 ;0.852 ;0.850 ;3.35 ;8 ;
402 ;0:00.17 ;1580 ;0 ;0.849 ;0.850 ;3.36 ;8 ;
402 ;0:00.18 ;1580 ;0 ;0.851 ;0.850 ;3.36 ;8 ;
402 ;0:00.19 ;1566 ;0 ;0.855 ;0.850 ;3.36 ;8 ;
402 ;0:00.20 ;1566 ;0 ;0.849 ;0.850 ;3.36 ;8 ;
402 ;0:00.21 ;1561 ;0 ;0.855 ;0.850 ;3.37 ;8 ;
402 ;0:00.22 ;1561 ;0 ;0.857 ;0.850 ;3.37 ;8 ;
402 ;0:00.23 ;1615 ;0 ;0.861 ;0.850 ;3.36 ;8 ;
402 ;0:00.24 ;1615 ;0 ;0.856 ;0.850 ;3.36 ;8 ;
402 ;0:00.25 ;1663 ;0 ;0.860 ;0.850 ;3.35 ;8 ;
402 ;0:00.26 ;1663 ;0 ;0.853 ;0.850 ;3.35 ;8 ;
402 ;0:00.27 ;1509 ;0 ;0.859 ;0.850 ;3.37 ;8 ;
402 ;0:00.28 ;1509 ;0 ;0.855 ;0.850 ;3.37 ;8 ;
402 ;0:00.29 ;1416 ;0 ;0.858 ;0.850 ;3.37 ;8 ;
402 ;0:00.30 ;1416 ;0 ;0.861 ;0.850 ;3.37 ;8 ;
402 ;0:00.31 ;1498 ;0 ;0.866 ;0.850 ;3.37 ;8 ;
402 ;0:00.32 ;1498 ;0 ;0.858 ;0.850 ;3.37 ;8 ;
402 ;0:00.33 ;1484 ;0 ;0.869 ;0.850 ;3.37 ;8 ;
402 ;0:00.34 ;1484 ;0 ;0.858 ;0.850 ;3.37 ;8 ;
402 ;0:00.35 ;1542 ;0 ;0.870 ;0.850 ;3.37 ;8 ;
402 ;0:00.36 ;1542 ;0 ;0.857 ;0.850 ;3.37 ;8 ;
402 ;0:00.37 ;1449 ;0 ;0.871 ;0.850 ;3.37 ;8 ;
402 ;0:00.38 ;1449 ;0 ;0.848 ;0.850 ;3.37 ;8 ;
402 ;0:00.39 ;1468 ;0 ;0.860 ;0.850 ;3.37 ;8 ;
402 ;0:00.40 ;1468 ;0 ;0.847 ;0.850 ;3.37 ;8 ;
402 ;0:00.41 ;1467 ;0 ;0.858 ;0.850 ;3.37 ;8 ;
402 ;0:00.42 ;1467 ;0 ;0.850 ;0.850 ;3.37 ;8 ;
402 ;0:00.43 ;1352 ;0 ;0.857 ;0.850 ;3.37 ;8 ;
402 ;0:00.44 ;1352 ;0 ;0.852 ;0.850 ;3.37 ;8 ;
402 ;0:00.45 ;1350 ;0 ;0.857 ;0.850 ;3.37 ;8 ;
402 ;0:00.46 ;1350 ;0 ;0.855 ;0.850 ;3.37 ;8 ;
402 ;0:00.47 ;1455 ;0 ;0.844 ;0.850 ;3.37 ;8 ;
402 ;0:00.48 ;1455 ;0 ;0.847 ;0.850 ;3.37 ;8 ;
402 ;0:00.49 ;1478 ;0 ;0.844 ;0.850 ;3.37 ;8 ;
402 ;0:00.50 ;1478 ;0 ;0.846 ;0.850 ;3.37 ;8 ;
402 ;0:00.51 ;1478 ;0 ;0.845 ;0.850 ;3.37 ;8 ;
402 ;0:00.52 ;1478 ;0 ;0.845 ;0.850 ;3.37 ;8 ;
402 ;0:00.53 ;1390 ;0 ;0.845 ;0.850 ;3.37 ;8 ;
402 ;0:00.54 ;1390 ;0 ;0.844 ;0.850 ;3.37 ;8 ;
402 ;0:00.55 ;1415 ;0 ;0.836 ;0.850 ;3.37 ;8 ;
402 ;0:00.56 ;1415 ;0 ;0.835 ;0.850 ;3.37 ;8 ;
402 ;0:00.57 ;1415 ;0 ;0.830 ;0.850 ;3.37 ;8 ;
402 ;0:00.58 ;1457 ;0 ;0.836 ;0.850 ;3.37 ;8 ;
402 ;0:00.59 ;1457 ;0 ;0.828 ;0.850 ;3.37 ;8 ;
402 ;0:00.60 ;1476 ;0 ;0.838 ;0.850 ;3.37 ;8 ;
402 ;0:00.61 ;1476 ;0 ;0.827 ;0.850 ;3.37 ;8 ;
402 ;0:00.62 ;1525 ;0 ;0.839 ;0.850 ;3.37 ;8 ;
402 ;0:00.63 ;1525 ;0 ;0.814 ;0.850 ;3.37 ;8 ;
402 ;0:00.64 ;1602 ;0 ;0.827 ;0.850 ;3.36 ;8 ;
402 ;0:00.65 ;1602 ;0 ;0.813 ;0.850 ;3.36 ;8 ;
402 ;0:00.66 ;1606 ;0 ;0.825 ;0.850 ;3.36 ;8 ;
402 ;0:00.67 ;1606 ;0 ;0.815 ;0.850 ;3.36 ;8 ;
402 ;0:00.68 ;1673 ;0 ;0.826 ;0.850 ;3.35 ;8 ;
402 ;0:00.69 ;1690 ;0 ;0.820 ;0.850 ;3.34 ;8 ;
402 ;0:00.70 ;1690 ;0 ;0.823 ;0.850 ;3.34 ;8 ;
402 ;0:00.71 ;1741 ;0 ;0.812 ;0.850 ;3.34 ;8 ;
402 ;0:00.72 ;1741 ;0 ;0.807 ;0.850 ;3.34 ;8 ;
402 ;0:00.73 ;1775 ;0 ;0.812 ;0.850 ;3.33 ;8 ;
402 ;0:00.74 ;1775 ;0 ;0.798 ;0.850 ;3.33 ;8 ;
402 ;0:00.75 ;1736 ;0 ;0.810 ;0.850 ;3.34 ;8 ;
402 ;0:00.76 ;1756 ;0 ;0.806 ;0.850 ;3.33 ;8 ;
402 ;0:00.77 ;1756 ;0 ;0.809 ;0.850 ;3.33 ;8 ;
402 ;0:00.78 ;1841 ;0 ;0.811 ;0.850 ;3.32 ;8 ;
402 ;0:00.79 ;1841 ;0 ;0.806 ;0.850 ;3.32 ;8 ;
402 ;0:00.80 ;1901 ;0 ;0.813 ;0.850 ;3.31 ;8 ;
402 ;0:00.81 ;1901 ;0 ;0.802 ;0.850 ;3.31 ;8 ;
402 ;0:00.82 ;1961 ;0 ;0.812 ;0.850 ;3.30 ;8 ;
402 ;0:00.83 ;1976 ;0 ;0.809 ;0.850 ;3.30 ;8 ;
402 ;0:00.84 ;1976 ;0 ;0.802 ;0.850 ;3.30 ;8 ;
402 ;0:00.85 ;2003 ;0 ;0.811 ;0.850 ;3.29 ;8 ;
402 ;0:00.86 ;2029 ;0 ;0.810 ;0.850 ;3.28 ;8 ;
402 ;0:00.87 ;2029 ;0 ;0.816 ;0.850 ;3.28 ;8 ;
402 ;0:00.88 ;2050 ;0 ;0.828 ;0.850 ;3.27 ;8 ;
402 ;0:00.89 ;2097 ;0 ;0.832 ;0.850 ;3.25 ;8 ;
402 ;0:00.90 ;2097 ;0 ;0.820 ;0.850 ;3.25 ;8 ;
402 ;0:00.91 ;2166 ;0 ;0.831 ;0.850 ;3.22 ;8 ;
402 ;0:00.92 ;2200 ;0 ;0.829 ;0.850 ;3.21 ;8 ;
402 ;0:00.93 ;2255 ;0 ;0.828 ;0.850 ;3.17 ;7 ;
402 ;0:00.94 ;2255 ;0 ;0.825 ;0.850 ;3.17 ;7 ;
402 ;0:00.95 ;2267 ;0 ;0.830 ;0.850 ;3.17 ;7 ;
402 ;0:00.96 ;2305 ;0 ;0.848 ;0.850 ;3.15 ;7 ;
402 ;0:00.97 ;2356 ;0 ;0.843 ;0.850 ;3.13 ;7 ;
402 ;0:00.98 ;2356 ;0 ;0.840 ;0.850 ;3.13 ;7 ;
402 ;0:00.99 ;2418 ;0 ;0.843 ;0.850 ;3.10 ;7 ;
402 ;0:01.00 ;2465 ;0 ;0.847 ;0.850 ;3.08 ;7 ;
402 ;0:01.01 ;2527 ;0 ;0.846 ;0.850 ;3.06 ;7 ;
402 ;0:01.02 ;2535 ;0 ;0.844 ;0.850 ;3.06 ;7 ;
402 ;0:01.03 ;2535 ;0 ;0.839 ;0.850 ;3.06 ;7 ;
402 ;0:01.04 ;2505 ;0 ;0.838 ;0.850 ;3.06 ;7 ;
402 ;0:01.05 ;2516 ;0 ;0.844 ;0.850 ;3.06 ;7 ;
402 ;0:01.06 ;2577 ;0 ;0.840 ;0.850 ;3.05 ;7 ;
402 ;0:01.07 ;2646 ;0 ;0.845 ;0.850 ;3.04 ;7 ;
402 ;0:01.08 ;2710 ;0 ;0.840 ;0.850 ;3.02 ;7 ;
402 ;0:01.09 ;2710 ;0 ;0.839 ;0.850 ;3.02 ;7 ;
402 ;0:01.10 ;2726 ;0 ;0.835 ;0.850 ;3.02 ;7 ;
402 ;0:01.11 ;2776 ;0 ;0.833 ;0.850 ;3.01 ;7 ;
402 ;0:01.12 ;2802 ;0 ;0.844 ;0.850 ;3.00 ;7 ;
402 ;0:01.13 ;2806 ;0 ;0.843 ;0.850 ;3.00 ;7 ;
402 ;0:01.14 ;2825 ;0 ;0.848 ;0.850 ;3.00 ;7 ;
