SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;SLIP%;INJ;
457 ;0:00.64 ;1856 ;0 ;0.885 ;1.9 ;0.0 ;0 ;3.32 ;
457 ;0:00.65 ;1905 ;0 ;0.894 ;1.9 ;0.0 ;0 ;3.31 ;
457 ;0:00.66 ;1905 ;0 ;0.892 ;1.9 ;0.0 ;0 ;3.31 ;
457 ;0:00.67 ;1929 ;0 ;0.894 ;1.9 ;0.0 ;0 ;3.31 ;
457 ;0:00.68 ;1870 ;0 ;0.897 ;1.9 ;0.0 ;0 ;3.32 ;
457 ;0:00.69 ;1870 ;0 ;0.893 ;1.9 ;0.0 ;0 ;3.32 ;
457 ;0:00.70 ;1847 ;0 ;0.898 ;1.9 ;0.0 ;0 ;3.32 ;
457 ;0:00.71 ;1847 ;0 ;0.894 ;1.9 ;0.0 ;0 ;3.32 ;
457 ;0:00.72 ;1755 ;0 ;0.890 ;1.9 ;0.0 ;0 ;3.33 ;
457 ;0:00.73 ;1714 ;0 ;0.894 ;1.9 ;0.0 ;0 ;3.34 ;
457 ;0:00.74 ;1714 ;0 ;0.895 ;1.9 ;0.0 ;0 ;3.34 ;
457 ;0:00.75 ;1767 ;0 ;0.883 ;1.9 ;0.0 ;0 ;3.33 ;
457 ;0:00.76 ;1767 ;0 ;0.882 ;1.9 ;0.0 ;0 ;3.33 ;
457 ;0:00.77 ;1852 ;0 ;0.882 ;1.9 ;0.0 ;0 ;3.32 ;
457 ;0:00.78 ;1852 ;0 ;0.881 ;1.9 ;0.0 ;0 ;3.32 ;
457 ;0:00.79 ;1852 ;0 ;0.884 ;1.9 ;0.0 ;0 ;3.32 ;
457 ;0:00.80 ;1809 ;0 ;0.880 ;1.9 ;0.0 ;0 ;3.33 ;
457 ;0:00.81 ;1809 ;0 ;0.885 ;1.9 ;0.0 ;0 ;3.33 ;
457 ;0:00.82 ;1735 ;0 ;0.876 ;1.9 ;0.0 ;0 ;3.34 ;
457 ;0:00.83 ;1771 ;0 ;0.870 ;2.5 ;0.0 ;0 ;3.33 ;
457 ;0:00.84 ;1771 ;0 ;0.868 ;2.5 ;0.0 ;0 ;3.33 ;
457 ;0:00.85 ;1780 ;0 ;0.868 ;2.5 ;0.0 ;0 ;3.33 ;
457 ;0:00.86 ;1780 ;0 ;0.871 ;2.5 ;0.0 ;0 ;3.33 ;
457 ;0:00.87 ;1812 ;0 ;0.866 ;2.5 ;0.0 ;0 ;3.33 ;
457 ;0:00.88 ;1793 ;0 ;0.872 ;2.5 ;0.0 ;0 ;3.33 ;
457 ;0:00.89 ;1793 ;0 ;0.865 ;2.5 ;0.0 ;0 ;3.33 ;
457 ;0:00.90 ;1753 ;0 ;0.870 ;2.5 ;0.0 ;0 ;3.33 ;
457 ;0:00.91 ;1753 ;0 ;0.854 ;2.5 ;0.0 ;0 ;3.33 ;
457 ;0:00.92 ;1729 ;0 ;0.853 ;2.5 ;0.0 ;0 ;3.34 ;
457 ;0:00.93 ;1619 ;0 ;0.856 ;2.5 ;0.0 ;0 ;3.36 ;
457 ;0:00.94 ;1619 ;0 ;0.848 ;2.5 ;0.0 ;0 ;3.36 ;
457 ;0:00.95 ;1610 ;0 ;0.857 ;2.5 ;0.0 ;0 ;3.36 ;
457 ;0:00.96 ;1610 ;0 ;0.851 ;2.5 ;0.0 ;0 ;3.36 ;
457 ;0:00.97 ;1687 ;0 ;0.857 ;2.5 ;0.0 ;0 ;3.35 ;
457 ;0:00.98 ;1687 ;0 ;0.853 ;2.5 ;0.0 ;0 ;3.35 ;
457 ;0:00.99 ;1612 ;0 ;0.861 ;2.8 ;0.0 ;0 ;3.36 ;
457 ;0:01.00 ;1612 ;0 ;0.860 ;2.8 ;0.0 ;0 ;3.36 ;
457 ;0:01.01 ;1601 ;0 ;0.859 ;2.8 ;0.0 ;0 ;3.36 ;
457 ;0:01.02 ;1601 ;0 ;0.861 ;2.8 ;0.0 ;0 ;3.36 ;
457 ;0:01.03 ;1588 ;0 ;0.855 ;2.8 ;0.0 ;0 ;3.36 ;
457 ;0:01.04 ;1613 ;0 ;0.862 ;2.8 ;0.0 ;0 ;3.36 ;
457 ;0:01.05 ;1613 ;0 ;0.851 ;2.8 ;0.0 ;0 ;3.36 ;
457 ;0:01.06 ;1641 ;0 ;0.863 ;2.8 ;0.0 ;0 ;3.35 ;
457 ;0:01.07 ;1641 ;0 ;0.855 ;2.8 ;0.0 ;0 ;3.35 ;
457 ;0:01.08 ;1469 ;0 ;0.865 ;2.8 ;0.0 ;0 ;3.37 ;
457 ;0:01.09 ;1469 ;0 ;0.864 ;2.8 ;0.0 ;0 ;3.37 ;
457 ;0:01.10 ;1353 ;0 ;0.864 ;3.2 ;0.0 ;0 ;3.37 ;
457 ;0:01.11 ;1353 ;0 ;0.864 ;3.2 ;0.0 ;0 ;3.37 ;
457 ;0:01.12 ;1422 ;0 ;0.863 ;3.2 ;0.0 ;0 ;3.37 ;
457 ;0:01.13 ;1422 ;0 ;0.858 ;3.2 ;0.0 ;0 ;3.37 ;
457 ;0:01.14 ;1337 ;0 ;0.862 ;3.2 ;0.0 ;0 ;3.37 ;
457 ;0:01.15 ;1337 ;0 ;0.857 ;3.2 ;0.0 ;0 ;3.37 ;
457 ;0:01.16 ;1350 ;0 ;0.845 ;3.2 ;0.0 ;0 ;3.37 ;
457 ;0:01.17 ;1350 ;0 ;0.846 ;3.2 ;0.0 ;0 ;3.37 ;
457 ;0:01.18 ;1350 ;0 ;0.847 ;3.2 ;0.0 ;0 ;3.37 ;
457 ;0:01.19 ;1165 ;0 ;0.846 ;3.2 ;0.0 ;0 ;3.37 ;
457 ;0:01.20 ;1165 ;0 ;0.849 ;3.7 ;0.0 ;0 ;3.37 ;
457 ;0:01.21 ;1143 ;0 ;0.845 ;3.7 ;0.0 ;0 ;3.37 ;
457 ;0:01.22 ;1143 ;0 ;0.839 ;3.7 ;0.0 ;0 ;3.37 ;
457 ;0:01.23 ;1225 ;0 ;0.845 ;3.7 ;0.0 ;0 ;3.37 ;
457 ;0:01.24 ;1225 ;0 ;0.835 ;3.7 ;0.0 ;0 ;3.37 ;
457 ;0:01.25 ;1225 ;0 ;0.833 ;3.7 ;0.0 ;0 ;3.37 ;
457 ;0:01.26 ;1040 ;0 ;0.834 ;3.7 ;0.0 ;0 ;3.37 ;
457 ;0:01.27 ;1040 ;0 ;0.829 ;3.7 ;0.0 ;0 ;3.37 ;
457 ;0:01.28 ;853 ;0 ;0.833 ;3.7 ;0.0 ;0 ;3.37 ;
457 ;0:01.29 ;853 ;0 ;0.835 ;3.9 ;0.0 ;0 ;3.37 ;
457 ;0:01.30 ;853 ;0 ;0.825 ;3.9 ;0.0 ;0 ;3.37 ;
457 ;0:01.31 ;895 ;0 ;0.836 ;3.9 ;0.0 ;0 ;3.37 ;
457 ;0:01.32 ;895 ;0 ;0.828 ;3.9 ;0.0 ;0 ;3.37 ;
457 ;0:01.33 ;895 ;0 ;0.830 ;3.9 ;0.0 ;0 ;3.37 ;
457 ;0:01.34 ;895 ;0 ;0.828 ;3.9 ;0.0 ;0 ;3.37 ;
457 ;0:01.35 ;1034 ;0 ;0.830 ;3.9 ;0.0 ;0 ;3.37 ;
457 ;0:01.36 ;1034 ;0 ;0.830 ;3.9 ;0.0 ;0 ;3.37 ;
457 ;0:01.37 ;1034 ;0 ;0.822 ;4.4 ;0.0 ;0 ;3.37 ;
457 ;0:01.38 ;1185 ;0 ;0.832 ;4.4 ;0.0 ;0 ;3.37 ;
457 ;0:01.39 ;1185 ;0 ;0.828 ;4.4 ;0.0 ;0 ;3.37 ;
457 ;0:01.40 ;1185 ;0 ;0.832 ;4.4 ;0.0 ;0 ;3.37 ;
457 ;0:01.41 ;978 ;0 ;0.831 ;4.4 ;0.0 ;0 ;3.37 ;
457 ;0:01.42 ;978 ;0 ;0.832 ;4.4 ;0.0 ;0 ;3.37 ;
457 ;0:01.43 ;978 ;0 ;0.832 ;4.4 ;0.0 ;0 ;3.37 ;
457 ;0:01.44 ;953 ;0 ;0.832 ;4.8 ;0.0 ;0 ;3.37 ;
457 ;0:01.45 ;953 ;0 ;0.833 ;4.8 ;0.0 ;0 ;3.37 ;
457 ;0:01.46 ;953 ;0 ;0.831 ;4.8 ;0.0 ;0 ;3.37 ;
457 ;0:01.47 ;1096 ;0 ;0.834 ;4.8 ;0.0 ;0 ;3.37 ;
457 ;0:01.48 ;1096 ;0 ;0.832 ;4.8 ;0.0 ;0 ;3.37 ;
457 ;0:01.49 ;1096 ;0 ;0.837 ;4.8 ;0.0 ;0 ;3.37 ;
457 ;0:01.50 ;1051 ;0 ;0.833 ;4.8 ;0.0 ;0 ;3.37 ;
457 ;0:01.51 ;1051 ;0 ;0.834 ;5.1 ;0.0 ;0 ;3.37 ;
457 ;0:01.52 ;1051 ;0 ;0.835 ;5.1 ;0.0 ;0 ;3.37 ;
457 ;0:01.53 ;1085 ;0 ;0.834 ;5.1 ;0.0 ;0 ;3.37 ;
457 ;0:01.54 ;1085 ;0 ;0.833 ;5.1 ;0.0 ;0 ;3.37 ;
457 ;0:01.55 ;1202 ;0 ;0.833 ;5.1 ;0.0 ;0 ;3.37 ;
457 ;0:01.56 ;1202 ;0 ;0.838 ;5.1 ;0.0 ;0 ;3.37 ;
457 ;0:01.57 ;1202 ;0 ;0.833 ;5.4 ;0.0 ;0 ;3.37 ;
457 ;0:01.58 ;1243 ;0 ;0.845 ;5.4 ;0.0 ;0 ;3.37 ;
457 ;0:01.59 ;1243 ;0 ;0.841 ;5.4 ;0.0 ;0 ;3.37 ;
457 ;0:01.60 ;1243 ;0 ;0.843 ;5.4 ;0.0 ;0 ;3.37 ;
457 ;0:01.61 ;1331 ;0 ;0.843 ;5.4 ;0.0 ;0 ;3.37 ;
457 ;0:01.62 ;1331 ;0 ;0.834 ;5.4 ;0.0 ;0 ;3.37 ;
457 ;0:01.63 ;1396 ;0 ;0.845 ;5.5 ;0.0 ;0 ;3.37 ;
457 ;0:01.64 ;1396 ;0 ;0.837 ;5.5 ;0.0 ;0 ;3.37 ;
457 ;0:01.65 ;1465 ;0 ;0.848 ;5.5 ;0.0 ;0 ;3.37 ;
457 ;0:01.66 ;1465 ;0 ;0.843 ;5.5 ;0.0 ;0 ;3.37 ;
457 ;0:01.67 ;1465 ;0 ;0.847 ;5.5 ;0.0 ;0 ;3.37 ;
457 ;0:01.68 ;1547 ;0 ;0.844 ;5.9 ;0.0 ;0 ;3.37 ;
