SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;TAR LB;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/100K;

149 ;0:00.10 ;2215 ;0 ;0.896 ;2.3 ;0.0 ;0.900 ;0 ;2.93 ;6.4 ;0 ;0 ;7 ;104.3;
149 ;0:00.20 ;2124 ;0 ;0.883 ;2.3 ;0.0 ;0.900 ;0 ;3.01 ;6.2 ;0 ;0 ;7 ;71.8;
149 ;0:00.30 ;2068 ;0 ;0.896 ;3.2 ;0.0 ;0.900 ;0 ;3.05 ;6.1 ;0 ;0 ;7 ;71.8;
149 ;0:00.40 ;2039 ;0 ;0.896 ;3.5 ;0.0 ;0.900 ;0 ;3.07 ;6.0 ;0 ;0 ;7 ;62.1;
149 ;0:00.50 ;2022 ;0 ;0.894 ;3.7 ;0.0 ;0.900 ;0 ;3.09 ;6.0 ;0 ;0 ;7 ;54.7;
149 ;0:00.60 ;1963 ;0 ;0.889 ;4.3 ;0.0 ;0.900 ;0 ;3.12 ;5.9 ;0 ;0 ;7 ;48.8;
149 ;0:00.70 ;1892 ;0 ;0.894 ;4.6 ;0.0 ;0.900 ;0 ;3.15 ;5.7 ;0 ;0 ;7 ;45.8;
149 ;0:00.80 ;1998 ;0 ;0.901 ;5.2 ;0.0 ;0.900 ;0 ;3.11 ;5.9 ;0 ;0 ;7 ;42.3;
149 ;0:00.90 ;2042 ;0 ;0.894 ;5.3 ;0.0 ;0.900 ;0 ;3.07 ;6.0 ;0 ;0 ;7 ;40.0;
149 ;0:01.00 ;2025 ;0 ;0.896 ;5.8 ;0.0 ;0.900 ;0 ;3.08 ;6.0 ;0 ;0 ;7 ;39.2;
149 ;0:01.10 ;1988 ;0 ;0.896 ;5.8 ;0.0 ;0.900 ;0 ;3.11 ;5.9 ;0 ;0 ;7 ;36.2;
149 ;0:01.20 ;1952 ;0 ;0.893 ;5.9 ;0.0 ;0.900 ;0 ;3.12 ;5.9 ;0 ;0 ;7 ;34.9;
149 ;0:01.30 ;1907 ;0 ;0.904 ;6.0 ;0.0 ;0.900 ;0 ;3.14 ;5.8 ;0 ;0 ;7 ;33.8;
149 ;0:01.40 ;1944 ;0 ;0.908 ;6.4 ;0.0 ;0.900 ;0 ;3.13 ;5.8 ;0 ;0 ;7 ;35.9;
149 ;0:01.50 ;1962 ;0 ;0.926 ;6.9 ;0.0 ;0.900 ;0 ;3.12 ;5.9 ;0 ;0 ;7 ;30.4;
149 ;0:01.60 ;1942 ;0 ;0.922 ;7.1 ;0.0 ;0.900 ;0 ;3.13 ;5.8 ;0 ;0 ;7 ;31.8;
149 ;0:01.70 ;2006 ;0 ;0.919 ;6.8 ;0.0 ;0.900 ;0 ;3.10 ;6.0 ;0 ;0 ;7 ;31.4;
149 ;0:01.80 ;1960 ;0 ;0.933 ;7.3 ;0.0 ;0.900 ;0 ;3.12 ;5.9 ;0 ;0 ;7 ;29.3;
149 ;0:01.90 ;1959 ;0 ;0.924 ;7.6 ;0.0 ;0.900 ;0 ;3.12 ;5.9 ;0 ;0 ;7 ;30.6;
149 ;0:02.00 ;1853 ;0 ;0.914 ;7.6 ;0.0 ;0.900 ;0 ;3.16 ;5.7 ;0 ;0 ;7 ;28.2;
149 ;0:02.10 ;1745 ;0 ;0.913 ;8.0 ;0.0 ;0.900 ;0 ;3.21 ;5.4 ;0 ;0 ;8 ;28.2;
149 ;0:02.20 ;1588 ;0 ;0.917 ;8.6 ;0.0 ;0.900 ;0 ;3.27 ;5.1 ;0 ;0 ;8 ;26.2;
