SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;ANA3;L U SP;L D SP;TAR LB;TRAC %;VOLTS;SLIP%;GEAR;SHIF A;INJ %;A1 VAL;A2 VAL;A3 VAL;
517 ;0:03.10 ;4222 ;0 ;86;21;66;0.821 ;757 ;20.6 ;20.5 ;0.850 ;0 ;13.0 ;0 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:03.20 ;4297 ;0 ;86;21;66;0.818 ;781 ;20.6 ;20.8 ;0.850 ;0 ;12.8 ;0 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:03.30 ;4252 ;0 ;86;21;66;0.838 ;865 ;21.7 ;20.6 ;0.850 ;0 ;12.7 ;-5 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:03.40 ;4225 ;0 ;86;21;66;0.846 ;1107 ;22.8 ;20.5 ;0.850 ;0 ;12.8 ;-10 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:03.50 ;4162 ;0 ;86;21;67;0.805 ;1119 ;22.4 ;20.2 ;0.850 ;0 ;12.7 ;-9 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:03.60 ;4154 ;0 ;86;21;67;0.823 ;873 ;23.2 ;20.1 ;0.850 ;0 ;12.7 ;-13 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:03.70 ;4145 ;0 ;86;21;67;0.817 ;1137 ;23.0 ;20.1 ;0.850 ;0 ;12.7 ;-12 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:03.80 ;4131 ;0 ;86;21;67;0.846 ;954 ;24.2 ;20.0 ;0.850 ;0 ;13.0 ;-17 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:03.90 ;4154 ;0 ;86;21;67;0.811 ;1086 ;23.7 ;20.1 ;0.850 ;0 ;13.0 ;-15 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:04.00 ;4171 ;0 ;86;21;67;0.846 ;1494 ;23.4 ;28.0 ;0.850 ;0 ;12.9 ;19 ;2 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:04.10 ;4127 ;0 ;86;21;67;0.816 ;1486 ;21.9 ;27.7 ;0.850 ;0 ;13.0 ;26 ;2 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:04.20 ;4126 ;0 ;86;21;67;0.826 ;1461 ;23.4 ;27.7 ;0.850 ;0 ;12.7 ;18 ;2 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:04.30 ;4093 ;0 ;86;21;67;0.814 ;1401 ;24.8 ;27.5 ;0.850 ;0 ;12.8 ;10 ;2 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:04.40 ;4069 ;0 ;86;21;67;0.819 ;1304 ;24.5 ;27.3 ;0.850 ;0 ;12.9 ;11 ;2 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:04.50 ;4105 ;0 ;86;21;66;0.851 ;1102 ;25.0 ;19.9 ;0.850 ;0 ;12.7 ;-20 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:04.60 ;4096 ;0 ;86;21;66;0.791 ;929 ;25.0 ;19.9 ;0.850 ;0 ;12.9 ;-20 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:04.70 ;4204 ;0 ;86;21;66;0.796 ;1300 ;26.3 ;28.2 ;0.850 ;0 ;12.8 ;7 ;2 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:04.80 ;4291 ;0 ;86;21;65;0.828 ;943 ;25.9 ;20.8 ;0.850 ;0 ;13.0 ;-19 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
517 ;0:04.90 ;4569 ;0 ;86;21;65;0.857 ;752 ;23.5 ;22.2 ;0.850 ;0 ;12.9 ;-5 ;1 ;0 ;10 ;0.0 ;0.0 ;0.0 ;
517 ;0:05.00 ;4843 ;0 ;86;21;64;0.871 ;758 ;25.2 ;23.5 ;0.850 ;0 ;12.6 ;-6 ;1 ;0 ;11 ;0.0 ;0.0 ;0.0 ;
517 ;0:05.10 ;5152 ;0 ;86;21;63;0.880 ;782 ;26.7 ;25.0 ;0.850 ;0 ;12.9 ;-6 ;1 ;0 ;11 ;0.0 ;0.0 ;0.0 ;
517 ;0:05.20 ;5319 ;0 ;86;21;63;0.869 ;869 ;26.3 ;25.8 ;0.850 ;0 ;12.8 ;-1 ;1 ;0 ;11 ;0.0 ;0.0 ;0.0 ;
517 ;0:05.30 ;5392 ;0 ;86;21;62;0.890 ;896 ;28.1 ;26.2 ;0.850 ;0 ;12.7 ;-6 ;1 ;0 ;11 ;0.0 ;0.0 ;0.0 ;
517 ;0:05.40 ;5617 ;0 ;86;21;61;0.891 ;1211 ;27.2 ;37.7 ;0.850 ;0 ;12.7 ;38 ;2 ;0 ;12 ;0.0 ;0.0 ;0.0 ;
517 ;0:05.50 ;5503 ;0 ;86;21;60;0.856 ;854 ;27.7 ;26.7 ;0.850 ;0 ;12.6 ;-3 ;1 ;0 ;12 ;0.0 ;0.0 ;0.0 ;
517 ;0:05.60 ;5622 ;0 ;86;21;58;0.868 ;818 ;28.3 ;27.3 ;0.850 ;0 ;12.9 ;-3 ;1 ;0 ;12 ;0.0 ;0.0 ;0.0 ;
517 ;0:05.70 ;6005 ;1 ;86;21;58;0.924 ;979 ;28.7 ;29.1 ;0.850 ;0 ;12.8 ;1 ;1 ;0 ;13 ;0.0 ;0.0 ;0.0 ;
517 ;0:05.80 ;5826 ;1 ;86;21;59;0.871 ;1115 ;28.5 ;28.3 ;0.850 ;0 ;12.8 ;0 ;1 ;0 ;12 ;0.0 ;0.0 ;0.0 ;
517 ;0:05.90 ;5607 ;1 ;86;21;57;0.817 ;740 ;29.2 ;27.2 ;0.850 ;0 ;12.8 ;-6 ;1 ;0 ;12 ;0.0 ;0.0 ;0.0 ;
517 ;0:06.00 ;6135 ;1 ;86;21;55;0.806 ;740 ;30.2 ;29.8 ;0.850 ;0 ;12.7 ;-1 ;1 ;0 ;13 ;0.0 ;0.0 ;0.0 ;
517 ;0:06.10 ;6496 ;2 ;86;21;56;0.815 ;737 ;30.6 ;31.5 ;0.850 ;0 ;12.6 ;2 ;1 ;0 ;14 ;0.0 ;0.0 ;0.0 ;
517 ;0:06.20 ;6578 ;3 ;86;21;58;0.829 ;736 ;30.6 ;31.9 ;0.850 ;0 ;12.6 ;4 ;1 ;0 ;14 ;0.0 ;0.0 ;0.0 ;
517 ;0:06.30 ;5924 ;3 ;86;21;60;0.771 ;740 ;34.9 ;28.8 ;0.850 ;0 ;12.6 ;-17 ;1 ;0 ;13 ;0.0 ;0.0 ;0.0 ;
517 ;0:06.40 ;6032 ;4 ;86;21;58;0.786 ;736 ;30.2 ;29.3 ;0.850 ;0 ;12.8 ;-2 ;1 ;0 ;14 ;0.0 ;0.0 ;0.0 ;
517 ;0:06.50 ;6725 ;7 ;86;21;57;0.782 ;740 ;33.1 ;32.6 ;0.850 ;0 ;12.9 ;-1 ;1 ;0 ;18 ;0.0 ;0.0 ;0.0 ;
517 ;0:06.60 ;6788 ;8 ;86;21;58;0.816 ;737 ;30.8 ;33.0 ;0.850 ;0 ;12.9 ;7 ;1 ;0 ;19 ;0.0 ;0.0 ;0.0 ;
517 ;0:06.70 ;6609 ;8 ;86;21;60;0.838 ;738 ;30.4 ;32.1 ;0.850 ;0 ;12.7 ;5 ;1 ;0 ;18 ;0.0 ;0.0 ;0.0 ;
517 ;0:06.80 ;6216 ;8 ;86;21;60;0.828 ;739 ;33.1 ;30.2 ;0.850 ;0 ;12.6 ;-8 ;1 ;0 ;17 ;0.0 ;0.0 ;0.0 ;
517 ;0:06.90 ;6214 ;8 ;86;21;59;0.808 ;741 ;31.9 ;30.2 ;0.850 ;0 ;12.6 ;-5 ;1 ;0 ;17 ;0.0 ;0.0 ;0.0 ;
517 ;0:07.00 ;6452 ;8 ;86;21;57;0.793 ;743 ;34.1 ;31.3 ;0.850 ;0 ;12.8 ;-8 ;1 ;0 ;18 ;0.0 ;0.0 ;0.0 ;
517 ;0:07.10 ;6845 ;8 ;86;21;56;0.794 ;757 ;32.1 ;33.2 ;0.850 ;0 ;12.6 ;3 ;1 ;0 ;19 ;0.0 ;0.0 ;0.0 ;
517 ;0:07.20 ;6815 ;8 ;86;21;57;0.795 ;798 ;33.8 ;33.1 ;0.850 ;0 ;12.7 ;-2 ;1 ;0 ;19 ;0.0 ;0.0 ;0.0 ;
517 ;0:07.30 ;6674 ;7 ;86;21;58;0.826 ;926 ;31.8 ;32.4 ;0.850 ;0 ;12.8 ;1 ;1 ;0 ;18 ;0.0 ;0.0 ;0.0 ;
