SESSION; TIME;RPM;THROT;ANA1;L U SP;L D SP;SHIF A;
317 ;2:05.01 ;5029 ;32 ;0 ;43.3 ;0.0 ;0 ;
317 ;2:05.02 ;4953 ;32 ;0 ;43.0 ;0.0 ;0 ;
317 ;2:05.03 ;4812 ;32 ;0 ;43.9 ;0.0 ;0 ;
317 ;2:05.04 ;4557 ;32 ;0 ;44.1 ;0.0 ;0 ;
317 ;2:05.05 ;4508 ;32 ;0 ;43.9 ;0.0 ;0 ;
317 ;2:05.06 ;4708 ;32 ;0 ;44.9 ;0.0 ;0 ;
317 ;2:05.07 ;4901 ;32 ;0 ;41.5 ;0.0 ;0 ;
317 ;2:05.08 ;5400 ;32 ;0 ;40.4 ;0.0 ;0 ;
317 ;2:05.09 ;5535 ;32 ;0 ;42.2 ;0.0 ;0 ;
317 ;2:05.10 ;5400 ;32 ;0 ;42.3 ;0.0 ;0 ;
317 ;2:05.11 ;5268 ;32 ;4921 ;42.9 ;0.0 ;0 ;
317 ;2:05.12 ;5092 ;32 ;4926 ;41.6 ;0.0 ;0 ;
317 ;2:05.13 ;4936 ;32 ;4941 ;43.0 ;0.0 ;0 ;
317 ;2:05.14 ;5151 ;32 ;4916 ;43.5 ;0.0 ;0 ;
317 ;2:05.15 ;5363 ;32 ;4926 ;43.3 ;0.0 ;0 ;
317 ;2:05.16 ;5783 ;32 ;4936 ;41.2 ;0.0 ;0 ;
317 ;2:05.17 ;5903 ;32 ;4926 ;41.6 ;0.0 ;0 ;
317 ;2:05.18 ;5692 ;32 ;4931 ;42.4 ;0.0 ;0 ;
317 ;2:05.19 ;5447 ;32 ;4941 ;42.0 ;0.0 ;0 ;
317 ;2:05.20 ;5162 ;32 ;4941 ;43.0 ;0.0 ;0 ;
317 ;2:05.21 ;5026 ;32 ;4926 ;41.7 ;0.0 ;0 ;
317 ;2:05.22 ;4986 ;32 ;4926 ;41.2 ;0.0 ;0 ;
317 ;2:05.23 ;4760 ;32 ;4941 ;41.3 ;0.0 ;0 ;
317 ;2:05.24 ;4601 ;32 ;4912 ;41.3 ;0.0 ;0 ;
317 ;2:05.25 ;4376 ;32 ;4941 ;42.7 ;0.0 ;0 ;
317 ;2:05.26 ;4473 ;32 ;4946 ;42.0 ;0.0 ;0 ;
317 ;2:05.27 ;4796 ;32 ;4951 ;41.6 ;0.0 ;1 ;
317 ;2:05.28 ;4996 ;32 ;4951 ;43.8 ;0.0 ;1 ;
317 ;2:05.29 ;5384 ;32 ;4956 ;41.8 ;0.0 ;1 ;
317 ;2:05.30 ;5595 ;32 ;4956 ;40.8 ;0.0 ;1 ;
317 ;2:05.31 ;5488 ;32 ;4946 ;40.5 ;0.0 ;0 ;
317 ;2:05.32 ;5250 ;32 ;0 ;41.0 ;0.0 ;0 ;
317 ;2:05.33 ;5144 ;32 ;0 ;41.5 ;0.0 ;0 ;
317 ;2:05.34 ;5064 ;32 ;0 ;44.9 ;0.0 ;0 ;
317 ;2:05.35 ;5221 ;33 ;0 ;39.3 ;0.0 ;0 ;
317 ;2:05.36 ;5375 ;33 ;0 ;40.3 ;0.0 ;0 ;
317 ;2:05.37 ;5628 ;33 ;0 ;39.9 ;0.0 ;0 ;
317 ;2:05.38 ;5776 ;33 ;0 ;41.9 ;0.0 ;0 ;
317 ;2:05.39 ;5748 ;33 ;0 ;41.2 ;0.0 ;0 ;
317 ;2:05.40 ;5580 ;33 ;0 ;41.9 ;0.0 ;0 ;
317 ;2:05.41 ;5311 ;33 ;0 ;40.4 ;0.0 ;0 ;
317 ;2:05.42 ;5110 ;33 ;0 ;41.6 ;0.0 ;0 ;
317 ;2:05.43 ;5064 ;33 ;0 ;38.5 ;0.0 ;0 ;
317 ;2:05.44 ;5227 ;33 ;0 ;39.8 ;0.0 ;0 ;
317 ;2:05.45 ;5537 ;34 ;0 ;38.9 ;0.0 ;0 ;
317 ;2:05.46 ;5732 ;34 ;0 ;39.6 ;0.0 ;0 ;
317 ;2:05.47 ;5781 ;34 ;0 ;39.0 ;0.0 ;0 ;
317 ;2:05.48 ;5700 ;34 ;0 ;40.0 ;0.0 ;0 ;
317 ;2:05.49 ;5575 ;34 ;0 ;38.9 ;0.0 ;0 ;
317 ;2:05.50 ;5305 ;34 ;0 ;39.2 ;0.0 ;0 ;
317 ;2:05.51 ;5064 ;34 ;0 ;39.8 ;0.0 ;0 ;
317 ;2:05.52 ;4808 ;34 ;0 ;42.1 ;0.0 ;0 ;
317 ;2:05.53 ;4870 ;34 ;0 ;37.0 ;0.0 ;0 ;
317 ;2:05.54 ;5158 ;34 ;0 ;40.0 ;0.0 ;0 ;
317 ;2:05.55 ;5612 ;34 ;0 ;38.7 ;0.0 ;0 ;
317 ;2:05.56 ;5832 ;34 ;0 ;38.1 ;0.0 ;0 ;
317 ;2:05.57 ;5980 ;34 ;0 ;40.5 ;0.0 ;0 ;
317 ;2:05.58 ;5826 ;34 ;0 ;37.6 ;0.0 ;0 ;
317 ;2:05.59 ;5690 ;34 ;0 ;39.6 ;0.0 ;0 ;
317 ;2:05.60 ;5575 ;34 ;0 ;37.3 ;0.0 ;0 ;
317 ;2:05.61 ;5317 ;34 ;0 ;39.1 ;0.0 ;0 ;
317 ;2:05.62 ;5224 ;34 ;0 ;37.6 ;0.0 ;0 ;
317 ;2:05.63 ;5006 ;34 ;4931 ;40.5 ;0.0 ;0 ;
317 ;2:05.64 ;4945 ;34 ;4926 ;39.8 ;0.0 ;0 ;
317 ;2:05.65 ;5070 ;34 ;4936 ;37.2 ;0.0 ;0 ;
317 ;2:05.66 ;5442 ;34 ;4916 ;36.7 ;0.0 ;0 ;
317 ;2:05.67 ;5735 ;34 ;4912 ;37.6 ;0.0 ;0 ;
317 ;2:05.68 ;6081 ;34 ;4916 ;37.0 ;0.0 ;0 ;
317 ;2:05.69 ;6196 ;34 ;4916 ;38.3 ;0.0 ;0 ;
