[Result Details]
Result Name;[83,90] FSAE 3, FSAE Endurance Germany 2012
Date Created;4/5/2019 5:20:05 PM
Track;FSAE Endurance Germany 2012
Track Configuration;Closed Circuit
Vehicle;FSAE 3

[KPI Values]
Lap time [s];83.8999268124887;
Percent in Corners [%];87.0517282399863;
Percent Accelerating [%];67.5832037127855;
Percent Braking [%];27.4894266525438;
Percent Coasting [%];0.574723988337134;
Percent 100% Throttle [%];11.4789782216149;
Percent TCS Enabled [%];59.6390699070707;
Lowest Speed [km/h];28.0245349870828;
Highest Speed [km/h];92.8313701198753;
Average Speed [km/h];66.7547621755599;
Energy Spent [kJ];1736.23739396073;
Fuel Consumption [kg];0.122615635166718;
Gear Shifts [-];108;
Maximum Lateral Acceleration [m/s^2];19.1845097808602;
Maximum Longitudinal Acceleration [m/s^2];6.6932105993814;
Maximum Longitudinal Deceleration [m/s^2];-21.09405504405;
Time in Sector 1 [s];83.8999268124887;
Maximum Speed in Sector 1 [km/h];92.8313701198753;
Minimum Speed in Sector 1 [km/h];28.0245349870828;
Percent in Gear 1 [%];15.0131694468832;
Percent in Gear 2 [%];17.1729587357331;
Percent in Gear 3 [%];26.3915715539947;
Percent in Gear 4 [%];41.4223002633889;

[Vehicle Parameters]
Vehicle Mass [kg];278;
Drag Coefficient [-];1.2;
Downforce Coefficient [-];2.3;
Frontal Area [m^2];1.1;
Drivetrain Efficiency [%];90;
Tire Rolling Radius [m];0.22;
Air Density [kg/m^3];1.2255;
Final Drive Ratio [-];3.5;
Longitudinal Friction [-];1.4;
Lateral Friction [-];1.5;
Fuel Energy Density [J/kg];47200000;
Engine Thermal Efficiency [%];30;
Tire Rolling Drag [-];0.03;
Power Scaling Factor [%];100;
Aero Scaling Factor [%];100;
Grip Scaling Factor [%];100;
Mass Lateral Friction [kg];0;
Mass Longitudinal Friction [kg];0;
Aero Efficiency [-];1.91666666666667;
Rev Limit [rpm];10969;
Torque Data [N.m];0;
RPM Data [rpm];0;
Gear Ratio Data [-];0;
Gear Shift Points [rpm];0;

[Vehicle KPIs]
Shift Point [1 to 2] [rpm];10537.4504504504;
Shift Point [2 to 3] [rpm];10758.2432432432;
Shift Point [3 to 4] [rpm];10788.3513513514;
Shift Speed [1 to 2] [km/h];46.2410344317101;
Shift Speed [2 to 3] [km/h];56.6519157826369;
Shift Speed [3 to 4] [km/h];71.0130778756686;
Top Speed [km/h];92.8313701198753;
Acceleration Time To Speed [27,778 km/h] [s];0;
Acceleration Time For Distance [100 m] [s];4.89725493190856;
Deceleration Time For Speed [27,778 km/h] [s];0;
Deceleration Distance For Speed [27,778 km/h] [m];0;

[Simulation Results]
speed;elapsedTime;elapsedDistance;lateralAcceleration;longitudinalAcceleration;gear;gearRatio;engineSpeed;torque;power;downForce;dragForce;tractionControl;throttlePosition;brakePosition;cornerRadius;sectorIndex;maximumCornerSpeed;loadSensitiveLatGrip;loadSensitiveLongGrip;yawangle;yawvelocity;yawacceleration;xposition;yposition;trackelevation;fz;
Speed (linear);Time;Length;Acceleration (linear);Acceleration (linear);Unitless;Unitless;Speed (angular);Torque;Power;Force;Force;Ratio;Ratio;Ratio;Length;Unitless;Speed (linear);Unitless;Unitless;Angle;Speed (angular);Acceleration (angular);Length;Length;Length;Force;
km/h;s;m;m/s^2;m/s^2;-;-;rpm;N.m;hp;N;N;%;%;%;m;-;km/h;-;-;deg;rpm;deg/s^2;m;m;m;N;
83.2809226418715;0.00969499856393167;0.25;8.91938281389068;5.71549856280009;4;9.8;9840.51446487382;18.32;28.2200030655554;829.640406156308;537.825971405425;0;79.7191650963997;0;-48.6352266373518;1;92.8313701198753;1.5;1.4;0;0;0;0.163318698311795;0.18885353363632;0;3556.82040615631;
57.955141350488;0.0254635328607149;0.5;-5.98945756947649;-15.4923470815422;3;12.6;8804.58144063242;58.9649748853493;72.9066903579;401.774878431376;209.621675703327;0;0;91.8980454150451;-43.2704532747037;1;92.8313701198753;1.5;1.4;-0.297753458561509;-2.41343526487617;-16.0277642283178;0.335374533144403;0.380475944701076;0;3128.95487843138;
57.0756915678334;0.0414758926349148;0.75;-6.63121443948123;-15.0770746760939;3;12.6;8670.97487779959;59.2180927680934;72.108571937277;389.673797933506;203.308068487047;0;0;89.740383579679;-37.9056799120555;1;92.8313701198753;1.5;1.4;-0.63624682422098;-3.44905174000904;-6.77286203926917;0.508460055669012;0.571241529891596;0;3116.85379793351;
56.2065812092314;0.0577380973723808;1;-7.39203908164555;-14.7501493952903;2;15.75;10673.673858446;48.1893724336332;72.2320182654586;377.896769614003;197.163531972523;0;0;88.1229326754017;-32.9765398348804;1;92.8313701198753;1.5;1.4;-1.0356315160642;-4.12385598495458;-4.34537237878947;0.682705532129701;0.761020411524821;0;3105.076769614;
55.3430493914835;0.0742547191517208;1.25;-7.8900487546597;-14.3371997282757;2;15.75;10509.6884889264;49.3153534514015;72.7841047441135;366.374306666438;191.151812173794;0;0;85.9260343549184;-29.9530796697608;1;87.3034899001659;1.5;1.4;-1.47270781184663;-4.6386784422553;-3.26411068673072;0.858299556207893;0.949612238781436;0;3093.55430666644;
54.4905618124511;0.0910289443356694;1.5;-8.5076056795354;-13.8575178183579;2;15.75;10347.8004290015;50.1317816967492;72.8493590028591;355.17419990573;185.308278211685;0;0;83.266663579762;-26.9296195046412;1;81.417776110644;1.5;1.4;-1.95875814906899;-5.05693473032753;-2.61113080239877;1.03535849572365;1.13689227896035;0;3082.35419990573;
53.6537449646985;0.108065960709016;1.75;-9.17770516551533;-13.4933957731141;2;15.75;10188.8882532385;51.0121896607047;72.9903280598671;344.349075004785;179.660386959018;0;0;81.3270011018224;-24.2025417394566;1;76.073489584136;1.5;1.4;-2.5088878664214;-5.50591252810315;-2.75968772975901;1.21403166232734;1.32269673553516;0;3071.52907500479;
52.8261510277116;0.12536917924082;2;-9.61050854954484;-13.0468075099256;2;15.75;10031.7275154639;51.8390710413061;73.0293589373397;333.808027800838;174.160710156959;0;0;78.8235821912014;-22.4050834789131;1;72.5137983282714;1.5;1.4;-3.10094744631439;-6.03209932532821;-3.18450307099369;1.39451058652552;1.50680771941622;0;3060.98802780084;
